车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放（kg）,绿色出行减排（kg）
皖AT0547,01有排行有提醒,2,29,1566.74,3531.43,243.55
皖AT0600,01有排行有提醒,8,23,1257.14,2833.59,985.6
皖AT0568,01有排行有提醒,8,23,1113.36,2509.51,872.87
皖AT0650,01有排行有提醒,2,29,941.96,2123.18,146.43
皖AT0665,01有排行有提醒,0,31,1284.27,2894.74,0
皖AT0628,01有排行有提醒,4,27,934.72,2106.86,312.13
皖AT0599,01有排行有提醒,0,31,960.07,2164,0
皖AT0553,01有排行有提醒,6,24,944.21,2128.25,532.06
粤B3R80W,01有排行有提醒,1,30,66.7,150.34,5.01
皖AT0619,01有排行有提醒,0,31,881.37,1986.61,0
粤L39ES3,01有排行有提醒,17,11,11.52,25.97,40.13
皖AT0609,01有排行有提醒,0,0,0,0,0
皖AT0642,01有排行有提醒,8,23,293.96,662.59,230.46
粤BH218W,01有排行有提醒,31,0,0,0,0
粤S45B27,01有排行有提醒,31,0,0,0,1146.38
粤LBY602,01有排行有提醒,31,0,0,0,372.31
皖AT0626,01有排行有提醒,31,0,0,0,1541.63
粤B2K335,01有排行有提醒,31,0,0,0,253.89
粤B048RX,01有排行有提醒,0,0,0,0,0
粤BT2220,01有排行有提醒,13,18,242.66,546.96,395.02
