车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放（kg）,绿色出行减排（kg）
皖AT0632,03无排行有提醒,0,31,2065.55,4655.75,0
皖AT0549,03无排行有提醒,0,31,1832.41,4130.25,0
皖AT0591,03无排行有提醒,0,31,1512.59,3409.38,0
皖AT0579,03无排行有提醒,0,31,1542.65,3477.13,0
皖AT0589,03无排行有提醒,2,29,875.89,1974.26,136.16
皖AT0631,03无排行有提醒,2,29,981.73,2212.82,152.61
皖AT0596,03无排行有提醒,0,31,1065.51,2401.66,0
皖AT0563,03无排行有提醒,1,30,740.53,1669.15,55.64
皖AT0621,03无排行有提醒,0,31,1166.29,2628.82,0
粤STC809,03无排行有提醒,0,31,642.05,1447.18,0
粤B3AU48,03无排行有提醒,31,0,0,0,115.01
1.2212E+16,03无排行有提醒,31,0,0,0,18.29
皖AT0539,03无排行有提醒,31,0,0,0,3421.47
粤BS207S,03无排行有提醒,31,0,0,0,315.89
粤B892VK,03无排行有提醒,31,0,0,0,187.24
粤BY1047,03无排行有提醒,31,0,0,0,83.7
皖AT0633,03无排行有提醒,31,0,0,0,3432.94
粤B533CJ,03无排行有提醒,31,0,0,0,153.14
渝D865V3,03无排行有提醒,31,0,0,0,313.72
粤B2X562,03无排行有提醒,31,0,0,0,207.39
