车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放,绿色出行减排
皖AT0621,03无排行有提醒,0,30,1398.48,3152.17,0
皖AT0591,03无排行有提醒,0,30,1693.72,3817.64,0
皖AT0631,03无排行有提醒,1,29,1055.09,2378.17,82.01
皖AT0596,03无排行有提醒,0,30,1229.11,2770.41,0
皖AT0563,03无排行有提醒,0,30,758.99,1710.76,0
皖AT0632,03无排行有提醒,0,30,1202.65,2710.77,0
皖AT0549,03无排行有提醒,30,0,0,0,3662.4
渝D865V3,03无排行有提醒,30,0,0,0,299.4
皖AT0589,03无排行有提醒,30,0,0,0,2463.3
皖AT0539,03无排行有提醒,30,0,0,0,3311.1
皖AT0579,03无排行有提醒,30,0,0,0,2562
皖AT0633,03无排行有提醒,30,0,0,0,3322.2
粤B2X562,03无排行有提醒,30,0,0,0,200.7
粤B533CJ,03无排行有提醒,30,0,0,0,148.2
粤B3AU48,03无排行有提醒,30,0,0,0,111.3
粤BS207S,03无排行有提醒,30,0,0,0,305.7
粤B892VK,03无排行有提醒,30,0,0,0,181.2
粤STC809,03无排行有提醒,30,0,0,0,1146
粤BY1047,03无排行有提醒,30,0,0,0,81
