车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放（kg）,绿色出行减排（kg）
皖AT0661,04无排行无提醒,1,28,507.13,1143.07,40.82
皖AT0623,04无排行无提醒,9,20,445.5,1004.16,451.87
粤STB959,04无排行无提醒,16,13,97.44,219.63,270.31
皖AT0658,04无排行无提醒,3,26,703.72,1586.18,183.02
皖AT0560,04无排行无提醒,29,0,0,0,4365.66
皖AT0608,04无排行无提醒,14,15,249.47,562.31,524.82
皖AT0556,04无排行无提醒,0,0,0,0,0
皖AT0565,04无排行无提醒,25,4,29.87,67.33,420.79
皖AT0666,04无排行无提醒,24,5,15.74,35.48,170.29
皖AT0616,04无排行无提醒,29,0,0,0,1844.98
粤B3RC91,04无排行无提醒,29,0,0,0,242.73
粤B4C0S6,04无排行无提醒,29,0,0,0,545.49
皖AT0540,04无排行无提醒,27,2,3.09,6.96,94.03
粤S09158,04无排行无提醒,29,0,0,0,289.71
粤B83CT2,04无排行无提醒,29,0,0,0,96.28
粤B0Y92H,04无排行无提醒,29,0,0,0,591.6
粤BP439V,04无排行无提醒,16,13,69.91,157.58,193.94
粤PR5795,04无排行无提醒,28,1,0.02,0.05,1.26
