部门,车牌号,行驶里程,总里程,油耗,行驶时长,平均速度（KM/H）,急加速,急减速,急转弯,疲劳驾驶（次数）,夜间驾驶时长（H）,日期,驾驶行为评分,插拔
01有排行有提醒,皖AT0547,666.77,1871.17,82.61,22.64,29.45,266,437,4,4,13.59,2019/12/1,1.33,未拔出
01有排行有提醒,皖AT0650,650.42,1919.79,71.32,22.98,28.3,306,186,12,2,12.69,2019/12/1,42.76,未拔出
01有排行有提醒,皖AT0568,523,891.5,68.68,18.04,28.99,102,356,1,3,10.24,2019/12/1,39.5,未拔出
01有排行有提醒,皖AT0600,499.67,1450.09,66.15,19.96,25.03,182,194,4,0,10.7,2019/12/1,50.47,未拔出
01有排行有提醒,皖AT0665,324.31,1090.52,42.01,13.09,24.78,115,102,3,1,3.14,2019/12/1,19.82,未拔出
01有排行有提醒,皖AT0628,303.04,928.64,47.15,12.31,24.62,136,216,1,2,3.27,2019/12/1,41.15,未拔出
01有排行有提醒,皖AT0553,260.16,6246.17,36.84,11.25,23.13,138,68,3,2,0.28,2019/12/1,45.73,未拔出
01有排行有提醒,粤B2K335,113.07,4322.14,10.48,4.23,26.73,26,22,1,0,0.76,2019/12/1,87.69,未拔出
01有排行有提醒,粤L39ES3,86,5743.18,8.32,2.83,30.39,26,27,0,0,1.73,2019/12/1,76.88,未拔出
01有排行有提醒,粤BT2220,40.25,23082.64,9.91,1.76,22.87,16,12,0,0,0,2019/12/1,92.07,未拔出
01有排行有提醒,皖AT0619,40.2,194.02,6.48,1.77,22.71,23,33,0,0,0.44,2019/12/1,80.7,未拔出
01有排行有提醒,粤B3R80W,33.86,3530.89,2.64,2.04,16.6,10,8,22,0,0,2019/12/1,87.56,未拔出
01有排行有提醒,皖AT0642,0,405.17,0,0,0,0,0,0,0,0,2019/12/1,0,未拔出
01有排行有提醒,皖AT0626,0,5588.74,0,0,0,0,0,0,0,0,2019/12/1,100,未拔出
01有排行有提醒,皖AT0609,0,6.93,0,0,0,0,0,0,0,0,2019/12/1,0,未拔出
01有排行有提醒,粤S45B27,0,1156.57,0,0,0,0,0,0,0,0,2019/12/1,100,未拔出
01有排行有提醒,粤B048RX,0,387.38,0,0,0,0,0,0,0,0,2019/12/1,0,未拔出
01有排行有提醒,粤BH218W,0,0.74,0,0,0,0,0,0,0,0,2019/12/1,100,未拔出
01有排行有提醒,粤LBY602,0,1037.63,0,0,0,0,0,0,0,0,2019/12/1,100,未拔出
01有排行有提醒,皖AT0599,0,690.89,0,0,0,0,0,0,0,0,2019/12/1,100,未拔出
01有排行有提醒,皖AT0547,561.11,2432.28,66.91,19.38,28.95,208,298,3,3,8.51,2019/12/2,10.37,未拔出
01有排行有提醒,皖AT0650,471.13,2390.92,53.76,19.77,23.83,261,139,10,2,6.61,2019/12/2,40.68,未拔出
01有排行有提醒,皖AT0568,447.92,1339.42,61.49,16.55,27.06,107,258,2,3,8.23,2019/12/2,21.03,未拔出
01有排行有提醒,皖AT0600,390.88,1840.97,53.9,16.8,23.27,151,163,2,2,6.67,2019/12/2,41.7,未拔出
01有排行有提醒,皖AT0628,378.42,1307.06,63.84,15.75,24.03,75,206,0,3,5.05,2019/12/2,39.09,未拔出
01有排行有提醒,皖AT0665,350.39,1440.91,44.11,13.86,25.28,186,120,2,2,3.24,2019/12/2,14.44,未拔出
01有排行有提醒,皖AT0553,271.85,6518.02,39.44,12.68,21.44,83,40,0,2,1.26,2019/12/2,52.47,未拔出
