部门,车牌号,行驶里程,总里程,油耗,行驶时长,平均速度（KM/H）,急加速,急减速,急转弯,疲劳驾驶（次数）,夜间驾驶时长（H）,日期,驾驶行为评分,插拔
01有排行有提醒,皖AT0599,412.34,57947.34,44.98,15.33,26.9,62,225,2,2,10.94,2020/7/1,12.75,未拔出
01有排行有提醒,皖AT0650,355.63,58473.81,39.52,16.17,21.99,97,53,2,2,5.49,2020/7/1,54.88,未拔出
01有排行有提醒,皖AT0628,350.06,45948.01,49.45,16.07,21.78,190,308,7,3,3.9,2020/7/1,40.35,未拔出
01有排行有提醒,皖AT0665,313.72,68031.44,45.05,13,24.13,58,58,0,2,1.05,2020/7/1,64.31,未拔出
01有排行有提醒,皖AT0553,265.55,41579.57,37.82,11.51,23.07,174,168,3,3,0.83,2020/7/1,44.34,未拔出
01有排行有提醒,皖AT0568,261.71,66660.63,37.83,11.9,21.99,37,100,2,1,0.89,2020/7/1,77.08,未拔出
01有排行有提醒,皖AT0642,171.55,10808.54,18.69,5.98,28.69,4,32,18,0,1.69,2020/7/1,79.29,未拔出
01有排行有提醒,粤BT2220,37.21,28822.92,16.5,2.26,16.46,19,7,0,0,0.41,2020/7/1,83.46,未拔出
01有排行有提醒,粤B3R80W,11.45,10167.52,1.36,1.03,11.12,5,3,2,0,0.77,2020/7/1,92.07,未拔出
01有排行有提醒,皖AT0609,0,6.93,0,0,0,0,0,0,0,0,2020/7/1,0,未拔出
01有排行有提醒,皖AT0600,0,24732.7,0,0,0,0,0,0,0,0,2020/7/1,100,未拔出
01有排行有提醒,皖AT0619,0,12909.02,0,0,0,0,0,0,0,0,2020/7/1,100,未拔出
01有排行有提醒,皖AT0547,0,29895.17,0,0,0,0,0,0,0,0,2020/7/1,100,未拔出
01有排行有提醒,粤BH218W,0,0.74,0,0,0,0,0,0,0,0,2020/7/1,100,未拔出
01有排行有提醒,粤S45B27,0,1156.57,0,0,0,0,0,0,0,0,2020/7/1,100,未拔出
01有排行有提醒,粤LBY602,0,1037.63,0,0,0,0,0,0,0,0,2020/7/1,100,未拔出
01有排行有提醒,皖AT0626,0,5588.74,0,0,0,0,0,0,0,0,2020/7/1,100,未拔出
01有排行有提醒,粤B048RX,0,387.38,0,0,0,0,0,0,0,0,2020/7/1,0,未拔出
01有排行有提醒,粤L39ES3,0,7559.46,0,0,0,0,0,0,0,0,2020/7/1,100,未拔出
01有排行有提醒,粤B2K335,0,4902.93,0,0,0,0,0,0,0,0,2020/7/1,100,未拔出
01有排行有提醒,皖AT0628,381.25,46329.26,51.73,16.14,23.62,215,362,8,3,3.55,2020/7/2,36.45,未拔出
01有排行有提醒,皖AT0650,321.37,58795.18,30.64,11.57,27.78,35,18,5,1,6.36,2020/7/2,59.77,未拔出
01有排行有提醒,皖AT0568,300.02,66960.65,43.71,13.08,22.94,30,94,2,2,6.44,2020/7/2,48.76,未拔出
01有排行有提醒,皖AT0665,293.03,68324.47,40.43,12.45,23.54,92,113,0,2,1.21,2020/7/2,30.65,未拔出
01有排行有提醒,皖AT0553,226.21,41805.78,36.11,11.49,19.69,194,205,2,1,1.37,2020/7/2,55.54,未拔出
01有排行有提醒,皖AT0599,197.2,58144.54,22.67,8.69,22.69,65,162,1,1,0.46,2020/7/2,52.21,未拔出
01有排行有提醒,粤BT2220,37.48,28860.4,13.41,2.26,16.58,12,8,0,0,0.44,2020/7/2,84.55,未拔出
01有排行有提醒,皖AT0642,30.35,10838.89,4.18,1.17,25.94,2,14,0,0,0,2020/7/2,83.91,未拔出
01有排行有提醒,粤B3R80W,9.15,10176.67,1.09,0.76,12.04,1,6,0,0,0.52,2020/7/2,91.73,未拔出
01有排行有提醒,皖AT0619,0,12909.02,0,0,0,0,0,0,0,0,2020/7/2,100,未拔出
01有排行有提醒,皖AT0547,0,29895.17,0,0,0,0,0,0,0,0,2020/7/2,100,未拔出
01有排行有提醒,皖AT0600,0,24732.7,0,0,0,0,0,0,0,0,2020/7/2,100,未拔出
01有排行有提醒,皖AT0609,0,6.93,0,0,0,0,0,0,0,0,2020/7/2,0,未拔出
01有排行有提醒,粤BH218W,0,0.74,0,0,0,0,0,0,0,0,2020/7/2,100,未拔出
01有排行有提醒,粤S45B27,0,1156.57,0,0,0,0,0,0,0,0,2020/7/2,100,未拔出
01有排行有提醒,粤LBY602,0,1037.63,0,0,0,0,0,0,0,0,2020/7/2,100,未拔出
01有排行有提醒,皖AT0626,0,5588.74,0,0,0,0,0,0,0,0,2020/7/2,100,未拔出
01有排行有提醒,粤B048RX,0,387.38,0,0,0,0,0,0,0,0,2020/7/2,0,未拔出
01有排行有提醒,粤L39ES3,0,7559.46,0,0,0,0,0,0,0,0,2020/7/2,100,未拔出
01有排行有提醒,粤B2K335,0,4902.93,0,0,0,0,0,0,0,0,2020/7/2,100,未拔出
01有排行有提醒,皖AT0665,402.79,68727.26,52.77,13.64,29.53,101,101,2,1,1.69,2020/7/3,55.48,未拔出
01有排行有提醒,皖AT0650,342.17,59137.35,37.83,15.34,22.31,91,45,4,2,7.23,2020/7/3,35.65,未拔出
01有排行有提醒,皖AT0568,312.92,67273.57,42.7,12.36,25.32,51,134,1,0,1.04,2020/7/3,75.49,未拔出
01有排行有提醒,皖AT0553,305.72,42111.5,33.01,4.59,66.61,20,35,0,0,0.82,2020/7/3,75.56,未拔出
01有排行有提醒,皖AT0628,270.2,46599.46,33.96,11.02,24.52,45,130,2,1,7.07,2020/7/3,23.22,未拔出
01有排行有提醒,皖AT0599,215.37,58359.91,23.65,8.63,24.96,60,198,1,1,0,2020/7/3,44.59,未拔出
01有排行有提醒,粤BT2220,45.28,28905.68,17.46,3.07,14.75,32,22,0,0,0.89,2020/7/3,75.28,未拔出
01有排行有提醒,皖AT0642,31.36,10870.25,3.98,1.19,26.35,3,12,0,0,0,2020/7/3,84.58,未拔出
01有排行有提醒,粤B3R80W,8.9,10185.57,0.95,0.73,12.19,8,13,0,0,0.19,2020/7/3,90.84,未拔出
01有排行有提醒,皖AT0619,0,12909.02,0,0,0,0,0,0,0,0,2020/7/3,100,未拔出
01有排行有提醒,皖AT0600,0,24732.7,0,0,0,0,0,0,0,0,2020/7/3,100,未拔出
01有排行有提醒,皖AT0609,0,6.93,0,0,0,0,0,0,0,0,2020/7/3,0,未拔出
01有排行有提醒,皖AT0547,0,29895.17,0,0,0,0,0,0,0,0,2020/7/3,100,未拔出
01有排行有提醒,粤BH218W,0,0.74,0,0,0,0,0,0,0,0,2020/7/3,100,未拔出
01有排行有提醒,粤S45B27,0,1156.57,0,0,0,0,0,0,0,0,2020/7/3,100,未拔出
01有排行有提醒,粤LBY602,0,1037.63,0,0,0,0,0,0,0,0,2020/7/3,100,未拔出
01有排行有提醒,皖AT0626,0,5588.74,0,0,0,0,0,0,0,0,2020/7/3,100,未拔出
01有排行有提醒,粤B048RX,0,387.38,0,0,0,0,0,0,0,0,2020/7/3,0,未拔出
01有排行有提醒,粤L39ES3,0,7559.46,0,0,0,0,0,0,0,0,2020/7/3,100,未拔出
01有排行有提醒,粤B2K335,0,4902.93,0,0,0,0,0,0,0,0,2020/7/3,100,未拔出
01有排行有提醒,皖AT0568,439.81,67713.38,61.42,17.47,25.18,92,221,2,1,5.41,2020/7/4,60.58,未拔出
01有排行有提醒,皖AT0628,405,47004.46,55.3,17.04,23.77,207,359,7,2,4.52,2020/7/4,36.63,未拔出
01有排行有提醒,皖AT0665,359.18,69086.44,45.01,11.39,31.53,158,107,0,1,1.11,2020/7/4,38.91,未拔出
01有排行有提醒,皖AT0599,307.06,58666.97,35.24,13.05,23.53,79,230,1,1,2.83,2020/7/4,57.85,未拔出
