部门,车牌号,行驶里程,总里程,油耗,行驶时长,平均速度（KM/H）,急加速,急减速,急转弯,疲劳驾驶（次数）,夜间驾驶时长（H）,日期,驾驶行为评分,插拔
02有排行无提醒,粤B3Q03K,119.64,4069.92,14.45,6.62,18.07,0,0,0,0,0,2019/9/1,89.38,未拔出
02有排行无提醒,粤BN8G52,37.08,336.18,4.76,1.61,23.03,2,5,0,0,0,2019/9/1,93.13,未拔出
02有排行无提醒,粤JCL629,25.3,1471.94,1.71,0.85,29.76,0,7,0,0,0.43,2019/9/1,89.96,未拔出
02有排行无提醒,粤B9XN26,20.82,1316.41,3.57,1.46,14.26,2,12,0,0,0,2019/9/1,94.97,未拔出
02有排行无提醒,闽C88DN2,10.82,495.78,1.29,0.76,14.24,6,6,0,0,0.43,2019/9/1,90,未拔出
02有排行无提醒,粤B7U0H5,3.7,192.07,0.76,0.52,7.12,4,0,0,0,0,2019/9/1,95.92,未拔出
02有排行无提醒,粤B3Q03K,95.15,4165.07,12.73,6.15,15.47,0,0,0,0,0,2019/9/2,96.03,未拔出
02有排行无提醒,粤B9XN26,31.03,1347.44,6.16,3.08,10.07,0,10,1,0,0,2019/9/2,96.75,未拔出
02有排行无提醒,闽C88DN2,21.2,516.98,2.25,1.27,16.69,20,13,1,0,0.28,2019/9/2,86.99,未拔出
02有排行无提醒,粤BN8G52,17.22,353.4,2.72,0.97,17.75,0,5,0,0,0.45,2019/9/2,92.21,未拔出
02有排行无提醒,粤B7U0H5,3.46,195.53,0.52,2.37,1.46,4,1,0,0,0.14,2019/9/2,95.06,未拔出
02有排行无提醒,粤JCL629,0,1471.94,0,0,0,0,0,0,0,0,2019/9/2,100,未拔出
02有排行无提醒,粤B3Q03K,101.23,4266.3,13.78,6.65,15.22,0,0,0,0,0,2019/9/3,93.25,未拔出
02有排行无提醒,粤B9XN26,76.33,1423.77,13,5.67,13.46,10,16,1,0,0,2019/9/3,92.55,未拔出
02有排行无提醒,闽C88DN2,17.24,534.22,2.11,1.41,12.23,8,11,0,0,0.79,2019/9/3,93.28,未拔出
02有排行无提醒,粤BN8G52,15.25,368.65,2.78,1.17,13.03,2,1,0,0,0,2019/9/3,94.97,未拔出
02有排行无提醒,粤B7U0H5,1.31,196.84,0.26,0.26,5.04,0,0,0,0,0.14,2019/9/3,99.3,未拔出
02有排行无提醒,粤JCL629,0,1471.94,0,0,0,0,0,0,0,0,2019/9/3,100,未拔出
02有排行无提醒,粤B3Q03K,183.92,4450.22,18.95,8.29,22.19,0,0,0,0,0.16,2019/9/4,91,未拔出
02有排行无提醒,粤B9XN26,93.21,1516.98,11.99,4.47,20.85,9,31,6,0,0,2019/9/4,89.27,未拔出
02有排行无提醒,粤BN8G52,37.84,406.49,5.55,2.11,17.93,0,7,0,0,0.78,2019/9/4,92.98,未拔出
02有排行无提醒,闽C88DN2,11.71,545.93,1.08,0.73,16.04,6,5,0,0,0.45,2019/9/4,93.24,未拔出
02有排行无提醒,粤B7U0H5,11.32,208.16,1.45,0.65,17.42,0,1,1,0,0.22,2019/9/4,96.67,未拔出
02有排行无提醒,粤JCL629,0,1471.94,0,0,0,0,0,0,0,0,2019/9/4,100,未拔出
02有排行无提醒,粤B3Q03K,204.05,4654.27,23.03,10.09,20.22,0,0,0,1,1.11,2019/9/5,87.74,未拔出
02有排行无提醒,粤B9XN26,49.8,1566.78,6.25,1.73,28.79,20,34,0,0,0,2019/9/5,70.22,未拔出
02有排行无提醒,粤JCL629,26.02,1497.96,1.89,1.07,24.32,2,4,0,0,0.66,2019/9/5,89.15,未拔出
02有排行无提醒,闽C88DN2,14.2,560.13,1.86,1.23,11.54,7,8,0,0,0.58,2019/9/5,91.65,未拔出
02有排行无提醒,粤BN8G52,1.78,408.27,0.39,0.18,9.89,0,0,0,0,0,2019/9/5,99.44,未拔出
02有排行无提醒,粤B7U0H5,1.64,209.8,0.24,7.11,0.23,0,0,0,1,1.37,2019/9/5,99.39,未拔出
02有排行无提醒,粤B3Q03K,325.15,4979.42,34.16,13.63,23.86,0,0,0,1,6.6,2019/9/6,66,未拔出
02有排行无提醒,粤JCL629,99.55,1597.51,6.49,2.42,41.14,4,18,0,0,0,2019/9/6,70.17,未拔出
02有排行无提醒,粤B9XN26,39.33,1606.11,7.56,3.46,11.37,4,12,0,0,0,2019/9/6,96.03,未拔出
02有排行无提醒,闽C88DN2,15.62,575.75,1.75,1.27,12.3,5,5,0,0,1.01,2019/9/6,91.6,未拔出
02有排行无提醒,粤BN8G52,12.44,420.71,2.56,1.09,11.41,1,5,0,0,0,2019/9/6,94.88,未拔出
02有排行无提醒,粤B7U0H5,2.62,212.42,0.48,0.37,7.08,0,0,0,0,0.19,2019/9/6,97.97,未拔出
02有排行无提醒,粤B9XN26,108.14,1714.25,16.25,6.67,16.21,24,52,1,0,0.88,2019/9/7,71.65,未拔出
02有排行无提醒,闽C88DN2,19.86,595.61,2.11,1.4,14.19,10,7,0,0,1.11,2019/9/7,87.59,未拔出
02有排行无提醒,粤B3Q03K,10.82,4990.24,1.39,0.76,14.24,0,0,0,0,0,2019/9/7,97.67,未拔出
02有排行无提醒,粤B7U0H5,0.2,212.62,0.06,0.07,2.86,0,0,0,0,0,2019/9/7,99.87,未拔出
02有排行无提醒,粤BN8G52,0,420.71,0,0,0,0,0,0,0,0,2019/9/7,0,未拔出
02有排行无提醒,粤JCL629,0,1597.51,0,0,0,0,0,0,0,0,2019/9/7,100,未拔出
02有排行无提醒,粤B7U0H5,15.61,228.23,1.73,0.73,21.38,2,8,1,0,0.62,2019/9/8,91.61,未拔出
02有排行无提醒,粤B3Q03K,14.9,5005.14,2.52,1.43,10.42,0,0,0,0,0.45,2019/9/8,96.99,未拔出
02有排行无提醒,闽C88DN2,10.68,606.29,1.16,0.74,14.43,3,4,0,0,0.52,2019/9/8,90.33,未拔出
02有排行无提醒,粤BN8G52,0.63,421.34,0.14,0.05,12.6,0,0,0,0,0,2019/9/8,99.66,未拔出
02有排行无提醒,粤JCL629,0,1597.51,0,0,0,0,0,0,0,0,2019/9/8,100,未拔出
02有排行无提醒,粤B9XN26,0,1714.25,0,0,0,0,0,0,0,0,2019/9/8,100,未拔出
02有排行无提醒,粤B9XN26,147.76,1862.01,19.01,6.32,23.38,31,63,1,0,0.05,2019/9/9,76.08,未拔出
02有排行无提醒,粤B3Q03K,132.68,5137.82,16.38,7.43,17.86,0,0,0,0,0,2019/9/9,93.23,未拔出
02有排行无提醒,粤B7U0H5,30.82,259.05,4.05,1.91,16.14,13,12,1,0,1.4,2019/9/9,79.74,未拔出
02有排行无提醒,闽C88DN2,10.82,617.11,1.19,0.66,16.39,8,13,0,0,0.41,2019/9/9,89.5,未拔出
02有排行无提醒,粤BN8G52,2.21,423.55,0.46,0.2,11.05,0,0,0,0,0,2019/9/9,99.47,未拔出
02有排行无提醒,粤JCL629,0,1597.51,0,0,0,0,0,0,0,0,2019/9/9,100,未拔出
02有排行无提醒,粤JCL629,125.02,1722.53,6.79,2.49,50.21,2,17,0,0,0.67,2019/9/10,83.22,未拔出
