部门,车牌号,行驶里程,总里程,油耗,行驶时长,平均速度（KM/H）,急加速,急减速,急转弯,疲劳驾驶（次数）,夜间驾驶时长（H）,日期,驾驶行为评分,插拔
02有排行无提醒,皖AT0541,522.49,32860.95,58.71,15.17,34.44,203,237,14,0,4.04,2020/2/1,57.06,未拔出
02有排行无提醒,皖AT0580,311.77,28027.63,11.53,10.14,30.75,33,90,2,0,0,2020/2/1,76.1,未拔出
02有排行无提醒,粤BL05M1,13.87,1735.09,1.43,0.46,30.15,1,4,2,0,0,2020/2/1,94.21,未拔出
02有排行无提醒,皖AT0613,8.81,17376.53,1.46,0.43,20.49,5,11,0,0,0,2020/2/1,92.81,未拔出
02有排行无提醒,粤JCL629,3.49,10404.12,0.54,0.31,11.26,3,4,0,0,0,2020/2/1,95.47,未拔出
02有排行无提醒,皖AT0576,0.44,29574.12,0.5,0.25,1.76,0,3,0,0,0,2020/2/1,96.55,未拔出
02有排行无提醒,皖AT0620,0,10842.94,0,0,0,0,0,0,0,0,2020/2/1,100,未拔出
02有排行无提醒,皖AT0601,0,23277.12,0,0,0,0,0,0,0,0,2020/2/1,100,未拔出
02有排行无提醒,皖AT0657,0,26993.39,0.1,0.05,0,0,0,0,0,0.05,2020/2/1,0,未拔出
02有排行无提醒,皖AT0641,0,2739.94,0,0,0,0,0,0,0,0,2020/2/1,0,未拔出
02有排行无提醒,皖AT0575,0,25371.55,0,0,0,0,0,0,0,0,2020/2/1,100,未拔出
02有排行无提醒,皖AT0543,0,96.3,0,0,0,0,0,0,0,0,2020/2/1,100,未拔出
02有排行无提醒,闽C88DN2,0,918.49,0,0,0,0,0,0,0,0,2020/2/1,100,未拔出
02有排行无提醒,粤B3Q03K,0,21349.77,0,0,0,0,0,0,0,0,2020/2/1,100,未拔出
02有排行无提醒,1.22E+16,0,4.13,0,0,0,0,0,0,0,0,2020/2/1,100,未拔出
02有排行无提醒,皖AYY059,0,120.25,0,0,0,0,0,0,0,0,2020/2/1,100,未拔出
02有排行无提醒,粤B9XN26,0,9173.36,0,0,0,0,0,0,0,0,2020/2/1,100,未拔出
02有排行无提醒,粤SL3H57,0,131.91,0,0,0,0,0,0,0,0,2020/2/1,100,未拔出
02有排行无提醒,粤B7U0H5,0,852.94,0,0,0,0,0,0,0,0,2020/2/1,100,未拔出
02有排行无提醒,粤BN8G52,0,680.31,0,0,0,0,0,0,0,0,2020/2/1,0,未拔出
02有排行无提醒,皖AT0580,256.93,28284.56,25.73,8.5,30.23,26,72,0,0,0,2020/2/2,75.48,未拔出
02有排行无提醒,皖AT0541,242.28,33103.23,26.6,6.96,34.81,44,118,4,1,0.2,2020/2/2,61.29,未拔出
02有排行无提醒,皖AT0620,50.35,10893.29,6,1.18,42.67,4,23,1,0,0,2020/2/2,87.25,未拔出
02有排行无提醒,皖AT0657,33.18,27026.57,4.1,1.17,28.36,1,10,0,0,0,2020/2/2,89.02,未拔出
02有排行无提醒,粤JCL629,13.78,10417.9,1.51,0.67,20.57,6,17,1,0,0,2020/2/2,91.59,未拔出
02有排行无提醒,皖AT0601,0,23277.12,0,0,0,0,0,0,0,0,2020/2/2,100,未拔出
