部门,车牌号,行驶里程,总里程,油耗,行驶时长,平均速度（KM/H）,急加速,急减速,急转弯,疲劳驾驶（次数）,夜间驾驶时长（H）,日期,驾驶行为评分,插拔
03无排行有提醒,皖AT0632,402.31,51804.26,65.29,19.36,20.78,135,153,166,2,7.09,2020/7/1,44.01,未拔出
03无排行有提醒,皖AT0596,377.6,49700.17,46.72,13.36,28.26,192,276,12,0,2.04,2020/7/1,65.15,未拔出
03无排行有提醒,皖AT0591,356.47,69495.22,51.53,15.38,23.18,319,386,0,3,2.31,2020/7/1,39.77,未拔出
03无排行有提醒,皖AT0563,341.15,39585.39,44.02,13.96,24.44,39,92,8,2,1.48,2020/7/1,65.12,未拔出
03无排行有提醒,皖AT0631,284.98,40555.14,39.52,12.29,23.19,221,214,1,2,0.23,2020/7/1,42.79,未拔出
03无排行有提醒,皖AT0621,180.7,45685.94,24.54,6.52,27.71,90,66,8,0,1.26,2020/7/1,78.27,未拔出
03无排行有提醒,粤STC809,0.9,2883.18,15.38,3.88,0.23,0,0,0,0,1.28,2020/7/1,98.77,未拔出
03无排行有提醒,皖AT0579,0,53663.92,0,0,0,0,0,0,0,0,2020/7/1,100,未拔出
03无排行有提醒,皖AT0589,0,48591.72,0,0,0,0,0,0,0,0,2020/7/1,100,未拔出
03无排行有提醒,渝D865V3,0,2255.16,0,0,0,0,0,0,0,0,2020/7/1,100,未拔出
03无排行有提醒,皖AT0539,0,9817.49,0,0,0,0,0,0,0,0,2020/7/1,100,未拔出
03无排行有提醒,粤B2X562,0,3406.52,0,0,0,0,0,0,0,0,2020/7/1,100,未拔出
03无排行有提醒,粤B533CJ,0,228.23,0,0,0,0,0,0,0,0,2020/7/1,100,未拔出
03无排行有提醒,粤B3AU48,0,962.84,0,0,0,0,0,0,0,0,2020/7/1,100,未拔出
03无排行有提醒,1.2212E+16,0,0.14,0,0,0,0,0,0,0,0,2020/7/1,100,未拔出
03无排行有提醒,粤BY1047,0,3.37,0,0,0,0,0,0,0,0,2020/7/1,100,未拔出
03无排行有提醒,皖AT0549,0,77510.28,0,0,0,0,0,0,0,0,2020/7/1,100,未拔出
03无排行有提醒,皖AT0633,0,15243.41,0,0,0,0,0,0,0,0,2020/7/1,100,未拔出
03无排行有提醒,粤BS207S,0,3885.93,0,0,0,0,0,0,0,0,2020/7/1,100,未拔出
03无排行有提醒,粤B892VK,0,1193.09,0,0,0,0,0,0,0,0,2020/7/1,100,未拔出
03无排行有提醒,粤TEST01,0,20754.92,0,0,0,0,0,0,0,0,2020/7/1,0,拔出
03无排行有提醒,皖AT0632,487.7,52291.96,75,21.65,22.53,178,226,174,3,9.49,2020/7/2,27.84,未拔出
03无排行有提醒,皖AT0591,363.01,69858.23,47.45,14.24,25.49,230,355,4,2,1.88,2020/7/2,51.86,未拔出
03无排行有提醒,皖AT0621,310.83,45996.77,38.92,10.16,30.59,422,240,18,0,1.59,2020/7/2,55.25,未拔出
03无排行有提醒,皖AT0631,302.53,40857.76,39.52,12.49,24.22,185,237,0,2,0.23,2020/7/2,36.9,未拔出
