部门,车牌号,行驶里程,总里程,油耗,行驶时长,平均速度（KM/H）,急加速,急减速,急转弯,疲劳驾驶（次数）,夜间驾驶时长（H）,日期,驾驶行为评分,插拔
04无排行无提醒,皖AT0661,276.05,19825.86,27.9,8.55,32.29,16,129,12,0,0,2020/2/1,63.89,未拔出
04无排行无提醒,皖AT0623,189.35,20473.06,19.18,5.29,35.79,66,64,3,0,0,2020/2/1,79.23,未拔出
04无排行无提醒,粤STB959,97.36,4318.57,8.2,2.19,44.46,1,30,0,0,0,2020/2/1,85.2,未拔出
04无排行无提醒,皖AT0658,55.14,20178.89,5.99,1.02,54.06,16,27,0,0,0,2020/2/1,81.67,未拔出
04无排行无提醒,皖AT0560,0,27390.95,0,0,0,0,0,0,0,0,2020/2/1,100,未拔出
04无排行无提醒,皖AT0608,0,19893.4,0,0,0,0,0,0,0,0,2020/2/1,100,未拔出
04无排行无提醒,皖AT0556,0,44.1,0,0,0,0,0,0,0,0,2020/2/1,0,未拔出
04无排行无提醒,皖AT0565,0,19616.86,0,0,0,0,0,0,0,0,2020/2/1,100,未拔出
04无排行无提醒,皖AT0666,0,15516.11,0,0,0,0,0,0,0,0,2020/2/1,100,未拔出
04无排行无提醒,皖AT0616,0,2377.84,0,0,0,0,0,0,0,0,2020/2/1,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2020/2/1,100,未拔出
04无排行无提醒,粤B4C0S6,0,3066.51,0,0,0,0,0,0,0,0,2020/2/1,100,未拔出
04无排行无提醒,皖AT0540,0,34884.41,0,0,0,0,0,0,0,0,2020/2/1,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2020/2/1,100,未拔出
04无排行无提醒,粤B83CT2,0,28.11,0,0,0,0,0,0,0,0,2020/2/1,100,未拔出
04无排行无提醒,粤B0Y92H,0,5216.72,0,0,0,0,0,0,0,0,2020/2/1,100,未拔出
04无排行无提醒,粤BP439V,0,3752.86,0,0,0,0,0,0,0,0,2020/2/1,100,未拔出
04无排行无提醒,粤PR5795,0,2.55,0,0,0,0,0,0,0,0,2020/2/1,100,未拔出
04无排行无提醒,皖AT0661,182.96,20008.82,19.45,6.73,27.19,19,120,6,1,0,2020/2/2,63.75,未拔出
04无排行无提醒,皖AT0658,0.4,20179.29,0.17,0.07,5.71,0,0,0,0,0,2020/2/2,99.67,未拔出
04无排行无提醒,皖AT0556,0,44.1,0,0,0,0,0,0,0,0,2020/2/2,0,未拔出
04无排行无提醒,皖AT0560,0,27390.95,0,0,0,0,0,0,0,0,2020/2/2,100,未拔出
04无排行无提醒,皖AT0608,0,19893.4,0,0,0,0,0,0,0,0,2020/2/2,100,未拔出
04无排行无提醒,皖AT0565,0,19616.86,0,0,0,0,0,0,0,0,2020/2/2,100,未拔出
04无排行无提醒,皖AT0623,0,20473.06,0,0,0,0,0,0,0,0,2020/2/2,100,未拔出
04无排行无提醒,皖AT0666,0,15516.11,0,0,0,0,0,0,0,0,2020/2/2,100,未拔出
04无排行无提醒,皖AT0616,0,2377.84,0,0,0,0,0,0,0,0,2020/2/2,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2020/2/2,100,未拔出
04无排行无提醒,粤B4C0S6,0,3066.51,0,0,0,0,0,0,0,0,2020/2/2,100,未拔出
04无排行无提醒,粤STB959,0,4318.57,0,0,0,0,0,0,0,0,2020/2/2,100,未拔出
04无排行无提醒,皖AT0540,0,34884.41,0,0,0,0,0,0,0,0,2020/2/2,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2020/2/2,100,未拔出
04无排行无提醒,粤B83CT2,0,28.11,0,0,0,0,0,0,0,0,2020/2/2,100,未拔出
04无排行无提醒,粤B0Y92H,0,5216.72,0,0,0,0,0,0,0,0,2020/2/2,100,未拔出
04无排行无提醒,粤BP439V,0,3752.86,0,0,0,0,0,0,0,0,2020/2/2,100,未拔出
04无排行无提醒,粤PR5795,0,2.55,0,0,0,0,0,0,0,0,2020/2/2,100,未拔出
04无排行无提醒,皖AT0661,250.07,20258.89,27.31,9.11,27.45,29,156,12,1,0,2020/2/3,58.73,未拔出
04无排行无提醒,皖AT0623,131.55,20604.61,16.15,5.59,23.53,75,63,1,0,0,2020/2/3,79.21,未拔出
04无排行无提醒,皖AT0658,43.93,20223.22,6.67,3.79,11.59,10,11,0,0,0,2020/2/3,89.49,未拔出
04无排行无提醒,粤BP439V,43.14,3796,5.14,1.76,24.51,48,46,0,0,0,2020/2/3,73.31,未拔出
04无排行无提醒,粤STB959,26.01,4344.58,2.89,1.12,23.22,3,14,0,0,0,2020/2/3,93.81,未拔出
04无排行无提醒,皖AT0560,0,27390.95,0,0,0,0,0,0,0,0,2020/2/3,100,未拔出
04无排行无提醒,皖AT0608,0,19893.4,0,0,0,0,0,0,0,0,2020/2/3,100,未拔出
04无排行无提醒,皖AT0556,0,44.1,0,0,0,0,0,0,0,0,2020/2/3,0,未拔出
04无排行无提醒,皖AT0565,0,19616.86,0,0,0,0,0,0,0,0,2020/2/3,100,未拔出
04无排行无提醒,皖AT0666,0,15516.11,0,0,0,0,0,0,0,0,2020/2/3,100,未拔出
04无排行无提醒,皖AT0616,0,2377.84,0,0,0,0,0,0,0,0,2020/2/3,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2020/2/3,100,未拔出
04无排行无提醒,粤B4C0S6,0,3066.51,0,0,0,0,0,0,0,0,2020/2/3,100,未拔出
04无排行无提醒,皖AT0540,0,34884.41,0,0,0,0,0,0,0,0,2020/2/3,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2020/2/3,100,未拔出
04无排行无提醒,粤B83CT2,0,28.11,0,0,0,0,0,0,0,0,2020/2/3,100,未拔出
04无排行无提醒,粤B0Y92H,0,5216.72,0,0,0,0,0,0,0,0,2020/2/3,100,未拔出
04无排行无提醒,粤PR5795,0,2.55,0,0,0,0,0,0,0,0,2020/2/3,100,未拔出
04无排行无提醒,皖AT0623,177.17,20781.78,20.04,6.32,28.03,107,79,5,0,0,2020/2/4,70.9,未拔出
04无排行无提醒,皖AT0661,171.8,20430.69,18.34,6.31,27.23,11,90,5,0,0,2020/2/4,74.28,未拔出
04无排行无提醒,粤STB959,102.41,4446.99,8.89,3.23,31.71,4,7,0,0,0.32,2020/2/4,90.82,未拔出
04无排行无提醒,皖AT0540,2.84,34887.44,0.72,0.14,20.29,0,0,0,0,0,2020/2/4,98.73,未拔出
04无排行无提醒,皖AT0560,0,27390.95,0,0,0,0,0,0,0,0,2020/2/4,100,未拔出
04无排行无提醒,皖AT0608,0,19893.4,0.63,0.44,0,0,0,0,0,0,2020/2/4,0,未拔出
04无排行无提醒,皖AT0556,0,44.1,0,0,0,0,0,0,0,0,2020/2/4,0,未拔出
04无排行无提醒,皖AT0565,0,19616.86,0,0,0,0,0,0,0,0,2020/2/4,100,未拔出
04无排行无提醒,皖AT0666,0,15516.11,0,0,0,0,0,0,0,0,2020/2/4,100,未拔出
04无排行无提醒,皖AT0658,0,20223.22,0,0,0,0,0,0,0,0,2020/2/4,100,未拔出
04无排行无提醒,皖AT0616,0,2377.84,0,0,0,0,0,0,0,0,2020/2/4,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2020/2/4,100,未拔出
04无排行无提醒,粤B4C0S6,0,3066.51,0,0,0,0,0,0,0,0,2020/2/4,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2020/2/4,100,未拔出
04无排行无提醒,粤B83CT2,0,28.11,0,0,0,0,0,0,0,0,2020/2/4,100,未拔出
04无排行无提醒,粤B0Y92H,0,5216.72,0,0,0,0,0,0,0,0,2020/2/4,100,未拔出
04无排行无提醒,粤BP439V,0,3796,0,0,0,0,0,0,0,0,2020/2/4,100,未拔出
04无排行无提醒,粤PR5795,0,2.55,0,0,0,0,0,0,0,0,2020/2/4,100,未拔出
04无排行无提醒,皖AT0661,250.61,20681.3,25.74,8.29,30.23,17,114,8,0,0,2020/2/5,68.7,未拔出
04无排行无提醒,皖AT0623,208.07,20989.85,24.38,8.03,25.91,135,108,2,0,0.1,2020/2/5,59.36,未拔出
04无排行无提醒,皖AT0658,124.66,20347.88,15.67,3.68,33.88,48,71,0,0,0.91,2020/2/5,80.54,未拔出
04无排行无提醒,粤STB959,33.56,4480.55,3.67,1.56,21.51,1,19,0,0,0,2020/2/5,91.11,未拔出
04无排行无提醒,皖AT0666,15.14,15531.25,2.73,0.81,18.69,2,8,30,0,0,2020/2/5,85.49,未拔出
04无排行无提醒,皖AT0608,0,19893.4,0,0,0,0,0,0,0,0,2020/2/5,100,未拔出
04无排行无提醒,皖AT0560,0,27390.95,0,0,0,0,0,0,0,0,2020/2/5,100,未拔出
04无排行无提醒,皖AT0556,0,44.1,0,0,0,0,0,0,0,0,2020/2/5,0,未拔出
04无排行无提醒,皖AT0565,0,19616.86,0,0,0,0,0,0,0,0,2020/2/5,100,未拔出
04无排行无提醒,皖AT0616,0,2377.84,0,0,0,0,0,0,0,0,2020/2/5,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2020/2/5,100,未拔出
04无排行无提醒,粤B4C0S6,0,3066.51,0,0,0,0,0,0,0,0,2020/2/5,100,未拔出
04无排行无提醒,皖AT0540,0,34887.44,0,0,0,0,0,0,0,0,2020/2/5,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2020/2/5,100,未拔出
04无排行无提醒,粤B83CT2,0,28.11,0,0,0,0,0,0,0,0,2020/2/5,100,未拔出
04无排行无提醒,粤B0Y92H,0,5216.72,0,0,0,0,0,0,0,0,2020/2/5,100,未拔出
04无排行无提醒,粤BP439V,0,3796,0,0,0,0,0,0,0,0,2020/2/5,100,未拔出
04无排行无提醒,粤PR5795,0,2.55,0,0,0,0,0,0,0,0,2020/2/5,100,未拔出
04无排行无提醒,皖AT0661,98.43,20779.73,11.39,3.46,28.45,3,53,5,0,0,2020/2/6,64.79,未拔出
04无排行无提醒,粤STB959,55,4535.55,4.52,1.12,49.11,1,8,0,0,0,2020/2/6,85.42,未拔出
04无排行无提醒,皖AT0623,5.3,20995.15,0.92,0.3,17.67,2,3,0,0,0,2020/2/6,95.85,未拔出
04无排行无提醒,皖AT0556,0,44.1,0,0,0,0,0,0,0,0,2020/2/6,0,未拔出
04无排行无提醒,皖AT0560,0,27390.95,0,0,0,0,0,0,0,0,2020/2/6,100,未拔出
04无排行无提醒,皖AT0608,0,19893.4,0,0,0,0,0,0,0,0,2020/2/6,100,未拔出
04无排行无提醒,皖AT0616,0,2377.84,0,0,0,0,0,0,0,0,2020/2/6,100,未拔出
04无排行无提醒,皖AT0565,0,19616.86,0,0,0,0,0,0,0,0,2020/2/6,100,未拔出
04无排行无提醒,皖AT0666,0,15531.25,0,0,0,0,0,0,0,0,2020/2/6,100,未拔出
04无排行无提醒,皖AT0658,0,20347.88,0,0,0,0,0,0,0,0,2020/2/6,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2020/2/6,100,未拔出
04无排行无提醒,粤B4C0S6,0,3066.51,0,0,0,0,0,0,0,0,2020/2/6,100,未拔出
04无排行无提醒,皖AT0540,0,34887.44,0,0,0,0,0,0,0,0,2020/2/6,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2020/2/6,100,未拔出
04无排行无提醒,粤B83CT2,0,28.11,0,0,0,0,0,0,0,0,2020/2/6,100,未拔出
04无排行无提醒,粤B0Y92H,0,5216.72,0,0,0,0,0,0,0,0,2020/2/6,100,未拔出
04无排行无提醒,粤BP439V,0,3796,0,0,0,0,0,0,0,0,2020/2/6,100,未拔出
04无排行无提醒,粤PR5795,0,2.55,0,0,0,0,0,0,0,0,2020/2/6,100,未拔出
04无排行无提醒,皖AT0661,148.6,20928.33,16.34,5.32,27.93,16,88,4,0,0,2020/2/7,67.15,未拔出
04无排行无提醒,粤STB959,51.68,4587.23,4.81,1.32,39.15,1,11,0,0,0,2020/2/7,83.86,未拔出
04无排行无提醒,皖AT0658,3.51,20351.39,0.59,0.17,20.65,1,4,0,0,0,2020/2/7,94.44,未拔出
04无排行无提醒,皖AT0608,0,19893.4,0,0,0,0,0,0,0,0,2020/2/7,100,未拔出
04无排行无提醒,皖AT0560,0,27390.95,0,0,0,0,0,0,0,0,2020/2/7,100,未拔出
04无排行无提醒,皖AT0556,0,44.1,0,0,0,0,0,0,0,0,2020/2/7,0,未拔出
04无排行无提醒,皖AT0565,0,19616.86,0,0,0,0,0,0,0,0,2020/2/7,100,未拔出
04无排行无提醒,皖AT0623,0,20995.15,0,0,0,0,0,0,0,0,2020/2/7,100,未拔出
04无排行无提醒,皖AT0666,0,15531.25,0,0,0,0,0,0,0,0,2020/2/7,100,未拔出
04无排行无提醒,皖AT0616,0,2377.84,0,0,0,0,0,0,0,0,2020/2/7,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2020/2/7,100,未拔出
04无排行无提醒,粤B4C0S6,0,3066.51,0,0,0,0,0,0,0,0,2020/2/7,100,未拔出
04无排行无提醒,皖AT0540,0,34887.44,0,0,0,0,0,0,0,0,2020/2/7,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2020/2/7,100,未拔出
04无排行无提醒,粤B83CT2,0,28.11,0,0,0,0,0,0,0,0,2020/2/7,100,未拔出
04无排行无提醒,粤B0Y92H,0,5216.72,0,0,0,0,0,0,0,0,2020/2/7,100,未拔出
04无排行无提醒,粤BP439V,0,3796,0,0,0,0,0,0,0,0,2020/2/7,100,未拔出
04无排行无提醒,粤PR5795,0,2.55,0,0,0,0,0,0,0,0,2020/2/7,100,未拔出
04无排行无提醒,皖AT0661,29.23,20957.56,3.45,1.3,22.48,2,8,3,0,0,2020/2/8,90.93,未拔出
04无排行无提醒,皖AT0608,0,19893.4,0,0,0,0,0,0,0,0,2020/2/8,100,未拔出
04无排行无提醒,皖AT0560,0,27390.95,0,0,0,0,0,0,0,0,2020/2/8,100,未拔出
04无排行无提醒,皖AT0556,0,44.1,0,0,0,0,0,0,0,0,2020/2/8,0,未拔出
04无排行无提醒,皖AT0565,0,19616.86,0,0,0,0,0,0,0,0,2020/2/8,100,未拔出
04无排行无提醒,皖AT0623,0,20995.15,0,0,0,0,0,0,0,0,2020/2/8,100,未拔出
04无排行无提醒,皖AT0666,0,15531.25,0,0,0,0,0,0,0,0,2020/2/8,100,未拔出
04无排行无提醒,皖AT0658,0,20351.39,0,0,0,0,0,0,0,0,2020/2/8,100,未拔出
04无排行无提醒,皖AT0616,0,2377.84,0,0,0,0,0,0,0,0,2020/2/8,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2020/2/8,100,未拔出
04无排行无提醒,粤B4C0S6,0,3066.51,0,0,0,0,0,0,0,0,2020/2/8,100,未拔出
04无排行无提醒,粤STB959,0,4587.23,0,0,0,0,0,0,0,0,2020/2/8,100,未拔出
04无排行无提醒,皖AT0540,0,34887.44,0,0,0,0,0,0,0,0,2020/2/8,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2020/2/8,100,未拔出
04无排行无提醒,粤B83CT2,0,28.11,0,0,0,0,0,0,0,0,2020/2/8,100,未拔出
04无排行无提醒,粤B0Y92H,0,5216.72,0,0,0,0,0,0,0,0,2020/2/8,100,未拔出
04无排行无提醒,粤BP439V,0,3796,0,0,0,0,0,0,0,0,2020/2/8,100,未拔出
04无排行无提醒,粤PR5795,0,2.55,0,0,0,0,0,0,0,0,2020/2/8,100,未拔出
04无排行无提醒,皖AT0661,241.6,21199.16,26.01,8.93,27.05,17,149,11,0,0.06,2020/2/9,69.8,未拔出
04无排行无提醒,皖AT0658,124.5,20475.89,14.98,3.94,31.6,72,90,1,0,0,2020/2/9,64.93,未拔出
04无排行无提醒,皖AT0608,74.13,19967.53,9.56,2.92,25.39,49,83,8,0,0,2020/2/9,44.18,未拔出
04无排行无提醒,粤BP439V,35.83,3831.83,11.24,8.23,4.35,43,35,0,1,12.11,2020/2/9,37.88,未拔出
04无排行无提醒,皖AT0623,0.29,20995.44,0.41,0.18,1.61,0,0,0,0,0,2020/2/9,99.37,未拔出
04无排行无提醒,皖AT0560,0,27390.95,0,0,0,0,0,0,0,0,2020/2/9,100,未拔出
04无排行无提醒,皖AT0556,0,44.1,0,0,0,0,0,0,0,0,2020/2/9,0,未拔出
04无排行无提醒,皖AT0565,0,19616.86,0,0,0,0,0,0,0,0,2020/2/9,100,未拔出
04无排行无提醒,皖AT0666,0,15531.25,0,0,0,0,0,0,0,0,2020/2/9,100,未拔出
04无排行无提醒,皖AT0616,0,2377.84,0,0,0,0,0,0,0,0,2020/2/9,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2020/2/9,100,未拔出
04无排行无提醒,粤B4C0S6,0,3066.51,0,0,0,0,0,0,0,0,2020/2/9,100,未拔出
04无排行无提醒,粤STB959,0,4587.23,0,0,0,0,0,0,0,0,2020/2/9,100,未拔出
04无排行无提醒,皖AT0540,0,34887.44,0,0,0,0,0,0,0,0,2020/2/9,100,未拔出
04无排行无提醒,粤B83CT2,0,28.11,0,0,0,0,0,0,0,0,2020/2/9,100,未拔出
04无排行无提醒,粤B0Y92H,0,5216.72,0,0,0,0,0,0,0,0,2020/2/9,100,未拔出
04无排行无提醒,粤PR5795,0,2.55,0,0,0,0,0,0,0,0,2020/2/9,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2020/2/9,100,未拔出
04无排行无提醒,皖AT0661,275.49,21474.65,27.41,9.09,30.31,32,129,7,1,0.02,2020/2/10,64.21,未拔出
04无排行无提醒,皖AT0658,109.16,20585.05,14.58,4.77,22.88,121,91,0,0,0.04,2020/2/10,69.6,未拔出
04无排行无提醒,粤STB959,39.53,4626.76,4.16,1.28,30.88,6,19,0,0,0,2020/2/10,90.4,未拔出
04无排行无提醒,粤BP439V,7.23,3839.06,0.82,0.25,28.92,6,6,0,0,0.25,2020/2/10,86.73,未拔出
04无排行无提醒,皖AT0560,0,27390.95,0,0,0,0,0,0,0,0,2020/2/10,100,未拔出
04无排行无提醒,皖AT0608,0,19967.53,0,0,0,0,0,0,0,0,2020/2/10,100,未拔出
04无排行无提醒,皖AT0556,0,44.1,0,0,0,0,0,0,0,0,2020/2/10,0,未拔出
04无排行无提醒,皖AT0565,0,19616.86,0,0,0,0,0,0,0,0,2020/2/10,100,未拔出
04无排行无提醒,皖AT0623,0,20995.44,0,0,0,0,0,0,0,0,2020/2/10,100,未拔出
04无排行无提醒,皖AT0666,0,15531.25,0,0,0,0,0,0,0,0,2020/2/10,100,未拔出
04无排行无提醒,皖AT0616,0,2377.84,0,0,0,0,0,0,0,0,2020/2/10,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2020/2/10,100,未拔出
04无排行无提醒,粤B4C0S6,0,3066.51,0,0,0,0,0,0,0,0,2020/2/10,100,未拔出
04无排行无提醒,皖AT0540,0,34887.44,0,0,0,0,0,0,0,0,2020/2/10,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2020/2/10,100,未拔出
04无排行无提醒,粤B83CT2,0,28.11,0,0,0,0,0,0,0,0,2020/2/10,100,未拔出
04无排行无提醒,粤B0Y92H,0,5216.72,0,0,0,0,0,0,0,0,2020/2/10,100,未拔出
04无排行无提醒,粤PR5795,0,2.55,0,0,0,0,0,0,0,0,2020/2/10,100,未拔出
04无排行无提醒,粤STB959,748.34,5380.7,54.75,9.48,78.94,0,20,0,1,0,2020/2/11,39.15,未拔出
04无排行无提醒,皖AT0661,270.11,21744.76,26.5,8.69,31.08,19,121,11,1,0,2020/2/11,55.21,未拔出
04无排行无提醒,皖AT0658,195.76,20780.81,24.14,5.92,33.07,80,59,0,0,2.19,2020/2/11,78.15,未拔出
04无排行无提醒,皖AT0608,2.2,19969.73,0.81,0.51,4.31,1,0,0,0,0,2020/2/11,97.53,未拔出
04无排行无提醒,皖AT0560,0,27390.95,0,0,0,0,0,0,0,0,2020/2/11,100,未拔出
04无排行无提醒,皖AT0556,0,44.1,0,0,0,0,0,0,0,0,2020/2/11,0,未拔出
04无排行无提醒,皖AT0565,0,19616.86,0,0,0,0,0,0,0,0,2020/2/11,100,未拔出
04无排行无提醒,皖AT0623,0,20995.44,0,0,0,0,0,0,0,0,2020/2/11,100,未拔出
04无排行无提醒,皖AT0666,0,15531.25,0,0,0,0,0,0,0,0,2020/2/11,100,未拔出
04无排行无提醒,皖AT0616,0,2377.84,0,0,0,0,0,0,0,0,2020/2/11,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2020/2/11,100,未拔出
04无排行无提醒,粤B4C0S6,0,3066.51,0,0,0,0,0,0,0,0,2020/2/11,100,未拔出
04无排行无提醒,皖AT0540,0,34887.44,0,0,0,0,0,0,0,0,2020/2/11,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2020/2/11,100,未拔出
04无排行无提醒,粤B83CT2,0,28.11,0,0,0,0,0,0,0,0,2020/2/11,100,未拔出
04无排行无提醒,粤B0Y92H,0,5216.72,0,0,0,0,0,0,0,0,2020/2/11,100,未拔出
04无排行无提醒,粤BP439V,0,3839.06,0,0,0,0,0,0,0,0,2020/2/11,100,未拔出
