2019/3/18,,,,,,,,,,,
             使用频率                      使用时长,,,,,,,,,,,
启动次数,用户数,用户占比,时长,用户数,用户数占比,,,,,,
1-2次,1,33.33%,10分-30分,1,33.33%,,,,,,
6-9次,1,33.33%,30分+,2,66.67%,,,,,,
10-19次,1,33.33%,,,,,,,,,
2019/3/19,,,,,,,,,,,
             使用频率                      使用时长,,,,,,,,,,,
启动次数,用户数,用户占比,时长,用户数,用户数占比,,,,,,
1-2次,3,75%,1秒-3秒,1,25%,,,,,,
20-49次,1,25%,31秒-1分,1,25%,,,,,,
暂无书记,暂无数据,暂无数据,1分-3分,1,25%,,,,,,
暂无数据,暂无数据,暂无数据,30分+,1,25%,,,,,,
2019/3/20,,,,,,,,,,,
             使用频率                      使用时长,,,,,,,,,,,
启动次数,用户数,用户占比,时长,用户数,用户数占比,,,,,,
1-2次,2,66.67%,31秒-1分,1,50%,,,,,,
3-5次,1,33.33%,3分-10分,1,50%,,,,,,
2019/3/21,,,,,,,,,,,
             使用频率                      使用时长,,,,,,,,,,,
启动次数,用户数,用户占比,时长,用户数,用户数占比,,,,,,
3-5次,2,50%,1分-3分,1,50%,,,,,,
20-49次,1,50%,30分+,1,50%,,,,,,
2019/3/22,,,,,,,,,,,
             使用频率                      使用时长,,,,,,,,,,,
启动次数,用户数,用户占比,时长,用户数,用户数占比,,,,,,
1-2次,2,50%,1秒-3秒,1,25%,,,,,,
3-5次,1,25%,1分-3分,2,50%,,,,,,
10-19次,1,25%,30分+,1,25%,,,,,,
2019/3/23,,,,,,,,,,,
             使用频率                      使用时长,,,,,,,,,,,
启动次数,用户数,用户占比,时长,用户数,用户数占比,,,,,,
暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,,,,,,
2019/3/24,,,,,,,,,,,
             使用频率                      使用时长,,,,,,,,,,,
启动次数,用户数,用户占比,时长,用户数,用户数占比,,,,,,
暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,,,,,,
2019/3/25,,,,,,,,,,,
             使用频率                      使用时长,,,,,,,,,,,
启动次数,用户数,用户占比,时长,用户数,用户数占比,,,,,,
1-2次,1,50%,1分-3分,1,50%,,,,,,
20-49次,1,50%,30分+,1,50%,,,,,,
2019/3/26,,,,,,,,,,,
             使用频率                      使用时长,,,,,,,,,,,
启动次数,用户数,用户占比,时长,用户数,用户数占比,,,,,,
3-5次,1,100%,3分-10分,1,100%,,,,,,
2019/3/27,,,,,,,,,,,
             使用频率                      使用时长,,,,,,,,,,,
启动次数,用户数,用户占比,时长,用户数,用户数占比,,,,,,
1-2次,1,100%,4秒-10秒,1,100%,,,,,,
