2020-07-14,,,,,
           使用频率                      使用时长
启动次数,用户数,用户占比,时长,用户数,用户数占比
3-5次,2,100%,3分-10分,1,50%
暂无数据,暂无数据,暂无数据,10分-30分,1,50%
2020-07-15,,,,,
           使用频率                      使用时长
启动次数,用户数,用户占比,时长,用户数,用户数占比
1-2次,1,50%,1-3秒,1,50%
10-19次,1,50%,30分+,1,50%
2020-07-16,,,,,
           使用频率                      使用时长
启动次数,用户数,用户占比,时长,用户数,用户数占比
1-2次,1,50%,1-3分,1,50%
6-9次,1,50%,10-30分,1,50%
2020-07-17,,,,,
           使用频率                      使用时长
启动次数,用户数,用户占比,时长,用户数,用户数占比
1-2次,2,66.67%,1-3分,2,66.67%
3-5次,1,33.33%,30分+,1,33.33%
2020-07-18,,,,,
           使用频率                      使用时长
启动次数,用户数,用户占比,时长,用户数,用户数占比
1-2次,3,100%,31秒-1分,1,100%
2020-07-19,,,,,
           使用频率                      使用时长
启动次数,用户数,用户占比,时长,用户数,用户数占比
1-2次,1,100%,31秒-1分,1,100%
2020-07-20,,,,,
           使用频率                      使用时长
启动次数,用户数,用户占比,时长,用户数,用户数占比
1-2次,2,100%,11秒-30秒,1,100%
2020-07-21,,,,,
           使用频率                      使用时长
启动次数,用户数,用户占比,时长,用户数,用户数占比
1-2次,4,100%,11秒-30秒,2,100%
2020-07-22,,,,,
           使用频率                      使用时长
启动次数,用户数,用户占比,时长,用户数,用户数占比
1-2次,4,80%,11秒-30秒,1,25%
3-5次,1,20%,30秒-1分,1,25%
暂无数据,暂无数据,暂无数据,1分-3分,2,50%
2020-07-23,,,,,
           使用频率                      使用时长
启动次数,用户数,用户占比,时长,用户数,用户数占比
1-2次,1,50%,31秒-1分,1,50%
3-5次,1,50%,3分-10分,1,50%
2020-07-24,,,,,
           使用频率                      使用时长
启动次数,用户数,用户占比,时长,用户数,用户数占比
1-2次,4,80%,11秒-30秒,1,33.33%
20-49次,1,20%,1分-3分,1,33.33%
暂无数据,暂无数据,暂无数据,30分+,1,33.33%
2020-07-25,,,,,
           使用频率                      使用时长
启动次数,用户数,用户占比,时长,用户数,用户数占比
1-2次,1,100%,1分-3分,1,100%
2020-07-26,,,,,
           使用频率                      使用时长
启动次数,用户数,用户占比,时长,用户数,用户数占比
1-2次,4,100%,1-3秒,1,33.33%
暂无数据,暂无数据,暂无数据,4-10秒,1,33.33%
暂无数据,暂无数据,暂无数据,1-3分,1,33.33%
2020-07-27,,,,,
           使用频率                      使用时长
启动次数,用户数,用户占比,时长,用户数,用户数占比
1-2次,2,66.67%,11秒-30秒,1,33.33%
3-5次,1,33.33%,1分-3分,1,33.33%
暂无数据,暂无数据,暂无数据,10-30分,1,33.33%
2020-07-28,,,,,
           使用频率                      使用时长
启动次数,用户数,用户占比,时长,用户数,用户数占比
1-2次,1,100%,1-3分,1,100%
2020-07-29,,,,,
           使用频率                      使用时长
启动次数,用户数,用户占比,时长,用户数,用户数占比
1-2次,1,50%,1-3分,1,50%
20-49次,1,50%,30分+,1,50%
2020-07-30,,,,,
           使用频率                      使用时长
启动次数,用户数,用户占比,时长,用户数,用户数占比
1-2次,17,94.44%,11-30秒,1,20%
6-9次,1,5.56%,31秒-1分,1,20%
暂无数据,暂无数据,暂无数据,1-3分,2,40%
暂无数据,暂无数据,暂无数据,10-30分,1,20%
2020-07-31,,,,,
           使用频率                      使用时长
启动次数,用户数,用户占比,时长,用户数,用户数占比
1-2次,4,100%,暂无数据,暂无数据,暂无数据


2020-08-01,,,,,
           使用频率                      使用时长
启动次数,用户数,用户占比,时长,用户数,用户数占比
1-2次,9,90%,11-30秒,1,50%
3-5次,1,10%,1-3分,1,50%
2020-08-02,,,,,
           使用频率                      使用时长
启动次数,用户数,用户占比,时长,用户数,用户数占比
1-2次,2,100%,31秒-1分,1,100%
2020-08-03,,,,,
