车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放.kg.,绿色出行减排.kg.
粤B4C0S6,04无排行无提醒,1,30,286.38,645.5,21.52
粤S09158,04无排行无提醒,19,4,17.73,39.96,189.83
粤B3RC91,04无排行无提醒,10,10,42.67,96.18,96.18
粤PR5795,04无排行无提醒,9,9,19.49,43.93,43.93
粤BP439V,04无排行无提醒,3,13,66.91,150.82,34.8
粤STB959,04无排行无提醒,2,10,23.71,53.44,10.69
粤B0Y92H,04无排行无提醒,0,9,63.39,142.88,0
粤B0Y92H,04无排行无提醒,3,27,218.61,492.75,54.75
粤B4C0S6,04无排行无提醒,20,10,47.34,106.7,213.41
粤STB959,04无排行无提醒,19,10,11.91,26.85,51.01
粤BP439V,04无排行无提醒,21,9,25.02,56.4,131.59
粤PR5795,04无排行无提醒,6,24,63.36,142.81,35.7
粤S09158,04无排行无提醒,30,0,0,0,299.7
粤B3RC91,04无排行无提醒,30,0,0,0,251.1
粤B83CT2,04无排行无提醒,19,1,1.82,4.1,77.94
粤STB959,04无排行无提醒,13,18,95.12,214.4,154.84
粤BP439V,04无排行无提醒,14,17,76.55,172.54,142.09
粤B0Y92H,04无排行无提醒,7,24,155.45,350.38,102.2
粤PR5795,04无排行无提醒,17,13,36.9,83.17,108.76
粤B83CT2,04无排行无提醒,31,0,0,0,102.92
粤B4C0S6,04无排行无提醒,31,0,0,0,583.11
粤B3RC91,04无排行无提醒,31,0,0,0,259.47
粤S09158,04无排行无提醒,31,0,0,0,309.69
皖AT0540,04无排行无提醒,0,8,386.77,871.78,0
皖AT0540,04无排行无提醒,0,30,1307.13,2946.27,0
粤B0Y92H,04无排行无提醒,13,17,162.49,366.25,280.08
粤PR5795,04无排行无提醒,8,22,38.71,87.25,31.73
粤STB959,04无排行无提醒,16,14,31.08,70.05,80.06
粤BP439V,04无排行无提醒,7,23,98.71,222.49,67.72
粤B83CT2,04无排行无提醒,29,1,1.13,2.55,73.86
粤B4C0S6,04无排行无提醒,30,0,0,0,564.3
粤B3RC91,04无排行无提醒,30,0,0,0,251.1
粤S09158,04无排行无提醒,30,0,0,0,299.7
皖AT0623,04无排行无提醒,0,3,110.16,248.3,0
皖AT0658,04无排行无提醒,0,3,91.38,205.97,0
皖AT0560,04无排行无提醒,0,3,167.59,377.75,0
皖AT0565,04无排行无提醒,0,3,124.88,281.48,0
皖AT0666,04无排行无提醒,0,3,93.85,211.54,0
皖AT0608,04无排行无提醒,0,2,56.25,126.79,0
皖AT0661,04无排行无提醒,0,3,91.51,206.26,0
皖AT0616,04无排行无提醒,0,3,86.75,195.53,0
皖AT0556,04无排行无提醒,0,1,5.29,11.92,0
皖AT0560,04无排行无提醒,0,31,2094.86,4721.81,0
皖AT0540,04无排行无提醒,0,31,1599.57,3605.43,0
皖AT0623,04无排行无提醒,0,31,1294.41,2917.6,0
皖AT0658,04无排行无提醒,0,31,1638.67,3693.56,0
皖AT0666,04无排行无提醒,0,31,1253.32,2824.98,0
皖AT0565,04无排行无提醒,0,31,1512.63,3409.47,0
皖AT0661,04无排行无提醒,0,31,1144.37,2579.41,0
粤BP439V,04无排行无提醒,7,24,100.44,226.39,66.03
粤STB959,04无排行无提醒,11,19,41.78,94.17,54.52
粤B0Y92H,04无排行无提醒,21,10,97.75,220.33,462.69
皖AT0616,04无排行无提醒,22,9,250.96,565.66,1382.73
粤PR5795,04无排行无提醒,18,11,18.11,40.82,66.8
皖AT0608,04无排行无提醒,3,28,1241.15,2797.55,299.74
皖AT0556,04无排行无提醒,0,0,0,0,0
粤S09158,04无排行无提醒,31,0,0,0,309.69
粤B3RC91,04无排行无提醒,31,0,0,0,259.47
粤B83CT2,04无排行无提醒,31,0,0,0,102.92
粤B4C0S6,04无排行无提醒,31,0,0,0,583.11
皖AT0658,04无排行无提醒,7,24,1010.84,2278.43,664.54
皖AT0608,04无排行无提醒,4,27,1360.06,3065.58,454.16
皖AT0540,04无排行无提醒,7,24,1251.68,2821.29,822.88
皖AT0623,04无排行无提醒,1,30,1100.48,2480.48,82.68
皖AT0560,04无排行无提醒,7,24,1555.03,3505.04,1022.3
皖AT0661,04无排行无提醒,3,28,991,2233.71,239.33
皖AT0565,04无排行无提醒,6,25,1177.01,2652.98,636.72
皖AT0666,04无排行无提醒,3,28,873.83,1969.61,211.03
粤STB959,04无排行无提醒,8,23,143.08,322.5,112.17
皖AT0616,04无排行无提醒,31,0,0,0,1972.22
皖AT0556,04无排行无提醒,0,0,0,0,0
粤B3RC91,04无排行无提醒,31,0,0,0,259.47
粤B4C0S6,04无排行无提醒,31,0,0,0,583.11
粤S09158,04无排行无提醒,31,0,0,0,309.69
粤B83CT2,04无排行无提醒,31,0,0,0,102.92
粤B0Y92H,04无排行无提醒,9,22,285.83,644.26,263.56
粤BP439V,04无排行无提醒,7,24,134.77,303.77,88.6
粤PR5795,04无排行无提醒,29,2,0.27,0.61,8.82
皖AT0661,04无排行无提醒,1,28,507.13,1143.07,40.82
皖AT0623,04无排行无提醒,9,20,445.5,1004.16,451.87
粤STB959,04无排行无提醒,16,13,97.44,219.63,270.31
皖AT0658,04无排行无提醒,3,26,703.72,1586.18,183.02
皖AT0560,04无排行无提醒,29,0,0,0,4365.66
皖AT0608,04无排行无提醒,14,15,249.47,562.31,524.82
皖AT0556,04无排行无提醒,0,0,0,0,0
皖AT0565,04无排行无提醒,25,4,29.87,67.33,420.79
皖AT0666,04无排行无提醒,24,5,15.74,35.48,170.29
皖AT0616,04无排行无提醒,29,0,0,0,1844.98
粤B3RC91,04无排行无提醒,29,0,0,0,242.73
粤B4C0S6,04无排行无提醒,29,0,0,0,545.49
皖AT0540,04无排行无提醒,27,2,3.09,6.96,94.03
粤S09158,04无排行无提醒,29,0,0,0,289.71
粤B83CT2,04无排行无提醒,29,0,0,0,96.28
粤B0Y92H,04无排行无提醒,29,0,0,0,591.6
粤BP439V,04无排行无提醒,16,13,69.91,157.58,193.94
粤PR5795,04无排行无提醒,28,1,0.02,0.05,1.26
皖AT0623,04无排行无提醒,0,31,1045.76,2357.14,0
皖AT0608,04无排行无提醒,0,31,943.73,2127.17,0
皖AT0658,04无排行无提醒,2,29,858.89,1935.94,133.51
皖AT0661,04无排行无提醒,6,25,625.63,1410.17,338.44
皖AT0565,04无排行无提醒,7,24,463.66,1045.09,304.82
粤BP439V,04无排行无提醒,8,23,133.12,300.05,104.37
皖AT0540,04无排行无提醒,0,31,675.52,1522.62,0
皖AT0616,04无排行无提醒,31,0,0,0,1972.22
皖AT0666,04无排行无提醒,1,30,758.43,1709.5,56.98
皖AT0556,04无排行无提醒,0,0,0,0,0
皖AT0560,04无排行无提醒,31,0,0,0,4666.74
粤B3RC91,04无排行无提醒,31,0,0,0,259.47
粤B4C0S6,04无排行无提醒,31,0,0,0,583.11
粤STB959,04无排行无提醒,31,0,0,0,283.96
粤S09158,04无排行无提醒,31,0,0,0,309.69
粤B83CT2,04无排行无提醒,31,0,0,0,102.92
粤B0Y92H,04无排行无提醒,31,0,0,0,632.4
粤PR5795,04无排行无提醒,22,9,23.06,51.98,127.06
皖AT0623,04无排行无提醒,0,30,1057.39,2383.36,0
皖AT0608,04无排行无提醒,1,29,1017.4,2293.22,79.08
皖AT0658,04无排行无提醒,3,27,649.65,1464.31,162.7
皖AT0666,04无排行无提醒,0,30,1057.95,2384.62,0
皖AT0540,04无排行无提醒,0,30,1326.65,2990.27,0
皖AT0565,04无排行无提醒,0,30,1233.87,2781.14,0
粤BP439V,04无排行无提醒,10,20,136.04,306.63,153.32
粤STB959,04无排行无提醒,30,0,0,0,274.8
粤B4C0S6,04无排行无提醒,30,0,0,0,564.3
皖AT0616,04无排行无提醒,30,0,0,0,1908.6
粤PR5795,04无排行无提醒,1,29,79.4,178.97,6.17
皖AT0556,04无排行无提醒,0,0,0,0,0
粤S09158,04无排行无提醒,30,0,0,0,299.7
粤B83CT2,04无排行无提醒,30,0,0,0,99.6
皖AT0560,04无排行无提醒,30,0,0,0,4516.2
皖AT0661,04无排行无提醒,30,0,0,0,1977.6
粤B0Y92H,04无排行无提醒,30,0,0,0,612
粤B3RC91,04无排行无提醒,30,0,0,0,251.1
