部门,车牌号,行驶里程,总里程,油耗,行驶时长,平均速度.KM.H.,急加速,急减速,急转弯,疲劳驾驶.次数.,夜间驾驶时长.H.,日期,驾驶行为评分,插拔
03无排行有提醒,粤TEST01,0,20759.6,0,0,0,0,0,0,0,NA,2019/8/1,0,拔出
03无排行有提醒,粤TEST01,0,20754.92,0,0,0,0,0,0,0,0,2019/8/2,0,拔出
03无排行有提醒,粤TEST01,0,20754.92,0,0,0,0,0,0,0,0,2019/8/3,0,拔出
03无排行有提醒,粤TEST01,0,20754.92,0,0,0,0,0,0,0,0,2019/8/4,0,拔出
03无排行有提醒,粤TEST01,0,20754.92,0,0,0,0,0,0,0,0,2019/8/5,0,拔出
03无排行有提醒,粤B3AU48,0,0,0,0,0,0,0,0,0,0,2019/8/5,100,未拔出
03无排行有提醒,粤B3AU48,8.4,8.4,1.36,0.57,0,2,18,0,0,0,2019/8/6,0,未拔出
03无排行有提醒,粤TEST01,0,20759.6,0,0,0,0,0,0,0,NA,2019/8/6,0,拔出
03无排行有提醒,粤B3AU48,9.01,17.41,0.53,0.48,0,10,18,0,0,0,2019/8/7,0,未拔出
03无排行有提醒,粤TEST01,0,20759.6,0,0,0,0,0,0,0,NA,2019/8/7,0,拔出
03无排行有提醒,粤B533CJ,10.14,10.14,1.66,0.79,0,0,2,0,0,0,2019/8/8,0,未拔出
03无排行有提醒,粤B3AU48,7.86,25.27,0,0.38,0,18,24,0,0,0,2019/8/8,0,未拔出
03无排行有提醒,粤TEST01,0,20759.6,0,0,0,0,0,0,0,NA,2019/8/8,0,拔出
03无排行有提醒,粤B3AU48,82.4,107.67,0,2.22,37.12,88,59,0,0,1.15,2019/8/9,64.17,未拔出
03无排行有提醒,粤B533CJ,68.88,79.02,7.51,3.02,22.81,12,9,0,0,1.27,2019/8/9,81.57,未拔出
03无排行有提醒,粤B2X562,6.43,6.43,0.91,0.34,18.91,6,4,0,0,0.34,2019/8/9,86.34,未拔出
03无排行有提醒,粤TEST01,0,20754.92,0,0,0,0,0,0,0,0,2019/8/9,0,拔出
03无排行有提醒,粤B533CJ,10.09,89.11,1.71,0.94,10.73,4,5,0,0,0.17,2019/8/10,94.26,未拔出
03无排行有提醒,粤B2X562,8.51,14.94,2.2,1.51,5.64,16,15,1,0,0.32,2019/8/10,88.11,未拔出
03无排行有提醒,粤TEST01,0,20754.92,0,0,0,0,0,0,0,0,2019/8/10,0,拔出
03无排行有提醒,粤B3AU48,0,107.67,0,0,0,0,0,0,0,0,2019/8/10,100,未拔出
03无排行有提醒,粤B2X562,14.97,29.91,2.45,1.11,13.49,18,15,1,0,0.13,2019/8/11,91.14,未拔出
03无排行有提醒,粤B3AU48,13.66,121.33,0,0.81,16.86,38,36,0,0,0.81,2019/8/11,79.19,未拔出
