日期,车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放（kg）,绿色出行减排（kg）
2019年11月,皖AT0540,04无排行无提醒,0,30,1307.13,2946.27,0
2019年11月,皖AT0626,01有排行有提醒,5,25,491.69,1108.27,221.65
2019年11月,粤B0Y92H,04无排行无提醒,13,17,162.49,366.25,280.08
2019年11月,粤B3Q03K,02有排行无提醒,1,29,407.74,919.05,31.69
2019年11月,粤L39ES3,01有排行有提醒,0,26,224.94,507.01,0
2019年11月,粤JCL629,02有排行无提醒,18,12,59.95,135.13,202.69
2019年11月,粤BT2220,01有排行有提醒,0,30,413,930.9,0
2019年11月,粤B9XN26,02有排行无提醒,5,25,246.46,555.52,111.1
2019年11月,粤B2X562,03无排行有提醒,1,29,72.87,164.25,5.66
2019年11月,粤B3R80W,01有排行有提醒,2,28,94.71,213.48,15.25
2019年11月,粤B892VK,03无排行有提醒,28,2,2.92,6.58,92.14
2019年11月,粤B2K335,01有排行有提醒,0,30,94.27,212.48,0
2019年11月,粤B7U0H5,02有排行无提醒,26,4,5.01,11.29,73.4
2019年11月,粤STC809,03无排行有提醒,0,30,395.89,892.34,0
2019年11月,粤PR5795,04无排行无提醒,8,22,38.71,87.25,31.73
2019年11月,粤STB959,04无排行无提醒,16,14,31.08,70.05,80.06
2019年11月,粤BN8G52,02有排行无提醒,0,0,0,0,0
2019年11月,粤BP439V,04无排行无提醒,7,23,98.71,222.49,67.72
2019年11月,皖AYY059,02有排行无提醒,30,0,0,0,236.4
2019年11月,渝D865V3,03无排行有提醒,30,0,0,0,303.6
2019年11月,粤TEST01,03无排行有提醒,0,0,0,0,0
2019年11月,粤B83CT2,04无排行无提醒,29,1,1.13,2.55,73.86
2019年11月,粤B4C0S6,04无排行无提醒,30,0,0,0,564.3
2019年11月,粤BY1047,03无排行有提醒,30,0,0,0,81
2019年11月,粤LBY602,01有排行有提醒,30,0,0,0,360.3
2019年11月,粤B3AU48,03无排行有提醒,30,0,0,0,111.3
2019年11月,闽C88DN2,02有排行无提醒,30,0,0,0,105.3
2019年11月,粤S45B27,01有排行有提醒,30,0,0,0,1109.4
2019年11月,粤B533CJ,03无排行有提醒,30,0,0,0,148.2
2019年11月,粤B3RC91,04无排行无提醒,30,0,0,0,251.1
2019年11月,粤BH218W,01有排行有提醒,30,0,0,0,0
2019年11月,粤S09158,04无排行无提醒,30,0,0,0,299.7
2019年11月,粤B048RX,01有排行有提醒,0,0,0,0,0
2019年11月,粤BS207S,03无排行有提醒,0,9,27.6,62.21,0
2019年11月,皖AT0553,01有排行有提醒,0,24,841.25,1896.18,0
2019年11月,皖AT0576,02有排行无提醒,0,23,919.03,2071.49,0
2019年11月,粤SL3H57,02有排行无提醒,19,4,7.99,18.01,85.54
2019年11月,粤BL05M1,02有排行无提醒,5,1,1.97,4.44,22.2
2019年11月,皖AT0575,02有排行无提醒,0,3,111.66,251.68,0
2019年11月,皖AT0601,02有排行无提醒,0,3,158.83,358,0
2019年11月,皖AT0623,04无排行无提醒,0,3,110.16,248.3,0
