日期,车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放,绿色出行减排
2020年9月,皖AT0601,02有排行无提醒,8,22,879.55,1982.51,720.91
2020年9月,皖AT0613,02有排行无提醒,0,30,887.13,1999.59,0
2020年9月,皖AT0541,02有排行无提醒,7,23,866.94,1954.08,594.72
2020年9月,皖AT0620,02有排行无提醒,3,27,624.99,1408.73,156.53
2020年9月,粤BL05M1,02有排行无提醒,12,18,78.43,176.78,117.85
2020年9月,皖AT0641,02有排行无提醒,0,0,0,0,0
2020年9月,皖AT0580,02有排行无提醒,30,0,0,0,761.7
2020年9月,皖AT0657,02有排行无提醒,30,0,0,0,2942.7
2020年9月,皖AT0575,02有排行无提醒,30,0,0,0,3156.3
2020年9月,皖AT0543,02有排行无提醒,30,0,0,0,1000.2
2020年9月,粤JCL629,02有排行无提醒,30,0,0,0,246.3
2020年9月,闽C88DN2,02有排行无提醒,30,0,0,0,105.3
2020年9月,粤B3Q03K,02有排行无提醒,30,0,0,0,591.9
2020年9月,皖AYY059,02有排行无提醒,30,0,0,0,236.4
2020年9月,粤B9XN26,02有排行无提醒,30,0,0,0,659.4
2020年9月,皖AT0576,02有排行无提醒,30,0,0,0,2604
2020年9月,粤SL3H57,02有排行无提醒,30,0,0,0,135
2020年9月,粤B7U0H5,02有排行无提醒,30,0,0,0,116.7
2020年9月,粤BN8G52,02有排行无提醒,0,0,0,0,0
