日期,车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放（kg）,绿色出行减排（kg）
2020年8月,皖AT0596,03无排行有提醒,0,31,1386.45,3125.06,0
2020年8月,皖AT0591,03无排行有提醒,0,31,1607.49,3623.28,0
2020年8月,皖AT0631,03无排行有提醒,0,31,1113.47,2509.76,0
2020年8月,皖AT0632,03无排行有提醒,0,31,1371.28,3090.87,0
2020年8月,皖AT0621,03无排行有提醒,2,29,1497.83,3376.11,232.84
2020年8月,粤STC809,03无排行有提醒,30,1,19.89,44.83,1344.96
2020年8月,渝D865V3,03无排行有提醒,31,0,0,0,309.38
2020年8月,皖AT0579,03无排行有提醒,31,0,0,0,2647.4
2020年8月,皖AT0589,03无排行有提醒,31,0,0,0,2545.41
2020年8月,皖AT0539,03无排行有提醒,31,0,0,0,3421.47
2020年8月,皖AT0563,03无排行有提醒,2,29,819.92,1848.1,127.46
2020年8月,皖AT0549,03无排行有提醒,31,0,0,0,3784.48
2020年8月,粤B2X562,03无排行有提醒,31,0,0,0,207.39
2020年8月,粤B533CJ,03无排行有提醒,31,0,0,0,153.14
2020年8月,粤B3AU48,03无排行有提醒,31,0,0,0,115.01
2020年8月,皖AT0633,03无排行有提醒,31,0,0,0,3432.94
2020年8月,粤BS207S,03无排行有提醒,31,0,0,0,315.89
2020年8月,粤B892VK,03无排行有提醒,31,0,0,0,187.24
2020年8月,粤BY1047,03无排行有提醒,31,0,0,0,83.7
