user_id,car_plate,department,dates
51483,粤BT2220,01有排行有提醒,2020/11/17 11:28
51483,粤BT2220,01有排行有提醒,2020/10/27 11:48
51483,粤BT2220,01有排行有提醒,2020/8/7 10:49
51483,粤BT2220,01有排行有提醒,2020/8/6 10:51
51483,粤BT2220,01有排行有提醒,2020/7/20 13:44
51483,粤BT2220,01有排行有提醒,2020/7/17 11:36
51483,粤BT2220,01有排行有提醒,2020/7/15 10:56
51483,粤BT2220,01有排行有提醒,2020/6/7 12:16
51483,粤BT2220,01有排行有提醒,2020/5/23 12:17
51483,粤BT2220,01有排行有提醒,2020/5/13 8:06
51483,粤BT2220,01有排行有提醒,2020/5/12 15:59
51483,粤BT2220,01有排行有提醒,2020/5/7 11:48
51483,粤BT2220,01有排行有提醒,2020/5/6 17:27
51483,粤BT2220,01有排行有提醒,2020/4/14 14:38
51483,粤BT2220,01有排行有提醒,2020/3/24 9:09
51483,粤BT2220,01有排行有提醒,2020/3/12 7:58
51483,粤BT2220,01有排行有提醒,2020/3/11 7:54
51483,粤BT2220,01有排行有提醒,2020/3/10 9:18
52889,皖AT0619,01有排行有提醒,2020/3/3 11:50
52889,皖AT0619,01有排行有提醒,2020/3/1 17:27
52884,皖AT0665,01有排行有提醒,2020/2/29 9:50
52889,皖AT0619,01有排行有提醒,2020/2/23 14:35
52889,皖AT0619,01有排行有提醒,2020/2/22 15:48
51483,粤BT2220,01有排行有提醒,2020/2/16 5:55
52889,皖AT0619,01有排行有提醒,2020/1/13 23:17
52889,皖AT0619,01有排行有提醒,2020/1/12 17:55
52858,皖AT0553,01有排行有提醒,2020/1/8 15:10
52858,皖AT0553,01有排行有提醒,2020/1/6 12:48
52876,皖AT0650,01有排行有提醒,2020/1/5 11:36
52884,皖AT0665,01有排行有提醒,2020/1/4 18:34
52861,皖AT0599,01有排行有提醒,2020/1/4 15:45
52861,皖AT0599,01有排行有提醒,2020/1/3 6:07
52861,皖AT0599,01有排行有提醒,2019/12/31 8:15
52861,皖AT0599,01有排行有提醒,2019/12/29 7:44
52861,皖AT0599,01有排行有提醒,2019/12/28 8:36
52858,皖AT0553,01有排行有提醒,2019/12/27 20:27
52861,皖AT0599,01有排行有提醒,2019/12/27 7:54
52893,皖AT0642,01有排行有提醒,2019/12/26 13:05
52861,皖AT0599,01有排行有提醒,2019/12/26 6:30
52861,皖AT0599,01有排行有提醒,2019/12/25 8:01
52861,皖AT0599,01有排行有提醒,2019/12/24 7:44
52897,皖AT0609,01有排行有提醒,2019/12/23 16:20
51483,粤BT2220,01有排行有提醒,2019/12/23 14:18
52861,皖AT0599,01有排行有提醒,2019/12/23 7:03
52880,皖AT0547,01有排行有提醒,2019/12/23 4:48
52889,皖AT0619,01有排行有提醒,2019/12/22 18:40
52897,皖AT0609,01有排行有提醒,2019/12/22 17:06
51483,粤BT2220,01有排行有提醒,2019/12/22 12:15
52889,皖AT0619,01有排行有提醒,2019/12/21 17:19
52861,皖AT0599,01有排行有提醒,2019/12/21 7:21
52861,皖AT0599,01有排行有提醒,2019/12/18 7:46
52861,皖AT0599,01有排行有提醒,2019/12/17 7:05
52876,皖AT0650,01有排行有提醒,2019/12/17 1:15
52861,皖AT0599,01有排行有提醒,2019/12/16 6:58
52861,皖AT0599,01有排行有提醒,2019/12/15 6:23
52889,皖AT0619,01有排行有提醒,2019/12/15 1:59
52868,皖AT0568,01有排行有提醒,2019/12/14 11:25
52861,皖AT0599,01有排行有提醒,2019/12/14 7:44
52861,皖AT0599,01有排行有提醒,2019/12/13 8:09
52889,皖AT0619,01有排行有提醒,2019/12/12 18:00
52884,皖AT0665,01有排行有提醒,2019/12/12 6:55
52861,皖AT0599,01有排行有提醒,2019/12/12 6:54
52861,皖AT0599,01有排行有提醒,2019/12/11 6:49
52880,皖AT0547,01有排行有提醒,2019/12/11 4:35
52868,皖AT0568,01有排行有提醒,2019/12/10 16:59
52889,皖AT0619,01有排行有提醒,2019/12/10 16:31
52884,皖AT0665,01有排行有提醒,2019/12/10 7:03
52876,皖AT0650,01有排行有提醒,2019/12/9 16:06
52889,皖AT0619,01有排行有提醒,2019/12/9 13:11
52893,皖AT0642,01有排行有提醒,2019/12/9 12:43
52861,皖AT0599,01有排行有提醒,2019/12/9 10:28
52884,皖AT0665,01有排行有提醒,2019/12/9 6:59
52880,皖AT0547,01有排行有提醒,2019/12/8 15:59
52868,皖AT0568,01有排行有提醒,2019/12/8 15:38
52884,皖AT0665,01有排行有提醒,2019/12/8 13:37
52861,皖AT0599,01有排行有提醒,2019/12/8 7:55
52889,皖AT0619,01有排行有提醒,2019/12/7 20:40
52861,皖AT0599,01有排行有提醒,2019/12/7 18:05
52884,皖AT0665,01有排行有提醒,2019/12/7 9:35
52897,皖AT0609,01有排行有提醒,2019/12/6 17:20
52884,皖AT0665,01有排行有提醒,2019/12/6 8:25
52889,皖AT0619,01有排行有提醒,2019/12/6 7:04
52861,皖AT0599,01有排行有提醒,2019/12/6 6:31
52876,皖AT0650,01有排行有提醒,2019/12/6 5:07
52889,皖AT0619,01有排行有提醒,2019/12/5 8:08
52861,皖AT0599,01有排行有提醒,2019/12/5 7:07
52880,皖AT0547,01有排行有提醒,2019/12/5 4:34
52876,皖AT0650,01有排行有提醒,2019/12/5 4:05
52861,皖AT0599,01有排行有提醒,2019/12/4 18:16
52872,皖AT0600,01有排行有提醒,2019/12/4 17:57
52897,皖AT0609,01有排行有提醒,2019/12/4 17:06
52876,皖AT0650,01有排行有提醒,2019/12/4 15:54
52868,皖AT0568,01有排行有提醒,2019/12/4 15:47
52889,皖AT0619,01有排行有提醒,2019/12/4 15:38
52880,皖AT0547,01有排行有提醒,2019/12/4 14:57
52884,皖AT0665,01有排行有提醒,2019/12/4 14:44
51483,粤BT2220,01有排行有提醒,2019/12/4 13:54
52858,皖AT0553,01有排行有提醒,2019/12/4 13:42
51483,粤BT2220,01有排行有提醒,2019/12/3 16:39
51483,粤BT2220,01有排行有提醒,2019/12/2 16:00
51483,粤BT2220,01有排行有提醒,2019/11/26 11:25
51483,粤BT2220,01有排行有提醒,2019/11/11 9:52
51483,粤BT2220,01有排行有提醒,2019/11/7 9:34
51483,粤BT2220,01有排行有提醒,2019/11/5 17:42
51483,粤BT2220,01有排行有提醒,2019/11/4 17:40
52850,皖AT0626,01有排行有提醒,2019/10/24 17:09
51483,粤BT2220,01有排行有提醒,2019/9/26 9:40
51483,粤BT2220,01有排行有提醒,2019/9/25 18:18
51483,粤BT2220,01有排行有提醒,2019/9/16 9:17
52824,粤BH218W,01有排行有提醒,2019/9/13 0:29
51483,粤BT2220,01有排行有提醒,2019/8/29 7:35
51483,粤BT2220,01有排行有提醒,2019/8/28 14:21
52828,粤B048RX,01有排行有提醒,2019/8/23 21:45
52828,粤B048RX,01有排行有提醒,2019/8/22 23:20
52828,粤B048RX,01有排行有提醒,2019/8/21 20:17
51483,粤BT2220,01有排行有提醒,2019/8/21 13:36
52828,粤B048RX,01有排行有提醒,2019/8/20 18:42
51483,粤BT2220,01有排行有提醒,2019/8/19 9:57
52828,粤B048RX,01有排行有提醒,2019/8/18 12:25
52833,粤B2K335,01有排行有提醒,2019/8/16 10:57
52828,粤B048RX,01有排行有提醒,2019/8/16 1:31
52829,粤B3R80W,01有排行有提醒,2019/8/15 15:10
51483,粤BT2220,01有排行有提醒,2019/8/14 17:24
52833,粤B2K335,01有排行有提醒,2019/8/14 15:56
52828,粤B048RX,01有排行有提醒,2019/8/14 15:06
52829,粤B3R80W,01有排行有提醒,2019/8/14 9:29
52829,粤B3R80W,01有排行有提醒,2019/8/13 16:41
52828,粤B048RX,01有排行有提醒,2019/8/13 11:48
52828,粤B048RX,01有排行有提醒,2019/8/12 18:02
52816,粤LBY602,01有排行有提醒,2019/8/12 11:40
52824,粤BH218W,01有排行有提醒,2019/8/10 12:00
