user_id,car_plate,department,dates
52883,皖AT0658,04无排行无提醒,2020/3/30 18:35
52883,皖AT0658,04无排行无提醒,2020/3/2 13:50
52883,皖AT0658,04无排行无提醒,2020/2/5 14:11
52883,皖AT0658,04无排行无提醒,2020/1/19 8:20
52883,皖AT0658,04无排行无提醒,2020/1/12 6:09
52871,皖AT0661,04无排行无提醒,2020/1/7 22:29
52883,皖AT0658,04无排行无提醒,2020/1/7 19:05
52883,皖AT0658,04无排行无提醒,2020/1/5 9:06
52875,皖AT0556,04无排行无提醒,2020/1/4 20:21
52871,皖AT0661,04无排行无提醒,2020/1/4 8:44
52883,皖AT0658,04无排行无提醒,2020/1/3 6:19
52883,皖AT0658,04无排行无提醒,2020/1/2 21:59
52883,皖AT0658,04无排行无提醒,2020/1/1 7:27
52871,皖AT0661,04无排行无提醒,2019/12/28 16:45
52871,皖AT0661,04无排行无提醒,2019/12/27 23:17
52871,皖AT0661,04无排行无提醒,2019/12/26 23:20
52883,皖AT0658,04无排行无提醒,2019/12/26 11:12
52883,皖AT0658,04无排行无提醒,2019/12/24 9:18
52867,皖AT0608,04无排行无提醒,2019/12/23 13:18
52883,皖AT0658,04无排行无提醒,2019/12/23 6:51
52871,皖AT0661,04无排行无提醒,2019/12/22 22:42
52883,皖AT0658,04无排行无提醒,2019/12/22 21:00
52875,皖AT0556,04无排行无提醒,2019/12/21 5:38
52867,皖AT0608,04无排行无提醒,2019/12/20 12:46
52887,皖AT0666,04无排行无提醒,2019/12/16 20:54
52883,皖AT0658,04无排行无提醒,2019/12/15 21:06
52871,皖AT0661,04无排行无提醒,2019/12/15 6:42
52875,皖AT0556,04无排行无提醒,2019/12/14 22:49
52883,皖AT0658,04无排行无提醒,2019/12/13 18:38
52883,皖AT0658,04无排行无提醒,2019/12/12 6:48
52871,皖AT0661,04无排行无提醒,2019/12/11 22:35
52883,皖AT0658,04无排行无提醒,2019/12/11 6:56
52883,皖AT0658,04无排行无提醒,2019/12/10 11:21
52887,皖AT0666,04无排行无提醒,2019/12/9 13:17
52875,皖AT0556,04无排行无提醒,2019/12/9 10:35
52867,皖AT0608,04无排行无提醒,2019/12/9 9:53
52864,皖AT0560,04无排行无提醒,2019/12/9 7:00
52883,皖AT0658,04无排行无提醒,2019/12/9 2:01
52871,皖AT0661,04无排行无提醒,2019/12/8 22:25
52879,皖AT0616,04无排行无提醒,2019/12/8 19:59
52883,皖AT0658,04无排行无提醒,2019/12/8 18:52
52887,皖AT0666,04无排行无提醒,2019/12/8 16:28
52875,皖AT0556,04无排行无提醒,2019/12/8 16:13
52867,皖AT0608,04无排行无提醒,2019/12/7 11:12
52871,皖AT0661,04无排行无提醒,2019/12/7 6:56
52875,皖AT0556,04无排行无提醒,2019/12/7 5:35
52871,皖AT0661,04无排行无提醒,2019/12/6 21:53
52883,皖AT0658,04无排行无提醒,2019/12/5 21:25
52871,皖AT0661,04无排行无提醒,2019/12/5 18:31
52879,皖AT0616,04无排行无提醒,2019/12/5 17:21
52867,皖AT0608,04无排行无提醒,2019/12/5 9:31
52875,皖AT0556,04无排行无提醒,2019/12/5 4:53
52871,皖AT0661,04无排行无提醒,2019/12/4 20:05
52856,皖AT0540,04无排行无提醒,2019/12/4 18:24
52864,皖AT0560,04无排行无提醒,2019/12/4 16:49
52875,皖AT0556,04无排行无提醒,2019/12/4 14:51
52879,皖AT0616,04无排行无提醒,2019/12/4 14:48
52883,皖AT0658,04无排行无提醒,2019/12/4 14:34
52856,皖AT0540,04无排行无提醒,2019/10/31 18:58
52856,皖AT0540,04无排行无提醒,2019/10/29 3:13
52832,粤PR5795,04无排行无提醒,2019/10/28 11:26
52856,皖AT0540,04无排行无提醒,2019/10/25 22:11
52856,皖AT0540,04无排行无提醒,2019/10/24 19:19
52832,粤PR5795,04无排行无提醒,2019/10/12 13:19
52832,粤PR5795,04无排行无提醒,2019/9/21 11:06
52845,粤B83CT2,04无排行无提醒,2019/9/12 17:15
52845,粤B83CT2,04无排行无提醒,2019/9/11 17:57
52832,粤PR5795,04无排行无提醒,2019/9/2 9:39
52832,粤PR5795,04无排行无提醒,2019/8/29 9:48
52810,粤STB959,04无排行无提醒,2019/8/29 7:06
52810,粤STB959,04无排行无提醒,2019/8/28 17:26
52841,粤B0Y92H,04无排行无提醒,2019/8/24 13:52
52841,粤B0Y92H,04无排行无提醒,2019/8/23 7:25
52841,粤B0Y92H,04无排行无提醒,2019/8/22 22:06
52832,粤PR5795,04无排行无提醒,2019/8/20 22:28
52810,粤STB959,04无排行无提醒,2019/8/20 20:52
52832,粤PR5795,04无排行无提醒,2019/8/14 14:31
52815,粤B4C0S6,04无排行无提醒,2019/8/12 13:34
52810,粤STB959,04无排行无提醒,2019/8/10 18:36
52819,粤M1J812,04无排行无提醒,2019/8/9 18:58
52810,粤STB959,04无排行无提醒,2019/8/8 20:38
52810,粤STB959,04无排行无提醒,2019/8/4 12:51
52815,粤B4C0S6,04无排行无提醒,2019/8/2 13:49
52810,粤STB959,04无排行无提醒,2019/8/2 11:56
52815,粤B4C0S6,04无排行无提醒,2019/8/1 16:39
52810,粤STB959,04无排行无提醒,2019/7/27 22:01
52810,粤STB959,04无排行无提醒,2019/7/26 15:58
