部门,车牌号,行驶里程,总里程,油耗,行驶时长,平均速度（KM/H）,急加速,急减速,急转弯,疲劳驾驶（次数）,夜间驾驶时长（H）,日期,驾驶行为评分,插拔
01有排行有提醒,皖AT0626,235.71,2011.18,29.38,11.1,21.24,31,99,20,0,1.91,2019/11/1,73.15,未拔出
01有排行有提醒,粤L39ES3,94.06,3463.78,8.97,3.06,30.74,24,49,0,0,0.93,2019/11/1,82.21,未拔出
01有排行有提醒,粤BT2220,65.33,21762.55,27.76,4.22,15.48,24,16,0,0,2.51,2019/11/1,76.27,未拔出
01有排行有提醒,粤B3R80W,30.49,2176.22,2.34,1.51,20.19,18,6,23,0,0.79,2019/11/1,87.41,未拔出
01有排行有提醒,粤B2K335,18.85,3243.2,1.84,1.07,17.62,9,7,2,0,0,2019/11/1,95.27,未拔出
01有排行有提醒,粤LBY602,0,1037.63,0,0,0,0,0,0,0,0,2019/11/1,100,未拔出
01有排行有提醒,粤S45B27,0,1156.57,0,0,0,0,0,0,0,0,2019/11/1,100,未拔出
01有排行有提醒,粤BH218W,0,0.74,0,0,0,0,0,0,0,0,2019/11/1,100,未拔出
01有排行有提醒,粤B048RX,0,387.38,0,0,0,0,0,0,0,0,2019/11/1,0,未拔出
01有排行有提醒,皖AT0626,238.4,2249.58,31.36,12.74,18.71,25,91,6,0,2.24,2019/11/2,74.94,未拔出
01有排行有提醒,粤L39ES3,145.46,3609.24,14.68,5.04,28.86,28,43,0,0,0.74,2019/11/2,82.28,未拔出
01有排行有提醒,粤BT2220,34.85,21797.4,8.07,1.82,19.15,6,1,0,0,0.84,2019/11/2,90.7,未拔出
01有排行有提醒,粤B3R80W,22.67,2198.89,1.89,1.04,21.8,14,27,22,0,0.31,2019/11/2,86.61,未拔出
01有排行有提醒,粤B2K335,5.24,3249.82,0.45,0.28,18.71,2,0,0,0,0,2019/11/2,97.78,未拔出
01有排行有提醒,粤LBY602,0,1037.63,0,0,0,0,0,0,0,0,2019/11/2,100,未拔出
01有排行有提醒,粤S45B27,0,1156.57,0,0,0,0,0,0,0,0,2019/11/2,100,未拔出
01有排行有提醒,粤BH218W,0,0.74,0,0,0,0,0,0,0,0,2019/11/2,100,未拔出
01有排行有提醒,粤B048RX,0,387.38,0,0,0,0,0,0,0,0,2019/11/2,0,未拔出
01有排行有提醒,皖AT0626,318.87,2568.45,39.67,15.33,20.8,44,114,22,3,4.43,2019/11/3,49.58,未拔出
01有排行有提醒,粤L39ES3,83.51,3692.75,9.33,3.42,24.42,34,53,0,0,1.34,2019/11/3,73.25,未拔出
01有排行有提醒,粤BT2220,61.1,21858.5,15.72,3.12,19.58,22,22,0,0,0,2019/11/3,90.04,未拔出
01有排行有提醒,粤B3R80W,31.99,2230.88,2.94,2.09,15.31,8,9,25,0,0.65,2019/11/3,88.31,未拔出
01有排行有提醒,粤B2K335,13.41,3263.23,1.51,0.96,13.97,1,2,0,0,0,2019/11/3,96.59,未拔出
01有排行有提醒,粤LBY602,0,1037.63,0,0,0,0,0,0,0,0,2019/11/3,100,未拔出
01有排行有提醒,粤B048RX,0,387.38,0,0,0,0,0,0,0,0,2019/11/3,0,未拔出
01有排行有提醒,粤S45B27,0,1156.57,0,0,0,0,0,0,0,0,2019/11/3,100,未拔出
01有排行有提醒,粤BH218W,0,0.74,0,0,0,0,0,0,0,0,2019/11/3,100,未拔出
01有排行有提醒,粤L39ES3,107.44,3800.19,8.9,2.5,42.98,18,30,0,0,1.12,2019/11/4,72.9,未拔出
01有排行有提醒,粤BT2220,55.94,21914.44,20.22,3.3,16.95,16,6,0,0,1.13,2019/11/4,84.29,未拔出
01有排行有提醒,粤B2K335,47.46,3310.69,4.25,2.3,20.63,4,7,0,0,0,2019/11/4,94.84,未拔出
01有排行有提醒,粤B3R80W,36.63,2267.51,2.85,1.67,21.93,12,13,43,0,0.44,2019/11/4,83.54,未拔出
01有排行有提醒,皖AT0626,7.24,2575.69,1.17,0.51,14.2,0,0,1,0,0.06,2019/11/4,95.01,未拔出
01有排行有提醒,粤B048RX,0,387.38,0,0,0,0,0,0,0,0,2019/11/4,0,未拔出
01有排行有提醒,粤LBY602,0,1037.63,0,0,0,0,0,0,0,0,2019/11/4,100,未拔出
01有排行有提醒,粤S45B27,0,1156.57,0,0,0,0,0,0,0,0,2019/11/4,100,未拔出
01有排行有提醒,粤BH218W,0,0.74,0,0,0,0,0,0,0,0,2019/11/4,100,未拔出
01有排行有提醒,粤L39ES3,123.21,3923.4,11.94,3.86,31.92,56,57,0,0,1.54,2019/11/5,77.42,未拔出
01有排行有提醒,粤B2K335,48.57,3359.26,4.53,2.35,20.67,5,5,0,0,0,2019/11/5,95.39,未拔出
01有排行有提醒,粤B3R80W,39.05,2306.56,3.22,1.94,20.13,18,13,46,0,1.07,2019/11/5,86.03,未拔出
01有排行有提醒,粤BT2220,38.35,21952.79,11.05,2.13,18,9,5,0,0,0.25,2019/11/5,87.61,未拔出
01有排行有提醒,皖AT0626,24.01,2599.7,3.24,1.02,23.54,7,14,2,0,0,2019/11/5,84.74,未拔出
01有排行有提醒,粤LBY602,0,1037.63,0,0,0,0,0,0,0,0,2019/11/5,100,未拔出
01有排行有提醒,粤S45B27,0,1156.57,0,0,0,0,0,0,0,0,2019/11/5,100,未拔出
01有排行有提醒,粤BH218W,0,0.74,0,0,0,0,0,0,0,0,2019/11/5,100,未拔出
01有排行有提醒,粤B048RX,0,387.38,0,0,0,0,0,0,0,0,2019/11/5,0,未拔出
01有排行有提醒,粤L39ES3,171.76,4095.16,14.31,4.3,39.94,36,61,1,0,0.83,2019/11/6,83.47,未拔出
01有排行有提醒,粤BT2220,40.1,21992.89,15.24,2.19,18.31,19,16,0,0,0.47,2019/11/6,82.42,未拔出
01有排行有提醒,粤B2K335,36.63,3395.89,3.08,1.73,21.17,1,0,0,0,0.15,2019/11/6,96.5,未拔出
01有排行有提醒,粤B3R80W,23.14,2329.7,2.11,1.34,17.27,10,11,23,0,0.54,2019/11/6,88.97,未拔出
01有排行有提醒,皖AT0626,0.09,2599.79,0.29,0.13,0.69,0,0,0,0,0,2019/11/6,99.84,未拔出
01有排行有提醒,粤LBY602,0,1037.63,0,0,0,0,0,0,0,0,2019/11/6,100,未拔出
01有排行有提醒,粤S45B27,0,1156.57,0,0,0,0,0,0,0,0,2019/11/6,100,未拔出
01有排行有提醒,粤BH218W,0,0.74,0,0,0,0,0,0,0,0,2019/11/6,100,未拔出
01有排行有提醒,粤B048RX,0,387.38,0,0,0,0,0,0,0,0,2019/11/6,0,未拔出
01有排行有提醒,粤B3R80W,205.65,2535.35,12.92,7.22,28.48,33,54,14,0,1.34,2019/11/7,71.66,未拔出
01有排行有提醒,粤L39ES3,202.16,4297.32,19.04,5.58,36.23,28,40,0,0,1.53,2019/11/7,76.18,未拔出
01有排行有提醒,皖AT0553,159.2,159.2,21.3,7.12,22.36,62,62,1,1,1.07,2019/11/7,57.56,未拔出
01有排行有提醒,皖AT0626,47.75,2647.54,6.74,2.51,19.02,9,24,3,0,0,2019/11/7,84.6,未拔出
01有排行有提醒,粤BT2220,36.86,22029.75,13.12,1.77,20.82,6,5,0,0,0.23,2019/11/7,88.82,未拔出
01有排行有提醒,粤B2K335,1.52,3397.41,0.48,0.44,3.45,1,1,0,0,0,2019/11/7,96.03,未拔出
01有排行有提醒,粤S45B27,0,1156.57,0,0,0,0,0,0,0,0,2019/11/7,100,未拔出
01有排行有提醒,粤BH218W,0,0.74,0,0,0,0,0,0,0,0,2019/11/7,100,未拔出
01有排行有提醒,粤LBY602,0,1037.63,0,0,0,0,0,0,0,0,2019/11/7,100,未拔出
01有排行有提醒,粤B048RX,0,387.38,0,0,0,0,0,0,0,0,2019/11/7,0,未拔出
01有排行有提醒,皖AT0626,257.45,2904.99,35.47,13.14,19.59,28,137,3,2,2.47,2019/11/8,37.65,未拔出
01有排行有提醒,皖AT0553,191.61,350.81,28.15,10.1,18.97,101,124,5,2,0,2019/11/8,62.25,未拔出
01有排行有提醒,粤L39ES3,167.54,4464.86,15.67,4.18,40.08,34,44,0,0,1,2019/11/8,77.8,未拔出
01有排行有提醒,粤BT2220,47.11,22076.86,19.79,3.45,13.66,17,12,0,0,1.51,2019/11/8,83.94,未拔出
01有排行有提醒,粤B3R80W,26.78,2562.13,2.23,1.44,18.6,3,11,4,0,0.6,2019/11/8,90.83,未拔出
01有排行有提醒,粤B2K335,16.77,3414.18,1.58,0.98,17.11,3,1,0,0,0,2019/11/8,95.98,未拔出
01有排行有提醒,粤LBY602,0,1037.63,0,0,0,0,0,0,0,0,2019/11/8,100,未拔出
01有排行有提醒,粤S45B27,0,1156.57,0,0,0,0,0,0,0,0,2019/11/8,100,未拔出
01有排行有提醒,粤BH218W,0,0.74,0,0,0,0,0,0,0,0,2019/11/8,100,未拔出
01有排行有提醒,粤B048RX,0,387.38,0,0,0,0,0,0,0,0,2019/11/8,0,未拔出
01有排行有提醒,皖AT0553,226.19,577,31.79,11.25,20.11,120,123,0,1,0,2019/11/9,60.3,未拔出
01有排行有提醒,皖AT0626,207.76,3112.75,27.5,10.4,19.98,26,100,3,1,0,2019/11/9,70.46,未拔出
01有排行有提醒,粤L39ES3,68.38,4533.24,6.92,2.43,28.14,28,35,0,0,0.98,2019/11/9,72.16,未拔出
01有排行有提醒,粤BT2220,67.64,22144.5,19.02,3,22.55,16,15,0,0,0.25,2019/11/9,89.99,未拔出
01有排行有提醒,粤B3R80W,27.52,2589.65,2.09,1.38,19.94,7,8,11,0,0.78,2019/11/9,90.47,未拔出
01有排行有提醒,粤B2K335,18.99,3433.17,1.75,1.59,11.94,1,2,0,0,0.73,2019/11/9,95.75,未拔出
01有排行有提醒,粤LBY602,0,1037.63,0,0,0,0,0,0,0,0,2019/11/9,100,未拔出
01有排行有提醒,粤S45B27,0,1156.57,0,0,0,0,0,0,0,0,2019/11/9,100,未拔出
01有排行有提醒,粤BH218W,0,0.74,0,0,0,0,0,0,0,0,2019/11/9,100,未拔出
01有排行有提醒,粤B048RX,0,387.38,0,0,0,0,0,0,0,0,2019/11/9,0,未拔出
01有排行有提醒,皖AT0626,273.71,3386.46,32.91,11.95,22.9,13,77,3,2,1.02,2019/11/10,46.46,未拔出
01有排行有提醒,皖AT0553,259.83,836.83,36.31,12.99,20,96,105,1,1,1.38,2019/11/10,49.42,未拔出
01有排行有提醒,粤L39ES3,90.71,4623.95,8.47,2.81,32.28,25,27,1,0,1.05,2019/11/10,84.97,未拔出
01有排行有提醒,粤BT2220,37.49,22181.99,7.76,1.21,30.98,9,9,0,0,0,2019/11/10,89.73,未拔出
01有排行有提醒,粤B2K335,17.88,3451.05,2.08,1.45,12.33,0,4,0,0,0,2019/11/10,97.22,未拔出
01有排行有提醒,粤B3R80W,0,2589.65,0,0,0,0,0,0,0,0,2019/11/10,100,未拔出
01有排行有提醒,粤B048RX,0,387.38,0,0,0,0,0,0,0,0,2019/11/10,0,未拔出
01有排行有提醒,粤LBY602,0,1037.63,0,0,0,0,0,0,0,0,2019/11/10,100,未拔出
01有排行有提醒,粤S45B27,0,1156.57,0,0,0,0,0,0,0,0,2019/11/10,100,未拔出
01有排行有提醒,粤BH218W,0,0.74,0,0,0,0,0,0,0,0,2019/11/10,100,未拔出
01有排行有提醒,皖AT0553,250.39,1087.22,34.53,12.65,19.79,68,145,1,0,0.96,2019/11/11,65.5,未拔出
01有排行有提醒,皖AT0626,176.59,3563.05,22.9,8.89,19.86,20,71,2,0,0.4,2019/11/11,79.9,未拔出
01有排行有提醒,粤L39ES3,79.76,4703.71,7.29,2.35,33.94,28,32,1,0,0.67,2019/11/11,77.24,未拔出
01有排行有提醒,粤B3R80W,52.96,2642.61,3.76,2.59,20.45,16,12,3,0,0.97,2019/11/11,93.04,未拔出
01有排行有提醒,粤BT2220,38.49,22220.48,10.02,2.09,18.42,11,8,0,0,0,2019/11/11,88.18,未拔出
01有排行有提醒,粤B2K335,27.48,3478.53,2.65,1.7,16.16,2,4,1,0,0,2019/11/11,97.28,未拔出
01有排行有提醒,粤S45B27,0,1156.57,0,0,0,0,0,0,0,0,2019/11/11,100,未拔出
01有排行有提醒,粤BH218W,0,0.74,0,0,0,0,0,0,0,0,2019/11/11,100,未拔出
01有排行有提醒,粤LBY602,0,1037.63,0,0,0,0,0,0,0,0,2019/11/11,100,未拔出
01有排行有提醒,粤B048RX,0,387.38,0,0,0,0,0,0,0,0,2019/11/11,0,未拔出
