部门,车牌号,行驶里程,总里程,油耗,行驶时长,平均速度（KM/H）,急加速,急减速,急转弯,疲劳驾驶（次数）,夜间驾驶时长（H）,日期,驾驶行为评分,插拔
01有排行有提醒,皖AT0599,404.52,27495.35,44.33,15.37,26.32,76,177,3,1,7.55,2020/4/1,59.85,未拔出
01有排行有提醒,皖AT0568,390.6,31406.06,51.3,14.51,26.92,53,167,4,0,2.64,2020/4/1,69.64,未拔出
01有排行有提醒,皖AT0665,326.49,38540.31,41.68,12.1,26.98,108,141,7,2,0.25,2020/4/1,49.79,未拔出
01有排行有提醒,皖AT0553,194.12,18886.59,27.97,8.69,22.34,125,156,1,1,0.72,2020/4/1,54.12,未拔出
01有排行有提醒,皖AT0650,132.88,33313.88,13.59,2.79,47.63,10,11,0,0,0,2020/4/1,80.41,未拔出
01有排行有提醒,皖AT0628,78.38,18054.98,11.54,3.32,23.61,25,53,0,0,0,2020/4/1,68.87,未拔出
01有排行有提醒,粤BT2220,37.64,25830.78,14.26,2.33,16.15,9,8,0,0,0.3,2020/4/1,86.24,未拔出
01有排行有提醒,粤B3R80W,22.96,7688.48,1.86,1.41,16.28,9,12,0,0,0.87,2020/4/1,91.24,未拔出
01有排行有提醒,皖AT0642,1.44,4596.47,0.27,0.17,8.47,1,0,0,0,0.06,2020/4/1,98.28,未拔出
01有排行有提醒,粤L39ES3,0.07,7512.56,0.06,0.06,1.17,0,0,0,0,0,2020/4/1,99.9,未拔出
01有排行有提醒,皖AT0626,0,5588.74,0,0,0,0,0,0,0,0,2020/4/1,100,未拔出
01有排行有提醒,粤LBY602,0,1037.63,0,0,0,0,0,0,0,0,2020/4/1,100,未拔出
01有排行有提醒,皖AT0547,0,29895.17,0,0,0,0,0,0,0,0,2020/4/1,100,未拔出
01有排行有提醒,皖AT0619,0,12909.02,0,0,0,0,0,0,0,0,2020/4/1,100,未拔出
01有排行有提醒,皖AT0609,0,6.93,0,0,0,0,0,0,0,0,2020/4/1,0,未拔出
01有排行有提醒,粤B2K335,0,4902.93,0,0,0,0,0,0,0,0,2020/4/1,100,未拔出
01有排行有提醒,粤S45B27,0,1156.57,0,0,0,0,0,0,0,0,2020/4/1,100,未拔出
01有排行有提醒,粤B048RX,0,387.38,0,0,0,0,0,0,0,0,2020/4/1,0,未拔出
01有排行有提醒,粤BH218W,0,0.74,0,0,0,0,0,0,0,0,2020/4/1,100,未拔出
01有排行有提醒,皖AT0600,0,24732.7,0,0,0,0,0,0,0,0,2020/4/1,100,未拔出
01有排行有提醒,皖AT0568,393.62,31863.58,53.96,15.65,25.15,107,154,5,3,4.87,2020/4/2,48.39,未拔出
01有排行有提醒,皖AT0665,369.87,38910.18,44.96,12.55,29.47,145,159,4,1,1.08,2020/4/2,43.84,未拔出
01有排行有提醒,皖AT0599,286,27781.35,31.87,11.76,24.32,59,199,1,1,3.88,2020/4/2,59.55,未拔出
01有排行有提醒,皖AT0650,283.45,33597.33,32.25,11.1,25.54,91,79,4,0,4.42,2020/4/2,82.59,未拔出
01有排行有提醒,皖AT0553,208.64,19095.23,28.77,8.81,23.68,149,180,5,1,0.25,2020/4/2,56.02,未拔出
01有排行有提醒,皖AT0628,131.35,18186.33,20.32,6.73,19.52,56,110,1,0,1.52,2020/4/2,60.68,未拔出
01有排行有提醒,粤BT2220,39.96,25870.74,13.34,2.37,16.86,16,15,0,0,0.47,2020/4/2,83.71,未拔出
01有排行有提醒,粤B3R80W,10.22,7698.7,0.94,0.64,15.97,5,4,1,0,0.35,2020/4/2,91.02,未拔出
01有排行有提醒,皖AT0642,1.67,4598.14,0.29,0.14,11.93,0,0,1,0,0.08,2020/4/2,97.87,未拔出
01有排行有提醒,皖AT0609,0,6.93,0,0,0,0,0,0,0,0,2020/4/2,0,未拔出
01有排行有提醒,皖AT0547,0,29895.17,0,0,0,0,0,0,0,0,2020/4/2,100,未拔出
01有排行有提醒,粤S45B27,0,1156.57,0,0,0,0,0,0,0,0,2020/4/2,100,未拔出
01有排行有提醒,粤LBY602,0,1037.63,0,0,0,0,0,0,0,0,2020/4/2,100,未拔出
01有排行有提醒,皖AT0619,0,12909.02,0,0,0,0,0,0,0,0,2020/4/2,100,未拔出
01有排行有提醒,皖AT0626,0,5588.74,0,0,0,0,0,0,0,0,2020/4/2,100,未拔出
01有排行有提醒,皖AT0600,0,24732.7,0,0,0,0,0,0,0,0,2020/4/2,100,未拔出
01有排行有提醒,粤L39ES3,0,7512.56,0,0,0,0,0,0,0,0,2020/4/2,100,未拔出
01有排行有提醒,粤B2K335,0,4902.93,0,0,0,0,0,0,0,0,2020/4/2,100,未拔出
01有排行有提醒,粤B048RX,0,387.38,0,0,0,0,0,0,0,0,2020/4/2,0,未拔出
01有排行有提醒,粤BH218W,0,0.74,0,0,0,0,0,0,0,0,2020/4/2,100,未拔出
01有排行有提醒,皖AT0568,494.21,32357.79,67.68,19.92,24.81,120,234,1,2,10.05,2020/4/3,52.65,未拔出
01有排行有提醒,皖AT0665,375.33,39285.51,45.69,13.24,28.35,160,199,1,2,0.88,2020/4/3,54.01,未拔出
01有排行有提醒,皖AT0599,368.22,28149.57,40.35,14.28,25.79,58,217,1,1,8.27,2020/4/3,58.54,未拔出
01有排行有提醒,皖AT0650,287.59,33884.92,31.43,10.47,27.47,86,84,2,0,4.47,2020/4/3,74.61,未拔出
01有排行有提醒,皖AT0553,253.71,19348.94,32.98,10.46,24.26,110,155,5,1,0.75,2020/4/3,59.59,未拔出
01有排行有提醒,粤B3R80W,244.63,7943.33,15.6,6.96,35.15,52,61,33,1,12.48,2020/4/3,3.67,未拔出
01有排行有提醒,皖AT0628,207.99,18394.32,29.55,8.43,24.67,69,113,3,1,1.67,2020/4/3,54.72,未拔出
01有排行有提醒,皖AT0642,58.58,4656.72,5.79,1.45,40.4,0,15,0,0,0.29,2020/4/3,81.07,未拔出
01有排行有提醒,粤BT2220,37.82,25908.56,23.22,3.54,10.68,15,11,0,0,1.64,2020/4/3,75.9,未拔出
01有排行有提醒,粤LBY602,0,1037.63,0,0,0,0,0,0,0,0,2020/4/3,100,未拔出
01有排行有提醒,皖AT0547,0,29895.17,0,0,0,0,0,0,0,0,2020/4/3,100,未拔出
01有排行有提醒,皖AT0626,0,5588.74,0,0,0,0,0,0,0,0,2020/4/3,100,未拔出
01有排行有提醒,皖AT0609,0,6.93,0,0,0,0,0,0,0,0,2020/4/3,0,未拔出
01有排行有提醒,皖AT0619,0,12909.02,0,0,0,0,0,0,0,0,2020/4/3,100,未拔出
01有排行有提醒,粤S45B27,0,1156.57,0,0,0,0,0,0,0,0,2020/4/3,100,未拔出
01有排行有提醒,粤L39ES3,0,7512.56,0,0,0,0,0,0,0,0,2020/4/3,100,未拔出
01有排行有提醒,粤B2K335,0,4902.93,0,0,0,0,0,0,0,0,2020/4/3,100,未拔出
