部门,车牌号,行驶里程,总里程,油耗,行驶时长,平均速度（KM/H）,急加速,急减速,急转弯,疲劳驾驶（次数）,夜间驾驶时长（H）,日期,驾驶行为评分,插拔
02有排行无提醒,粤B3Q03K,22.72,551.95,3.41,1.82,0,0,0,0,0,0,2019/8/1,0,未拔出
02有排行无提醒,闽C88DN2,19.52,45.15,2.19,1.35,0,10,26,0,0,0.44,2019/8/1,0,未拔出
02有排行无提醒,粤B3Q03K,155.7,707.65,17.08,6.81,22.86,0,0,0,0,0,2019/8/2,90.79,未拔出
02有排行无提醒,闽C88DN2,13.21,58.36,1.64,0.96,13.76,6,4,0,0,0.71,2019/8/2,86.39,未拔出
02有排行无提醒,闽C88DN2,23.63,81.99,2.47,1.44,16.41,14,11,0,0,0,2019/8/3,91.95,未拔出
02有排行无提醒,粤B3Q03K,16.13,723.78,2.64,1.41,11.44,0,0,0,0,0,2019/8/3,98.09,未拔出
02有排行无提醒,粤B3Q03K,115.9,839.68,15.18,6.93,16.72,0,0,0,0,0,2019/8/4,92.56,未拔出
02有排行无提醒,闽C88DN2,11.32,93.31,1.32,0.89,12.72,5,5,0,0,0.67,2019/8/4,87.04,未拔出
02有排行无提醒,粤B3Q03K,152.37,992.05,17.94,7.45,20.45,0,0,0,0,0,2019/8/5,91.5,未拔出
02有排行无提醒,闽C88DN2,25.16,118.47,3.06,1.71,14.71,19,23,1,0,0.47,2019/8/5,90.86,未拔出
02有排行无提醒,粤B3Q03K,178.61,1170.66,17.43,6.96,0,0,0,0,0,0,2019/8/6,0,未拔出
02有排行无提醒,闽C88DN2,42.15,160.68,4.68,2.76,0,9,18,0,0,0.42,2019/8/6,0,未拔出
02有排行无提醒,粤B3Q03K,165.57,1336.23,16.34,6.56,0,0,0,0,0,0.09,2019/8/7,0,未拔出
02有排行无提醒,闽C88DN2,9.51,170.19,1.2,0.93,0,7,14,0,0,0.67,2019/8/7,0,未拔出
02有排行无提醒,粤B3Q03K,149.29,1485.52,18.95,8.33,0,0,0,0,1,0,2019/8/8,0,未拔出
02有排行无提醒,闽C88DN2,14.39,184.58,1.88,1.07,0,10,14,0,0,0.85,2019/8/8,0,未拔出
02有排行无提醒,粤JCL629,0,0,0,0,0,0,0,0,0,,2019/8/8,0,未拔出
02有排行无提醒,粤JCL629,236.94,236.94,12.1,3.44,68.88,5,15,0,0,2.15,2019/8/9,66.93,未拔出
02有排行无提醒,粤B3Q03K,101.85,1587.37,11.45,5.81,17.53,0,0,0,0,0,2019/8/9,93.83,未拔出
02有排行无提醒,闽C88DN2,11.82,191.69,1.33,0.91,12.99,5,4,1,0,0.68,2019/8/9,87.8,未拔出
02有排行无提醒,粤B3Q03K,101.59,1688.96,9.58,3.76,27.02,0,0,0,0,0.04,2019/8/10,90.27,未拔出
02有排行无提醒,粤JCL629,32.33,269.27,2.99,1.58,20.46,3,8,3,0,0.43,2019/8/10,92.63,未拔出
02有排行无提醒,闽C88DN2,9.38,201.07,0.97,0.77,12.18,1,4,0,0,0.58,2019/8/10,90.71,未拔出
02有排行无提醒,粤JCL629,249.43,518.7,13.22,3.98,62.67,2,19,0,0,2.94,2019/8/11,38.43,未拔出
02有排行无提醒,闽C88DN2,19.8,220.87,2.39,1.61,12.3,10,13,0,0,1.35,2019/8/11,88.64,未拔出
02有排行无提醒,粤B3Q03K,14.39,1703.35,2.08,1.05,13.7,0,0,0,0,0,2019/8/11,97.53,未拔出
02有排行无提醒,粤B3Q03K,87.62,1790.97,12.33,5.96,14.7,0,0,0,0,0,2019/8/12,91.86,未拔出
02有排行无提醒,粤JCL629,25.31,544.01,1.84,1.01,25.06,2,7,0,0,0.6,2019/8/12,90.87,未拔出
02有排行无提醒,闽C88DN2,16.09,236.96,2.12,2.3,7,8,6,1,0,1.4,2019/8/12,91.81,未拔出
02有排行无提醒,粤B3Q03K,134.73,1925.7,16.83,7.34,18.36,0,0,0,0,0,2019/8/13,91.65,未拔出
02有排行无提醒,闽C88DN2,9.33,246.29,0.94,0.6,15.55,7,0,1,0,0.39,2019/8/13,91.43,未拔出
