部门,车牌号,行驶里程,总里程,油耗,行驶时长,平均速度（KM/H）,急加速,急减速,急转弯,疲劳驾驶（次数）,夜间驾驶时长（H）,日期,驾驶行为评分,插拔
02有排行无提醒,皖AT0601,348.85,50305.43,44.25,13.31,26.21,392,347,5,2,3.65,2020/6/1,37.1,未拔出
02有排行无提醒,皖AT0541,347.17,75364.51,43.55,13.15,26.4,91,156,7,2,0,2020/6/1,39.11,未拔出
02有排行无提醒,皖AT0576,329.79,51399.46,47.04,13.4,24.61,147,265,4,2,4.75,2020/6/1,40.63,未拔出
02有排行无提醒,皖AT0657,329.34,65201.46,36.35,13.02,25.29,54,125,6,0,3.63,2020/6/1,75.2,未拔出
02有排行无提醒,皖AT0620,306.25,29766.81,46.23,13.3,23.03,32,154,11,1,2.76,2020/6/1,67.51,未拔出
02有排行无提醒,粤B9XN26,110.73,15590.72,14.72,5.04,21.97,13,43,3,0,0,2020/6/1,87.67,未拔出
02有排行无提醒,粤JCL629,40.59,11904.02,2.5,1.23,33,4,7,1,0,0,2020/6/1,93.22,未拔出
02有排行无提醒,粤B3Q03K,19.89,24646.57,3.47,1.91,10.41,8,1,0,0,0.46,2020/6/1,93.54,未拔出
02有排行无提醒,粤BL05M1,10.81,5413.97,1.87,0.75,14.41,0,6,1,0,0,2020/6/1,94.77,未拔出
02有排行无提醒,1.2212E+16,0,4.13,0,0,0,0,0,0,0,0,2020/6/1,100,未拔出
02有排行无提醒,皖AT0575,0,45095.47,0,0,0,0,0,0,0,0,2020/6/1,100,未拔出
02有排行无提醒,皖AT0641,0,2739.94,0,0,0,0,0,0,0,0,2020/6/1,0,未拔出
02有排行无提醒,皖AT0580,0,48638.31,0,0,0,0,0,0,0,0,2020/6/1,100,未拔出
02有排行无提醒,皖AYY059,0,120.25,0,0,0,0,0,0,0,0,2020/6/1,100,未拔出
02有排行无提醒,皖AT0613,0,25393.38,0,0,0,0,0,0,0,0,2020/6/1,100,未拔出
02有排行无提醒,闽C88DN2,0,918.49,0,0,0,0,0,0,0,0,2020/6/1,100,未拔出
02有排行无提醒,粤SL3H57,0,131.91,0,0,0,0,0,0,0,0,2020/6/1,100,未拔出
02有排行无提醒,粤B7U0H5,0,852.94,0,0,0,0,0,0,0,0,2020/6/1,100,未拔出
02有排行无提醒,皖AT0543,0,96.3,0,0,0,0,0,0,0,0,2020/6/1,100,未拔出
02有排行无提醒,粤BN8G52,0,680.31,0,0,0,0,0,0,0,0,2020/6/1,0,未拔出
02有排行无提醒,皖AT0657,377.27,65578.73,42.31,13.36,28.24,122,164,8,1,6.4,2020/6/2,43.1,未拔出
02有排行无提醒,皖AT0601,334.94,50640.37,38.59,11.29,29.67,194,213,8,0,2.89,2020/6/2,61.86,未拔出
02有排行无提醒,皖AT0541,313.66,75678.17,39.95,12.75,24.6,58,100,3,1,1.04,2020/6/2,69.77,未拔出
02有排行无提醒,皖AT0576,288.72,51688.18,43.86,12.73,22.68,186,280,3,1,6.25,2020/6/2,31.09,未拔出
02有排行无提醒,皖AT0613,262.98,25656.36,38.19,8.43,31.2,46,122,2,0,4.77,2020/6/2,55.46,未拔出
02有排行无提醒,皖AT0620,163.98,29930.79,25.64,7.32,22.4,7,52,0,0,0,2020/6/2,83.67,未拔出
02有排行无提醒,粤B9XN26,46.44,15637.16,7.73,3.58,12.97,8,16,0,0,0,2020/6/2,93.7,未拔出
02有排行无提醒,粤B3Q03K,20.43,24667,3.31,1.68,12.16,10,0,0,0,0,2020/6/2,94.88,未拔出
02有排行无提醒,皖AT0641,0,2739.94,0,0,0,0,0,0,0,0,2020/6/2,0,未拔出
02有排行无提醒,皖AT0580,0,48638.31,0,0,0,0,0,0,0,0,2020/6/2,100,未拔出
02有排行无提醒,皖AYY059,0,120.25,0,0,0,0,0,0,0,0,2020/6/2,100,未拔出
02有排行无提醒,1.2212E+16,0,4.13,0,0,0,0,0,0,0,0,2020/6/2,100,未拔出
02有排行无提醒,闽C88DN2,0,918.49,0,0,0,0,0,0,0,0,2020/6/2,100,未拔出
02有排行无提醒,皖AT0575,0,45095.47,0,0,0,0,0,0,0,0,2020/6/2,100,未拔出
02有排行无提醒,粤B7U0H5,0,852.94,0,0,0,0,0,0,0,0,2020/6/2,100,未拔出
02有排行无提醒,粤BN8G52,0,680.31,0,0,0,0,0,0,0,0,2020/6/2,0,未拔出
02有排行无提醒,粤BL05M1,0,5413.97,0,0,0,0,0,0,0,0,2020/6/2,100,未拔出
02有排行无提醒,粤JCL629,0,11904.02,0,0,0,0,0,0,0,0,2020/6/2,100,未拔出
02有排行无提醒,皖AT0543,0,96.3,0,0,0,0,0,0,0,0,2020/6/2,100,未拔出
02有排行无提醒,粤SL3H57,0,131.91,0,0,0,0,0,0,0,0,2020/6/2,100,未拔出
02有排行无提醒,皖AT0657,419.11,65997.84,46.61,17.17,24.41,148,145,12,1,7.58,2020/6/3,36.4,未拔出
02有排行无提醒,皖AT0576,340.39,52028.57,50.82,13.58,25.07,113,338,4,1,0.7,2020/6/3,44.61,未拔出
02有排行无提醒,皖AT0620,271.94,30202.73,39.6,13.31,20.43,72,158,3,1,3.56,2020/6/3,58.22,未拔出
02有排行无提醒,皖AT0613,249.83,25906.19,36.69,9.49,26.33,61,203,0,0,6.93,2020/6/3,75.28,未拔出
02有排行无提醒,皖AT0601,249.49,50889.86,30.6,9.09,27.45,224,209,10,0,0,2020/6/3,63.61,未拔出
02有排行无提醒,皖AT0541,193.86,75872.03,25.16,8.54,22.7,49,64,4,0,1.04,2020/6/3,68.1,未拔出
02有排行无提醒,粤B9XN26,125.33,15762.49,19.03,7.22,17.36,58,84,5,0,0.32,2020/6/3,88.97,未拔出
02有排行无提醒,粤B3Q03K,18.66,24685.66,2.82,1.47,12.69,11,1,1,0,0.13,2020/6/3,95.13,未拔出
02有排行无提醒,皖AT0641,0,2739.94,0,0,0,0,0,0,0,0,2020/6/3,0,未拔出
02有排行无提醒,皖AT0575,0,45095.47,0,0,0,0,0,0,0,0,2020/6/3,100,未拔出
02有排行无提醒,1.2212E+16,0,4.13,0,0,0,0,0,0,0,0,2020/6/3,100,未拔出
02有排行无提醒,皖AYY059,0,120.25,0,0,0,0,0,0,0,0,2020/6/3,100,未拔出
02有排行无提醒,皖AT0580,0,48638.31,0,0,0,0,0,0,0,0,2020/6/3,100,未拔出
02有排行无提醒,粤JCL629,0,11904.02,0,0,0,0,0,0,0,0,2020/6/3,100,未拔出
02有排行无提醒,闽C88DN2,0,918.49,0,0,0,0,0,0,0,0,2020/6/3,100,未拔出
02有排行无提醒,粤BL05M1,0,5413.97,0,0,0,0,0,0,0,0,2020/6/3,100,未拔出
02有排行无提醒,粤B7U0H5,0,852.94,0,0,0,0,0,0,0,0,2020/6/3,100,未拔出
02有排行无提醒,皖AT0543,0,96.3,0,0,0,0,0,0,0,0,2020/6/3,100,未拔出
02有排行无提醒,粤SL3H57,0,131.91,0,0,0,0,0,0,0,0,2020/6/3,100,未拔出
02有排行无提醒,粤BN8G52,0,680.31,0,0,0,0,0,0,0,0,2020/6/3,0,未拔出
02有排行无提醒,皖AT0601,333.86,51223.72,44.17,13.29,25.12,318,251,8,0,4.16,2020/6/4,55.98,未拔出
02有排行无提醒,皖AT0541,299.48,76171.51,41.65,13.35,22.43,95,112,9,1,1.95,2020/6/4,67.49,未拔出
02有排行无提醒,皖AT0657,288.27,66286.11,34.27,10.92,26.4,64,92,5,1,1.74,2020/6/4,62.63,未拔出
02有排行无提醒,皖AT0613,274.74,26180.93,39.92,10.27,26.75,57,235,2,0,7.95,2020/6/4,76.42,未拔出
02有排行无提醒,皖AT0620,267.07,30469.8,39.37,13.5,19.78,19,136,2,1,3.17,2020/6/4,55.3,未拔出
02有排行无提醒,皖AT0576,134.06,52162.63,21.33,6.34,21.15,16,86,2,1,0.24,2020/6/4,70.59,未拔出
02有排行无提醒,粤B9XN26,84.13,15846.62,12.42,4.98,16.89,19,33,4,0,0.28,2020/6/4,91.49,未拔出
02有排行无提醒,粤JCL629,43.48,11947.5,3.16,2.04,21.31,3,6,1,0,0,2020/6/4,93.24,未拔出
02有排行无提醒,粤B3Q03K,19.24,24704.9,3.71,2.03,9.48,13,1,0,0,0.06,2020/6/4,94.67,未拔出
02有排行无提醒,皖AT0575,0,45095.47,0,0,0,0,0,0,0,0,2020/6/4,100,未拔出
02有排行无提醒,皖AT0641,0,2739.94,0,0,0,0,0,0,0,0,2020/6/4,0,未拔出
02有排行无提醒,皖AT0580,0,48638.31,0,0,0,0,0,0,0,0,2020/6/4,100,未拔出
02有排行无提醒,皖AYY059,0,120.25,0,0,0,0,0,0,0,0,2020/6/4,100,未拔出
02有排行无提醒,1.2212E+16,0,4.13,0,0,0,0,0,0,0,0,2020/6/4,100,未拔出
02有排行无提醒,闽C88DN2,0,918.49,0,0,0,0,0,0,0,0,2020/6/4,100,未拔出
02有排行无提醒,粤BL05M1,0,5413.97,0,0,0,0,0,0,0,0,2020/6/4,100,未拔出
02有排行无提醒,粤B7U0H5,0,852.94,0,0,0,0,0,0,0,0,2020/6/4,100,未拔出
02有排行无提醒,粤BN8G52,0,680.31,0,0,0,0,0,0,0,0,2020/6/4,0,未拔出
02有排行无提醒,粤SL3H57,0,131.91,0,0,0,0,0,0,0,0,2020/6/4,100,未拔出
02有排行无提醒,皖AT0543,0,96.3,0,0,0,0,0,0,0,0,2020/6/4,100,未拔出
