部门,车牌号,行驶里程,总里程,油耗,行驶时长,平均速度（KM/H）,急加速,急减速,急转弯,疲劳驾驶（次数）,夜间驾驶时长（H）,日期,驾驶行为评分,插拔
03无排行有提醒,粤B2X562,37.77,2252.59,5.03,2.33,16.21,35,27,0,0,0.13,2019/11/1,78.93,未拔出
03无排行有提醒,粤B892VK,20.44,1185.92,2.19,1.12,18.25,8,14,0,0,0,2019/11/1,92.51,未拔出
03无排行有提醒,粤STC809,4.08,1197.57,10.6,2.94,1.39,1,1,0,0,0.45,2019/11/1,95.61,未拔出
03无排行有提醒,渝D865V3,0,2255.16,0,0,0,0,0,0,0,0,2019/11/1,100,未拔出
03无排行有提醒,粤TEST01,0,20754.92,0,0,0,0,0,0,0,0,2019/11/1,0,拔出
03无排行有提醒,粤BY1047,0,3.37,0,0,0,0,0,0,0,0,2019/11/1,100,未拔出
03无排行有提醒,粤B3AU48,0,962.84,0,0,0,0,0,0,0,0,2019/11/1,100,未拔出
03无排行有提醒,粤B533CJ,0,228.23,0,0,0,0,0,0,0,0,2019/11/1,100,未拔出
03无排行有提醒,粤BS207S,0,1439.97,0,0,0,0,0,0,0,0,2019/11/1,0,未拔出
03无排行有提醒,粤BS207S,42.18,1482.15,4.69,2.7,15.62,3,7,0,0,1.03,2019/11/2,87.37,未拔出
03无排行有提醒,粤B2X562,38.91,2291.5,4.39,1.55,25.1,28,30,0,0,0.58,2019/11/2,73.87,未拔出
03无排行有提醒,粤B892VK,7.17,1193.09,0.73,0.29,24.72,8,10,0,0,0,2019/11/2,87.01,未拔出
03无排行有提醒,粤STC809,5.47,1203.04,10.18,1.9,2.88,1,2,2,0,1.07,2019/11/2,93.86,未拔出
03无排行有提醒,粤B3AU48,0,962.84,0,0,0,0,0,0,0,0,2019/11/2,100,未拔出
03无排行有提醒,粤TEST01,0,20754.92,0,0,0,0,0,0,0,0,2019/11/2,0,拔出
03无排行有提醒,渝D865V3,0,2255.16,0,0,0,0,0,0,0,0,2019/11/2,100,未拔出
03无排行有提醒,粤BY1047,0,3.37,0,0,0,0,0,0,0,0,2019/11/2,100,未拔出
03无排行有提醒,粤B533CJ,0,228.23,0,0,0,0,0,0,0,0,2019/11/2,100,未拔出
03无排行有提醒,粤B2X562,57.54,2349.04,6.13,2.92,19.71,31,35,0,0,2.46,2019/11/3,65.48,未拔出
03无排行有提醒,粤STC809,6.37,1209.41,10.66,2.16,2.95,1,1,3,0,1.49,2019/11/3,88.13,未拔出
03无排行有提醒,粤BS207S,0.74,1482.89,0.21,0.19,3.89,0,0,0,0,0,2019/11/3,99.21,未拔出
03无排行有提醒,渝D865V3,0,2255.16,0,0,0,0,0,0,0,0,2019/11/3,100,未拔出
03无排行有提醒,粤TEST01,0,20754.92,0,0,0,0,0,0,0,0,2019/11/3,0,拔出
03无排行有提醒,粤B892VK,0,1193.09,0,0,0,0,0,0,0,0,2019/11/3,100,未拔出
03无排行有提醒,粤BY1047,0,3.37,0,0,0,0,0,0,0,0,2019/11/3,100,未拔出
03无排行有提醒,粤B3AU48,0,962.84,0,0,0,0,0,0,0,0,2019/11/3,100,未拔出
03无排行有提醒,粤B533CJ,0,228.23,0,0,0,0,0,0,0,0,2019/11/3,100,未拔出
03无排行有提醒,粤STC809,3.97,1213.38,8.3,2.43,1.63,0,3,0,0,1.09,2019/11/4,92.47,未拔出
03无排行有提醒,粤B2X562,1.01,2350.05,0.16,0.08,12.63,1,0,0,0,0,2019/11/4,97.06,未拔出
03无排行有提醒,粤BY1047,0,3.37,0,0,0,0,0,0,0,0,2019/11/4,100,未拔出
03无排行有提醒,粤B892VK,0,1193.09,0,0,0,0,0,0,0,0,2019/11/4,100,未拔出
03无排行有提醒,粤TEST01,0,20754.92,0,0,0,0,0,0,0,0,2019/11/4,0,拔出
03无排行有提醒,渝D865V3,0,2255.16,0,0,0,0,0,0,0,0,2019/11/4,100,未拔出
03无排行有提醒,粤B3AU48,0,962.84,0,0,0,0,0,0,0,0,2019/11/4,100,未拔出
03无排行有提醒,粤B533CJ,0,228.23,0,0,0,0,0,0,0,0,2019/11/4,100,未拔出
03无排行有提醒,粤BS207S,0,1482.89,0,0,0,0,0,0,0,0,2019/11/4,0,未拔出
03无排行有提醒,粤B2X562,22.02,2372.07,2.97,1.53,14.39,12,30,0,0,0.11,2019/11/5,89.85,未拔出
03无排行有提醒,粤STC809,0.88,1214.26,7.3,3.15,0.28,1,0,0,0,0.73,2019/11/5,94.89,未拔出
03无排行有提醒,粤TEST01,0,20754.92,0,0,0,0,0,0,0,0,2019/11/5,0,拔出
03无排行有提醒,渝D865V3,0,2255.16,0,0,0,0,0,0,0,0,2019/11/5,100,未拔出
03无排行有提醒,粤B892VK,0,1193.09,0,0,0,0,0,0,0,0,2019/11/5,100,未拔出
03无排行有提醒,粤BY1047,0,3.37,0,0,0,0,0,0,0,0,2019/11/5,100,未拔出
03无排行有提醒,粤B3AU48,0,962.84,0,0,0,0,0,0,0,0,2019/11/5,100,未拔出
03无排行有提醒,粤B533CJ,0,228.23,0,0,0,0,0,0,0,0,2019/11/5,100,未拔出
03无排行有提醒,粤BS207S,0,1482.89,0,0,0,0,0,0,0,0,2019/11/5,0,未拔出
03无排行有提醒,粤B2X562,45.46,2417.53,4.18,2.15,21.14,28,22,1,0,0,2019/11/6,85.93,未拔出
03无排行有提醒,粤STC809,0.96,1215.22,8.96,3.26,0.29,0,0,0,0,0.58,2019/11/6,97.15,未拔出
03无排行有提醒,粤TEST01,0,20754.92,0,0,0,0,0,0,0,0,2019/11/6,0,拔出
03无排行有提醒,渝D865V3,0,2255.16,0,0,0,0,0,0,0,0,2019/11/6,100,未拔出
03无排行有提醒,粤B892VK,0,1193.09,0,0,0,0,0,0,0,0,2019/11/6,100,未拔出
03无排行有提醒,粤BY1047,0,3.37,0,0,0,0,0,0,0,0,2019/11/6,100,未拔出
03无排行有提醒,粤B3AU48,0,962.84,0,0,0,0,0,0,0,0,2019/11/6,100,未拔出
03无排行有提醒,粤B533CJ,0,228.23,0,0,0,0,0,0,0,0,2019/11/6,100,未拔出
03无排行有提醒,粤BS207S,0,1482.89,0,0,0,0,0,0,0,0,2019/11/6,0,未拔出
03无排行有提醒,粤B2X562,51.59,2469.12,6.08,3.2,16.12,44,31,1,0,0.72,2019/11/7,87.48,未拔出
03无排行有提醒,粤STC809,0.43,1215.65,6.02,1.16,0.37,0,0,0,0,0.07,2019/11/7,99.07,未拔出
03无排行有提醒,粤B892VK,0,1193.09,0,0,0,0,0,0,0,0,2019/11/7,100,未拔出
03无排行有提醒,粤BS207S,0,1482.89,0,0,0,0,0,0,0,0,2019/11/7,0,未拔出
03无排行有提醒,粤TEST01,0,20754.92,0,0,0,0,0,0,0,0,2019/11/7,0,拔出
03无排行有提醒,渝D865V3,0,2255.16,0,0,0,0,0,0,0,0,2019/11/7,100,未拔出
03无排行有提醒,粤B533CJ,0,228.23,0,0,0,0,0,0,0,0,2019/11/7,100,未拔出
03无排行有提醒,粤B3AU48,0,962.84,0,0,0,0,0,0,0,0,2019/11/7,100,未拔出
03无排行有提醒,粤BY1047,0,3.37,0,0,0,0,0,0,0,0,2019/11/7,100,未拔出
03无排行有提醒,粤STC809,14.81,1230.46,9.58,2.14,6.92,2,5,4,0,2.93,2019/11/8,81.61,未拔出
03无排行有提醒,粤B2X562,3.84,2472.96,0.56,0.31,12.39,2,1,0,0,0,2019/11/8,94.72,未拔出
03无排行有提醒,粤B892VK,0,1193.09,0,0,0,0,0,0,0,0,2019/11/8,100,未拔出
