部门,车牌号,行驶里程,总里程,油耗,行驶时长,平均速度（KM/H）,急加速,急减速,急转弯,疲劳驾驶（次数）,夜间驾驶时长（H）,日期,驾驶行为评分,插拔
03无排行有提醒,皖AT0632,572.29,26301.5,76.85,21.45,26.68,220,258,97,3,9.66,2020/5/1,50.94,未拔出
03无排行有提醒,皖AT0549,548.64,51707.43,72.07,18.91,29.01,68,103,830,1,16.94,2020/5/1,29,未拔出
03无排行有提醒,皖AT0591,526.89,46318,62.49,19.79,26.62,150,507,3,2,7.15,2020/5/1,21.22,未拔出
03无排行有提醒,皖AT0579,421.6,36155.49,51.32,18.17,23.2,0,0,0,1,8.37,2020/5/1,70.28,未拔出
03无排行有提醒,皖AT0589,302.35,41530.16,33.88,11.8,25.62,55,119,0,1,3.08,2020/5/1,53.91,未拔出
03无排行有提醒,皖AT0631,288.09,25663.33,37.47,10.9,26.43,154,219,1,1,0.61,2020/5/1,42.14,未拔出
03无排行有提醒,皖AT0596,264.23,33251.86,31.94,9.23,28.63,141,234,3,1,0.33,2020/5/1,42.86,未拔出
03无排行有提醒,皖AT0563,161.27,27287.57,16.94,5.98,26.97,36,35,3,0,0.17,2020/5/1,72.33,未拔出
03无排行有提醒,皖AT0621,155.09,27514.61,18.44,6.31,24.58,177,103,7,1,2.94,2020/5/1,-10.01,未拔出
03无排行有提醒,粤STC809,0.3,2711.59,9.71,1.85,0.16,0,0,0,0,0.34,2020/5/1,99.11,未拔出
03无排行有提醒,粤B3AU48,0,962.84,0,0,0,0,0,0,0,0,2020/5/1,100,未拔出
03无排行有提醒,1.2212E+16,0,0.14,0,0,0,0,0,0,0,0,2020/5/1,100,未拔出
03无排行有提醒,粤TEST01,0,20754.92,0,0,0,0,0,0,0,0,2020/5/1,0,拔出
03无排行有提醒,皖AT0539,0,9817.49,0,0,0,0,0,0,0,0,2020/5/1,100,未拔出
03无排行有提醒,粤BS207S,0,3885.93,0,0,0,0,0,0,0,0,2020/5/1,100,未拔出
03无排行有提醒,粤B892VK,0,1193.09,0,0,0,0,0,0,0,0,2020/5/1,100,未拔出
03无排行有提醒,粤BY1047,0,3.37,0,0,0,0,0,0,0,0,2020/5/1,100,未拔出
03无排行有提醒,皖AT0633,0,15243.41,0,0,0,0,0,0,0,0,2020/5/1,100,未拔出
03无排行有提醒,粤B533CJ,0,228.23,0,0,0,0,0,0,0,0,2020/5/1,100,未拔出
03无排行有提醒,渝D865V3,0,2255.16,0,0,0,0,0,0,0,0,2020/5/1,100,未拔出
03无排行有提醒,粤B2X562,0,3406.52,0,0,0,0,0,0,0,0,2020/5/1,100,未拔出
03无排行有提醒,皖AT0591,560.32,46878.32,69.96,20.92,26.78,176,532,4,2,15.51,2020/5/2,25.97,未拔出
03无排行有提醒,皖AT0579,451.99,36607.48,61.71,20.45,22.1,0,0,0,2,16.02,2020/5/2,53.9,未拔出
03无排行有提醒,皖AT0632,443.63,26745.13,58.68,18.17,24.42,144,189,60,2,5.57,2020/5/2,54.52,未拔出
03无排行有提醒,皖AT0549,370.05,52077.48,49.37,12.09,30.61,25,49,815,2,13.64,2020/5/2,10.21,未拔出
03无排行有提醒,皖AT0631,301.87,25965.2,39.24,11.43,26.41,153,225,3,2,1.61,2020/5/2,27.37,未拔出
03无排行有提醒,皖AT0621,279.39,27794,39.07,11.21,24.92,332,215,9,2,1.46,2020/5/2,36.08,未拔出
03无排行有提醒,皖AT0596,260.97,33512.83,32.33,9.41,27.73,110,196,8,0,1.74,2020/5/2,71.64,未拔出
03无排行有提醒,皖AT0589,252.76,41782.92,26.75,9.63,26.25,36,114,1,2,1.47,2020/5/2,46.13,未拔出
03无排行有提醒,皖AT0563,141.24,27428.81,16.46,5.41,26.11,21,58,3,1,0.18,2020/5/2,63.61,未拔出
03无排行有提醒,粤STC809,1.02,2712.61,19.22,4.18,0.24,0,0,0,0,0.97,2020/5/2,99.15,未拔出
03无排行有提醒,粤B3AU48,0,962.84,0,0,0,0,0,0,0,0,2020/5/2,100,未拔出
03无排行有提醒,粤B533CJ,0,228.23,0,0,0,0,0,0,0,0,2020/5/2,100,未拔出
03无排行有提醒,粤TEST01,0,20754.92,0,0,0,0,0,0,0,0,2020/5/2,0,拔出
03无排行有提醒,1.2212E+16,0,0.14,0,0,0,0,0,0,0,0,2020/5/2,100,未拔出
03无排行有提醒,皖AT0539,0,9817.49,0,0,0,0,0,0,0,0,2020/5/2,100,未拔出
03无排行有提醒,皖AT0633,0,15243.41,0,0,0,0,0,0,0,0,2020/5/2,100,未拔出
03无排行有提醒,粤BY1047,0,3.37,0,0,0,0,0,0,0,0,2020/5/2,100,未拔出
03无排行有提醒,粤BS207S,0,3885.93,0,0,0,0,0,0,0,0,2020/5/2,100,未拔出
03无排行有提醒,粤B892VK,0,1193.09,0,0,0,0,0,0,0,0,2020/5/2,100,未拔出
03无排行有提醒,粤B2X562,0,3406.52,0,0,0,0,0,0,0,0,2020/5/2,100,未拔出
03无排行有提醒,渝D865V3,0,2255.16,0,0,0,0,0,0,0,0,2020/5/2,100,未拔出
03无排行有提醒,皖AT0591,437.27,47315.59,54.96,17.21,25.41,113,370,1,2,13.04,2020/5/3,31.67,未拔出
03无排行有提醒,皖AT0579,429.21,37036.69,54.83,18.2,23.58,0,0,0,2,8.48,2020/5/3,58.77,未拔出
03无排行有提醒,皖AT0632,426.79,27171.92,61.93,18.96,22.51,163,249,62,0,6.28,2020/5/3,67.31,未拔出
03无排行有提醒,皖AT0596,295.89,33808.72,44.4,11.49,25.75,184,263,24,0,1.51,2020/5/3,56.77,未拔出
03无排行有提醒,皖AT0621,252.5,28046.5,31.07,9.75,25.9,294,191,10,1,7.42,2020/5/3,32.07,未拔出
03无排行有提醒,皖AT0631,230.76,26195.96,34.85,9.99,23.1,96,169,1,1,0.34,2020/5/3,36.93,未拔出
03无排行有提醒,皖AT0589,179.7,41962.62,18.72,6.47,27.77,35,44,0,0,0,2020/5/3,83.53,未拔出
03无排行有提醒,皖AT0549,100.41,52177.89,12.59,2.86,35.11,7,7,28,0,1.08,2020/5/3,69.01,未拔出
03无排行有提醒,皖AT0563,65.79,27494.6,8.88,2.93,22.45,10,32,1,0,0,2020/5/3,81.36,未拔出
03无排行有提醒,粤STC809,1.01,2713.62,14.88,2.9,0.35,0,0,0,0,0.9,2020/5/3,99.3,未拔出
03无排行有提醒,粤B3AU48,0,962.84,0,0,0,0,0,0,0,0,2020/5/3,100,未拔出
03无排行有提醒,粤TEST01,0,20754.92,0,0,0,0,0,0,0,0,2020/5/3,0,拔出
03无排行有提醒,1.2212E+16,0,0.14,0,0,0,0,0,0,0,0,2020/5/3,100,未拔出
03无排行有提醒,皖AT0539,0,9817.49,0,0,0,0,0,0,0,0,2020/5/3,100,未拔出
03无排行有提醒,皖AT0633,0,15243.41,0,0,0,0,0,0,0,0,2020/5/3,100,未拔出
03无排行有提醒,粤BY1047,0,3.37,0,0,0,0,0,0,0,0,2020/5/3,100,未拔出
03无排行有提醒,粤BS207S,0,3885.93,0,0,0,0,0,0,0,0,2020/5/3,100,未拔出
03无排行有提醒,粤B892VK,0,1193.09,0,0,0,0,0,0,0,0,2020/5/3,100,未拔出
03无排行有提醒,粤B533CJ,0,228.23,0,0,0,0,0,0,0,0,2020/5/3,100,未拔出
03无排行有提醒,渝D865V3,0,2255.16,0,0,0,0,0,0,0,0,2020/5/3,100,未拔出
03无排行有提醒,粤B2X562,0,3406.52,0,0,0,0,0,0,0,0,2020/5/3,100,未拔出
03无排行有提醒,皖AT0632,576.56,27748.48,78.81,21.57,26.73,190,241,82,3,13.61,2020/5/4,46.66,未拔出
03无排行有提醒,皖AT0591,463.35,47778.94,61.15,18.12,25.57,167,374,4,3,4.88,2020/5/4,35.59,未拔出
03无排行有提醒,皖AT0621,440.14,28486.64,53.99,16.23,27.12,387,250,15,2,12.49,2020/5/4,32.03,未拔出
03无排行有提醒,皖AT0549,362.51,52540.4,53.87,13.89,26.1,43,67,676,1,12.73,2020/5/4,38.89,未拔出
03无排行有提醒,皖AT0579,332.1,37368.79,44.01,14.56,22.81,0,0,0,2,3.74,2020/5/4,59.66,未拔出
03无排行有提醒,皖AT0589,271.64,42234.26,33.39,10.38,26.17,39,96,1,2,1.15,2020/5/4,39.26,未拔出
03无排行有提醒,皖AT0596,270.23,34078.95,38.81,9.86,27.41,136,208,17,1,1.27,2020/5/4,51.32,未拔出
03无排行有提醒,皖AT0631,256.6,26452.68,35.89,10.07,25.48,78,152,2,2,0.61,2020/5/4,34.57,未拔出
03无排行有提醒,皖AT0563,163.34,27657.94,21.02,6.71,24.34,32,58,7,1,0,2020/5/4,71.79,未拔出
03无排行有提醒,粤STC809,5.84,2719.46,26.85,5.69,1.03,2,1,2,0,2.15,2020/5/4,94.92,未拔出
