部门,车牌号,行驶里程,总里程,油耗,行驶时长,平均速度（KM/H）,急加速,急减速,急转弯,疲劳驾驶（次数）,夜间驾驶时长（H）,日期,驾驶行为评分,插拔
04无排行无提醒,皖AT0540,304.6,3353.92,41.2,14.25,21.38,56,61,135,2,5.05,2019/11/1,45.44,未拔出
04无排行无提醒,粤B0Y92H,200.23,2183.96,32.95,6.15,32.56,35,100,0,0,0.05,2019/11/1,63.45,未拔出
04无排行无提醒,粤PR5795,0.03,1.74,1.28,0.77,0.04,0,0,0,0,0.77,2019/11/1,95.03,未拔出
04无排行无提醒,粤STB959,0.02,1739.19,0.03,0.07,0.29,0,0,0,0,0,2019/11/1,99.9,未拔出
04无排行无提醒,粤BP439V,0,1288.98,0,0,0,0,0,0,0,0,2019/11/1,100,未拔出
04无排行无提醒,粤B83CT2,0,15.48,0,0,0,0,0,0,0,0,2019/11/1,100,未拔出
04无排行无提醒,粤B4C0S6,0,3066.51,0,0,0,0,0,0,0,0,2019/11/1,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2019/11/1,100,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2019/11/1,100,未拔出
04无排行无提醒,皖AT0540,370.98,3725.09,47.06,15.39,24.11,80,65,97,3,11.15,2019/11/2,35.25,未拔出
04无排行无提醒,粤B0Y92H,21.8,2205.76,5.94,1.33,16.39,7,27,0,0,0,2019/11/2,93,未拔出
04无排行无提醒,粤B83CT2,12.63,28.11,1.13,0.57,22.16,5,11,0,0,0,2019/11/2,90.71,未拔出
04无排行无提醒,粤BP439V,0,1288.98,0,0,0,0,0,0,0,0,2019/11/2,100,未拔出
04无排行无提醒,粤PR5795,0,1.74,0.98,0.67,0,0,0,0,0,0,2019/11/2,0,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2019/11/2,100,未拔出
04无排行无提醒,粤B4C0S6,0,3066.51,0,0,0,0,0,0,0,0,2019/11/2,100,未拔出
