部门,车牌号,行驶里程,总里程,油耗,行驶时长,平均速度（KM/H）,急加速,急减速,急转弯,疲劳驾驶（次数）,夜间驾驶时长（H）,日期,驾驶行为评分,插拔
04无排行无提醒,皖AT0623,285.67,33275.66,33.99,11.18,25.55,108,115,2,1,2.62,2020/4/1,64.74,未拔出
04无排行无提醒,皖AT0608,281.63,29967.34,34.76,12.23,23.03,100,235,6,0,8.89,2020/4/1,49.09,未拔出
04无排行无提醒,皖AT0658,274.04,32841.69,36.53,13.08,20.95,144,111,0,0,3.84,2020/4/1,63.84,未拔出
04无排行无提醒,皖AT0666,234.69,20860.52,36.15,9.17,25.59,69,116,965,1,1.58,2020/4/1,31.71,未拔出
04无排行无提醒,皖AT0540,116.8,40654.15,12.79,3.96,29.49,2,0,20,0,0.28,2020/4/1,92.05,未拔出
04无排行无提醒,皖AT0565,45.73,23536.49,5.69,1.87,24.45,9,32,0,0,0,2020/4/1,92.01,未拔出
04无排行无提醒,粤BP439V,0,5440.92,0,0,0,0,0,0,0,0,2020/4/1,100,未拔出
04无排行无提醒,粤STB959,0,5434.9,0,0,0,0,0,0,0,0,2020/4/1,100,未拔出
04无排行无提醒,粤B4C0S6,0,3066.51,0,0,0,0,0,0,0,0,2020/4/1,100,未拔出
04无排行无提醒,皖AT0616,0,2377.84,0,0,0,0,0,0,0,0,2020/4/1,100,未拔出
04无排行无提醒,粤PR5795,0,2.94,1.02,0.81,0,0,0,0,0,0.28,2020/4/1,0,未拔出
04无排行无提醒,皖AT0556,0,44.1,0,0,0,0,0,0,0,0,2020/4/1,0,未拔出
04无排行无提醒,粤S09158,0,113.23,0,0,0,0,0,0,0,0,2020/4/1,100,未拔出
04无排行无提醒,粤B83CT2,0,28.11,0,0,0,0,0,0,0,0,2020/4/1,100,未拔出
04无排行无提醒,皖AT0560,0,27390.95,0,0,0,0,0,0,0,0,2020/4/1,100,未拔出
04无排行无提醒,皖AT0661,0,30194.09,0,0,0,0,0,0,0,0,2020/4/1,100,未拔出
04无排行无提醒,粤B0Y92H,0,5216.72,0,0,0,0,0,0,0,0,2020/4/1,100,未拔出
04无排行无提醒,粤B3RC91,0,326,0,0,0,0,0,0,0,0,2020/4/1,100,未拔出
04无排行无提醒,皖AT0540,371.01,41030.7,46.02,15.63,23.74,33,13,309,3,9.56,2020/4/2,23.25,未拔出
04无排行无提醒,皖AT0623,328.61,33604.27,37.34,11.86,27.71,113,106,2,1,3.16,2020/4/2,62.49,未拔出
