部门,车牌号,油耗,,,碳排放,日期
01有排行有提醒,粤BT2220,0,,,,2019/6/1
01有排行有提醒,粤BT2220,0,,,,2019/6/2
01有排行有提醒,粤BT2220,0,,,,2019/6/3
01有排行有提醒,粤BT2220,0,,,,2019/6/4
01有排行有提醒,粤BT2220,0,,,,2019/6/5
01有排行有提醒,粤BT2220,0,,,,2019/6/6
01有排行有提醒,粤BT2220,0,,,,2019/6/7
01有排行有提醒,粤BT2220,0,,,,2019/6/8
01有排行有提醒,粤BT2220,0,,,,2019/6/9
01有排行有提醒,粤BT2220,0,,,,2019/6/10
01有排行有提醒,粤BT2220,0,,,,2019/6/11
01有排行有提醒,粤BT2220,0,,,,2019/6/12
01有排行有提醒,粤BT2220,0,,,,2019/6/13
01有排行有提醒,粤BT2220,0,,,,2019/6/14
01有排行有提醒,粤BT2220,0,,,,2019/6/15
01有排行有提醒,粤BT2220,0,,,,2019/6/16
01有排行有提醒,粤BT2220,0,,,,2019/6/17
01有排行有提醒,粤BT2220,13.09,0.73,3.088,29.5080016,2019/6/18
01有排行有提醒,粤BT2220,14.65,0.73,3.088,33.024616,2019/6/19
01有排行有提醒,粤BT2220,21.2,0.73,3.088,47.789888,2019/6/20
01有排行有提醒,粤BT2220,20.05,0.73,3.088,45.197512,2019/6/21
01有排行有提醒,粤BT2220,15.01,0.73,3.088,33.8361424,2019/6/22
01有排行有提醒,粤BT2220,7.61,0.73,3.088,17.1547664,2019/6/23
01有排行有提醒,粤BT2220,17.06,0.73,3.088,38.4573344,2019/6/24
01有排行有提醒,粤BT2220,14.52,0.73,3.088,32.7315648,2019/6/25
01有排行有提醒,粤BT2220,15.47,0.73,3.088,34.8730928,2019/6/26
01有排行有提醒,粤BT2220,15.17,0.73,3.088,34.1968208,2019/6/27
01有排行有提醒,粤BT2220,18.55,0.73,3.088,41.816152,2019/6/28
01有排行有提醒,粤BT2220,9.79,0.73,3.088,22.0690096,2019/6/29
01有排行有提醒,粤BT2220,16.1,0.73,3.088,36.293264,2019/6/30
