部门,车牌号,油耗,,,,日期
01有排行有提醒,粤BT2220,15.37,0.73,3.088,34.6476688,2019/7/1
01有排行有提醒,粤BT2220,14.89,0.73,3.088,33.5656336,2019/7/2
01有排行有提醒,粤BT2220,18.61,0.73,3.088,41.9514064,2019/7/3
01有排行有提醒,粤BT2220,15.12,0.73,3.088,34.0841088,2019/7/4
01有排行有提醒,粤BT2220,17.57,0.73,3.088,39.6069968,2019/7/5
01有排行有提醒,粤BT2220,2.37,0.73,3.088,5.3425488,2019/7/6
01有排行有提醒,粤BT2220,7.67,0.73,3.088,17.2900208,2019/7/7
01有排行有提醒,粤BT2220,9.55,0.73,3.088,21.527992,2019/7/8
01有排行有提醒,粤BT2220,21.79,0.73,3.088,49.1198896,2019/7/9
01有排行有提醒,粤BT2220,10.48,0.73,3.088,23.6244352,2019/7/10
01有排行有提醒,粤BT2220,14.39,0.73,3.088,32.4385136,2019/7/11
01有排行有提醒,粤BT2220,13.58,0.73,3.088,30.6125792,2019/7/12
01有排行有提醒,粤BT2220,11.13,0.73,3.088,25.0896912,2019/7/13
01有排行有提醒,粤BT2220,12.35,0.73,3.088,27.839864,2019/7/14
01有排行有提醒,粤BT2220,17.55,0.73,3.088,39.561912,2019/7/15
01有排行有提醒,粤BT2220,13.3,0.73,3.088,29.981392,2019/7/16
01有排行有提醒,粤BT2220,17.28,0.73,3.088,38.9532672,2019/7/17
01有排行有提醒,粤BT2220,20.31,0.73,3.088,45.7836144,2019/7/18
01有排行有提醒,粤BT2220,0,0.73,3.088,0,2019/7/19
01有排行有提醒,粤BT2220,0,0.73,3.088,0,2019/7/20
01有排行有提醒,粤BT2220,15.07,0.73,3.088,33.9713968,2019/7/21
01有排行有提醒,粤BT2220,20.91,0.73,3.088,47.1361584,2019/7/22
01有排行有提醒,粤BT2220,11.85,0.73,3.088,26.712744,2019/7/23
01有排行有提醒,粤BT2220,17.03,0.73,3.088,38.3897072,2019/7/24
01有排行有提醒,粤BT2220,11.15,0.73,3.088,25.134776,2019/7/25
01有排行有提醒,粤BT2220,28.32,0.73,3.088,63.8400768,2019/7/26
01有排行有提醒,粤BT2220,13.34,0.73,3.088,30.0715616,2019/7/27
01有排行有提醒,粤BT2220,6.92,0.73,3.088,15.5993408,2019/7/28
01有排行有提醒,粤BT2220,13.96,0.73,3.088,31.4691904,2019/7/29
01有排行有提醒,粤BT2220,12.62,0.73,3.088,28.4485088,2019/7/30
