部门,车牌号,油耗,,,碳排放,日期
01有排行有提醒,皖AT0547,76.02,0.73,3.088,171.3673248,2020/1/1
01有排行有提醒,皖AT0600,79.52,0.73,3.088,179.2571648,2020/1/1
01有排行有提醒,皖AT0568,61.19,0.73,3.088,137.9369456,2020/1/1
01有排行有提醒,皖AT0650,41.16,0.73,3.088,92.7845184,2020/1/1
01有排行有提醒,皖AT0665,45.08,0.73,3.088,101.6211392,2020/1/1
01有排行有提醒,皖AT0628,45.02,0.73,3.088,101.4858848,2020/1/1
01有排行有提醒,皖AT0599,31.7,0.73,3.088,71.459408,2020/1/1
01有排行有提醒,皖AT0553,36.54,0.73,3.088,82.3699296,2020/1/1
01有排行有提醒,粤B3R80W,3.14,0.73,3.088,7.0783136,2020/1/1
01有排行有提醒,皖AT0619,2.87,0.73,3.088,6.4696688,2020/1/1
01有排行有提醒,粤L39ES3,1.47,0.73,3.088,3.3137328,2020/1/1
01有排行有提醒,皖AT0609,0,0.73,3.088,0,2020/1/1
01有排行有提醒,皖AT0642,0,0.73,3.088,0,2020/1/1
01有排行有提醒,粤BH218W,0,0.73,3.088,0,2020/1/1
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2020/1/1
01有排行有提醒,粤LBY602,0,0.73,3.088,0,2020/1/1
01有排行有提醒,皖AT0626,0,0.73,3.088,0,2020/1/1
01有排行有提醒,粤B2K335,0,0.73,3.088,0,2020/1/1
01有排行有提醒,粤B048RX,0,0.73,3.088,0,2020/1/1
01有排行有提醒,粤BT2220,0,0.73,3.088,0,2020/1/1
01有排行有提醒,皖AT0600,61.7,0.73,3.088,139.086608,2020/1/2
01有排行有提醒,皖AT0568,57.11,0.73,3.088,128.7396464,2020/1/2
01有排行有提醒,皖AT0650,40.7,0.73,3.088,91.747568,2020/1/2
01有排行有提醒,皖AT0665,44.98,0.73,3.088,101.3957152,2020/1/2
01有排行有提醒,皖AT0547,44.16,0.73,3.088,99.5472384,2020/1/2
01有排行有提醒,皖AT0628,46.26,0.73,3.088,104.2811424,2020/1/2
01有排行有提醒,皖AT0553,39.93,0.73,3.088,90.0118032,2020/1/2
01有排行有提醒,皖AT0599,35.49,0.73,3.088,80.0029776,2020/1/2
01有排行有提醒,皖AT0619,17.74,0.73,3.088,39.9902176,2020/1/2
01有排行有提醒,粤BT2220,10.3,0.73,3.088,23.218672,2020/1/2
01有排行有提醒,粤B3R80W,1.03,0.73,3.088,2.3218672,2020/1/2
01有排行有提醒,粤L39ES3,0.55,0.73,3.088,1.239832,2020/1/2
01有排行有提醒,皖AT0642,0,0.73,3.088,0,2020/1/2
01有排行有提醒,皖AT0609,0,0.73,3.088,0,2020/1/2
01有排行有提醒,粤BH218W,0,0.73,3.088,0,2020/1/2
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2020/1/2
01有排行有提醒,粤LBY602,0,0.73,3.088,0,2020/1/2
01有排行有提醒,皖AT0626,0,0.73,3.088,0,2020/1/2
01有排行有提醒,粤B2K335,0,0.73,3.088,0,2020/1/2
01有排行有提醒,粤B048RX,0,0.73,3.088,0,2020/1/2
01有排行有提醒,皖AT0547,58.3,0.73,3.088,131.422192,2020/1/3
01有排行有提醒,皖AT0599,51.83,0.73,3.088,116.8372592,2020/1/3
01有排行有提醒,皖AT0568,55.55,0.73,3.088,125.223032,2020/1/3
01有排行有提醒,皖AT0600,51.69,0.73,3.088,116.5216656,2020/1/3
01有排行有提醒,皖AT0628,51.91,0.73,3.088,117.0175984,2020/1/3
01有排行有提醒,皖AT0665,40.58,0.73,3.088,91.4770592,2020/1/3
01有排行有提醒,皖AT0553,37.73,0.73,3.088,85.0524752,2020/1/3
01有排行有提醒,皖AT0619,27.53,0.73,3.088,62.0592272,2020/1/3
01有排行有提醒,皖AT0650,12.99,0.73,3.088,29.2825776,2020/1/3
01有排行有提醒,粤BT2220,18.17,0.73,3.088,40.9595408,2020/1/3
01有排行有提醒,粤B3R80W,2.43,0.73,3.088,5.4778032,2020/1/3
01有排行有提醒,粤L39ES3,0.13,0.73,3.088,0.2930512,2020/1/3
01有排行有提醒,皖AT0609,0,0.73,3.088,0,2020/1/3
01有排行有提醒,皖AT0642,0,0.73,3.088,0,2020/1/3
01有排行有提醒,粤BH218W,0,0.73,3.088,0,2020/1/3
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2020/1/3
01有排行有提醒,粤LBY602,0,0.73,3.088,0,2020/1/3
