部门,车牌号,油耗,,,碳排放（kg）,日期
01有排行有提醒,皖AT0628,68.82,0.73,3.088,155.1367968,2020/5/1
01有排行有提醒,皖AT0665,51.51,0.73,3.088,116.1159024,2020/5/1
01有排行有提醒,皖AT0568,56.54,0.73,3.088,127.4547296,2020/5/1
01有排行有提醒,皖AT0599,44.71,0.73,3.088,100.7870704,2020/5/1
01有排行有提醒,皖AT0553,38.21,0.73,3.088,86.1345104,2020/5/1
01有排行有提醒,皖AT0642,21.15,0.73,3.088,47.677176,2020/5/1
01有排行有提醒,皖AT0650,5.17,0.73,3.088,11.6544208,2020/5/1
01有排行有提醒,粤BT2220,7.68,0.73,3.088,17.3125632,2020/5/1
01有排行有提醒,粤B3R80W,2.68,0.73,3.088,6.0413632,2020/5/1
01有排行有提醒,粤LBY602,0,0.73,3.088,0,2020/5/1
01有排行有提醒,皖AT0547,0,0.73,3.088,0,2020/5/1
01有排行有提醒,皖AT0626,0,0.73,3.088,0,2020/5/1
01有排行有提醒,皖AT0619,0,0.73,3.088,0,2020/5/1
01有排行有提醒,皖AT0609,0,0.73,3.088,0,2020/5/1
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2020/5/1
01有排行有提醒,粤L39ES3,0,0.73,3.088,0,2020/5/1
01有排行有提醒,粤B048RX,0,0.73,3.088,0,2020/5/1
01有排行有提醒,皖AT0600,0,0.73,3.088,0,2020/5/1
01有排行有提醒,粤BH218W,0,0.73,3.088,0,2020/5/1
01有排行有提醒,粤B2K335,0,0.73,3.088,0,2020/5/1
01有排行有提醒,皖AT0665,49.97,0.73,3.088,112.6443728,2020/5/2
01有排行有提醒,皖AT0568,42.15,0.73,3.088,95.016216,2020/5/2
01有排行有提醒,皖AT0599,30.69,0.73,3.088,69.1826256,2020/5/2
01有排行有提醒,皖AT0553,34.56,0.73,3.088,77.9065344,2020/5/2
01有排行有提醒,皖AT0650,25.58,0.73,3.088,57.6634592,2020/5/2
01有排行有提醒,皖AT0642,18.79,0.73,3.088,42.3571696,2020/5/2
