部门,车牌号,油耗,,,碳排放（KG）,日期
01有排行有提醒,皖AT0568,65.06,0.73,3.088,146.6608544,2020/8/1
01有排行有提醒,皖AT0650,50.17,0.73,3.088,113.0952208,2020/8/1
01有排行有提醒,皖AT0665,53.31,0.73,3.088,120.1735344,2020/8/1
01有排行有提醒,皖AT0553,44.72,0.73,3.088,100.8096128,2020/8/1
01有排行有提醒,皖AT0599,28.94,0.73,3.088,65.2377056,2020/8/1
01有排行有提醒,皖AT0628,31.02,0.73,3.088,69.9265248,2020/8/1
01有排行有提醒,皖AT0642,6.61,0.73,3.088,14.9005264,2020/8/1
01有排行有提醒,粤BT2220,5.24,0.73,3.088,11.8122176,2020/8/1
01有排行有提醒,粤B3R80W,1,0.73,3.088,2.25424,2020/8/1
01有排行有提醒,皖AT0619,0,0.73,3.088,0,2020/8/1
01有排行有提醒,皖AT0609,0,0.73,3.088,0,2020/8/1
01有排行有提醒,皖AT0600,0,0.73,3.088,0,2020/8/1
01有排行有提醒,皖AT0547,0,0.73,3.088,0,2020/8/1
01有排行有提醒,粤BH218W,0,0.73,3.088,0,2020/8/1
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2020/8/1
01有排行有提醒,粤LBY602,0,0.73,3.088,0,2020/8/1
01有排行有提醒,皖AT0626,0,0.73,3.088,0,2020/8/1
01有排行有提醒,粤B048RX,0,0.73,3.088,0,2020/8/1
01有排行有提醒,粤L39ES3,0,0.73,3.088,0,2020/8/1
01有排行有提醒,粤B2K335,0,0.73,3.088,0,2020/8/1
01有排行有提醒,皖AT0568,62.19,0.73,3.088,140.1911856,2020/8/2
01有排行有提醒,皖AT0665,47.88,0.73,3.088,107.9330112,2020/8/2
01有排行有提醒,皖AT0650,38.62,0.73,3.088,87.0587488,2020/8/2
01有排行有提醒,皖AT0553,41.54,0.73,3.088,93.6411296,2020/8/2
01有排行有提醒,皖AT0628,34.14,0.73,3.088,76.9597536,2020/8/2
01有排行有提醒,皖AT0599,23.81,0.73,3.088,53.6734544,2020/8/2
01有排行有提醒,皖AT0642,9.31,0.73,3.088,20.9869744,2020/8/2
01有排行有提醒,皖AT0609,0,0.73,3.088,0,2020/8/2
01有排行有提醒,皖AT0547,0,0.73,3.088,0,2020/8/2
01有排行有提醒,皖AT0600,0,0.73,3.088,0,2020/8/2
01有排行有提醒,皖AT0619,0,0.73,3.088,0,2020/8/2
01有排行有提醒,粤BH218W,0,0.73,3.088,0,2020/8/2
01有排行有提醒,粤S45B27,0,0.73,3.088,0,2020/8/2
01有排行有提醒,粤LBY602,0,0.73,3.088,0,2020/8/2
01有排行有提醒,皖AT0626,0,0.73,3.088,0,2020/8/2
01有排行有提醒,粤B048RX,0,0.73,3.088,0,2020/8/2
01有排行有提醒,粤L39ES3,0,0.73,3.088,0,2020/8/2
01有排行有提醒,粤B2K335,0,0.73,3.088,0,2020/8/2
01有排行有提醒,粤B3R80W,0,0.73,3.088,0,2020/8/2
01有排行有提醒,粤BT2220,0,0.73,3.088,0,2020/8/2
01有排行有提醒,皖AT0568,71.79,0.73,3.088,161.8318896,2020/8/3
01有排行有提醒,皖AT0628,53.3,0.73,3.088,120.150992,2020/8/3
