部门,车牌号,油耗,,,碳排放,日期
02有排行无提醒,皖AT0580,40.27,0.73,3.088,90.7782448,12/1/2019
02有排行无提醒,皖AT0541,63.63,0.73,3.088,143.4372912,12/1/2019
02有排行无提醒,皖AT0657,56.88,0.73,3.088,128.2211712,12/1/2019
02有排行无提醒,皖AT0576,49.11,0.73,3.088,110.7057264,12/1/2019
02有排行无提醒,皖AT0601,42.64,0.73,3.088,96.1207936,12/1/2019
02有排行无提醒,皖AT0641,37.57,0.73,3.088,84.6917968,12/1/2019
02有排行无提醒,皖AT0613,36.96,0.73,3.088,83.3167104,12/1/2019
02有排行无提醒,皖AT0575,38.62,0.73,3.088,87.0587488,12/1/2019
02有排行无提醒,皖AT0620,38.85,0.73,3.088,87.577224,12/1/2019
02有排行无提醒,粤B9XN26,3.94,0.73,3.088,8.8817056,12/1/2019
02有排行无提醒,粤B3Q03K,1.34,0.73,3.088,3.0206816,12/1/2019
02有排行无提醒,闽C88DN2,0,0.73,3.088,0,12/1/2019
02有排行无提醒,1.22E+16,0,0.73,3.088,0,12/1/2019
02有排行无提醒,皖AYY059,0,0.73,3.088,0,12/1/2019
02有排行无提醒,粤B7U0H5,0,0.73,3.088,0,12/1/2019
02有排行无提醒,粤BN8G52,0,0.73,3.088,0,12/1/2019
02有排行无提醒,粤BL05M1,0,0.73,3.088,0,12/1/2019
02有排行无提醒,粤JCL629,0,0.73,3.088,0,12/1/2019
02有排行无提醒,皖AT0543,0,0.73,3.088,0,12/1/2019
02有排行无提醒,粤SL3H57,0,0.73,3.088,0,12/1/2019
02有排行无提醒,皖AT0541,67.72,0.73,3.088,152.6571328,12/2/2019
02有排行无提醒,皖AT0575,60.59,0.73,3.088,136.5844016,12/2/2019
02有排行无提醒,皖AT0601,52.35,0.73,3.088,118.009464,12/2/2019
02有排行无提醒,皖AT0657,57.78,0.73,3.088,130.2499872,12/2/2019
02有排行无提醒,皖AT0580,5.41,0.73,3.088,12.1954384,12/2/2019
02有排行无提醒,皖AT0641,42.45,0.73,3.088,95.692488,12/2/2019
02有排行无提醒,皖AT0613,40.67,0.73,3.088,91.6799408,12/2/2019
02有排行无提醒,皖AT0576,25.92,0.73,3.088,58.4299008,12/2/2019
02有排行无提醒,皖AT0620,33.22,0.73,3.088,74.8858528,12/2/2019
02有排行无提醒,粤B3Q03K,15.15,0.73,3.088,34.151736,12/2/2019
02有排行无提醒,粤B9XN26,3.26,0.73,3.088,7.3488224,12/2/2019
02有排行无提醒,粤BL05M1,2.75,0.73,3.088,6.19916,12/2/2019
02有排行无提醒,粤JCL629,0,0.73,3.088,0,12/2/2019
02有排行无提醒,1.22E+16,0,0.73,3.088,0,12/2/2019
02有排行无提醒,皖AYY059,0,0.73,3.088,0,12/2/2019
02有排行无提醒,粤SL3H57,0,0.73,3.088,0,12/2/2019
02有排行无提醒,皖AT0543,0,0.73,3.088,0,12/2/2019
