部门,车牌号,油耗,,,碳排放,日期
02有排行无提醒,皖AT0575,41.87,0.73,3.088,94.3850288,3/1/2020
02有排行无提醒,皖AT0601,33.3,0.73,3.088,75.066192,3/1/2020
02有排行无提醒,皖AT0657,23.34,0.73,3.088,52.6139616,3/1/2020
02有排行无提醒,皖AT0541,19.15,0.73,3.088,43.168696,3/1/2020
02有排行无提醒,皖AT0580,0,0.73,3.088,0,3/1/2020
02有排行无提醒,皖AT0576,13.27,0.73,3.088,29.9137648,3/1/2020
02有排行无提醒,粤B3Q03K,1.57,0.73,3.088,3.5391568,3/1/2020
02有排行无提醒,粤BL05M1,1.83,0.73,3.088,4.1252592,3/1/2020
02有排行无提醒,皖AT0613,0,0.73,3.088,0,3/1/2020
02有排行无提醒,皖AT0620,0,0.73,3.088,0,3/1/2020
02有排行无提醒,皖AT0641,0,0.73,3.088,0,3/1/2020
02有排行无提醒,皖AT0543,0,0.73,3.088,0,3/1/2020
02有排行无提醒,粤JCL629,0,0.73,3.088,0,3/1/2020
02有排行无提醒,1.22E+16,0,0.73,3.088,0,3/1/2020
02有排行无提醒,皖AYY059,0,0.73,3.088,0,3/1/2020
02有排行无提醒,粤B9XN26,0,0.73,3.088,0,3/1/2020
02有排行无提醒,闽C88DN2,0,0.73,3.088,0,3/1/2020
02有排行无提醒,粤SL3H57,0,0.73,3.088,0,3/1/2020
02有排行无提醒,粤B7U0H5,0,0.73,3.088,0,3/1/2020
02有排行无提醒,粤BN8G52,0,0.73,3.088,0,3/1/2020
02有排行无提醒,皖AT0657,58.17,0.73,3.088,131.1291408,3/2/2020
02有排行无提醒,皖AT0575,28.2,0.73,3.088,63.569568,3/2/2020
02有排行无提醒,皖AT0580,8.55,0.73,3.088,19.273752,3/2/2020
02有排行无提醒,皖AT0601,19.89,0.73,3.088,44.8368336,3/2/2020
02有排行无提醒,皖AT0541,20.83,0.73,3.088,46.9558192,3/2/2020
02有排行无提醒,皖AT0620,7.6,0.73,3.088,17.132224,3/2/2020
02有排行无提醒,粤B3Q03K,2.82,0.73,3.088,6.3569568,3/2/2020
02有排行无提醒,粤JCL629,0.82,0.73,3.088,1.8484768,3/2/2020
02有排行无提醒,皖AT0613,0.19,0.73,3.088,0.4283056,3/2/2020
02有排行无提醒,皖AT0641,0,0.73,3.088,0,3/2/2020
02有排行无提醒,皖AT0543,0,0.73,3.088,0,3/2/2020
02有排行无提醒,粤B9XN26,0,0.73,3.088,0,3/2/2020
02有排行无提醒,闽C88DN2,0,0.73,3.088,0,3/2/2020
02有排行无提醒,1.22E+16,0,0.73,3.088,0,3/2/2020
02有排行无提醒,皖AYY059,0,0.73,3.088,0,3/2/2020
02有排行无提醒,皖AT0576,0,0.73,3.088,0,3/2/2020
02有排行无提醒,粤SL3H57,0,0.73,3.088,0,3/2/2020
02有排行无提醒,粤BL05M1,0,0.73,3.088,0,3/2/2020
