部门,车牌号,油耗,,,碳排放(KG),日期
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/8/1
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/8/2
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/8/3
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/8/4
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/8/5
03无排行有提醒,粤B3AU48,0,0.73,3.088,0,2019/8/5
03无排行有提醒,粤B3AU48,1.36,0.73,3.088,3.0657664,2019/8/6
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/8/6
03无排行有提醒,粤B3AU48,0.53,0.73,3.088,1.1947472,2019/8/7
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/8/7
03无排行有提醒,粤B533CJ,1.66,0.73,3.088,3.7420384,2019/8/8
03无排行有提醒,粤B3AU48,0,0.73,3.088,0,2019/8/8
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/8/8
03无排行有提醒,粤B3AU48,0,0.73,3.088,0,2019/8/9
03无排行有提醒,粤B533CJ,7.51,0.73,3.088,16.9293424,2019/8/9
03无排行有提醒,粤B2X562,0.91,0.73,3.088,2.0513584,2019/8/9
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/8/9
03无排行有提醒,粤B533CJ,1.71,0.73,3.088,3.8547504,2019/8/10
03无排行有提醒,粤B2X562,2.2,0.73,3.088,4.959328,2019/8/10
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/8/10
03无排行有提醒,粤B3AU48,0,0.73,3.088,0,2019/8/10
03无排行有提醒,粤B2X562,2.45,0.73,3.088,5.522888,2019/8/11
03无排行有提醒,粤B3AU48,0,0.73,3.088,0,2019/8/11
03无排行有提醒,粤B533CJ,1.96,0.73,3.088,4.4183104,2019/8/11
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/8/11
03无排行有提醒,粤B2X562,11.55,0.73,3.088,26.036472,2019/8/12
03无排行有提醒,粤B533CJ,2.47,0.73,3.088,5.5679728,2019/8/12
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/8/12
03无排行有提醒,粤B3AU48,0,0.73,3.088,0,2019/8/12
03无排行有提醒,粤B2X562,1.6,0.73,3.088,3.606784,2019/8/13
03无排行有提醒,粤B533CJ,1.34,0.73,3.088,3.0206816,2019/8/13
03无排行有提醒,粤B3AU48,0,0.73,3.088,0,2019/8/13
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/8/13
03无排行有提醒,粤B2X562,8.39,0.73,3.088,18.9130736,2019/8/14
03无排行有提醒,粤B533CJ,3.31,0.73,3.088,7.4615344,2019/8/14
03无排行有提醒,粤B3AU48,0,0.73,3.088,0,2019/8/14
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/8/14
03无排行有提醒,粤B2X562,6.84,0.73,3.088,15.4190016,2019/8/15
03无排行有提醒,粤B533CJ,1.82,0.73,3.088,4.1027168,2019/8/15
03无排行有提醒,粤BY1047,1.2,0.73,3.088,2.705088,2019/8/15
03无排行有提醒,粤B3AU48,0,0.73,3.088,0,2019/8/15
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/8/15
03无排行有提醒,粤B2X562,13.22,0.73,3.088,29.8010528,2019/8/16
03无排行有提醒,粤B3AU48,0,0.73,3.088,0,2019/8/16
03无排行有提醒,粤STC809,11.96,0.73,3.088,26.9607104,2019/8/16
03无排行有提醒,粤B533CJ,1.55,0.73,3.088,3.494072,2019/8/16
03无排行有提醒,粤BY1047,0,0.73,3.088,0,2019/8/16
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/8/16
03无排行有提醒,粤B3AU48,17.1,0.73,3.088,38.547504,2019/8/17
03无排行有提醒,粤B533CJ,1.66,0.73,3.088,3.7420384,2019/8/17
03无排行有提醒,粤B2X562,0.77,0.73,3.088,1.7357648,2019/8/17
03无排行有提醒,粤STC809,0,0.73,3.088,0,2019/8/17
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/8/17
03无排行有提醒,粤BY1047,0,0.73,3.088,0,2019/8/17
03无排行有提醒,粤B3AU48,3.97,0.73,3.088,8.9493328,2019/8/18
03无排行有提醒,粤B533CJ,1.74,0.73,3.088,3.9223776,2019/8/18
03无排行有提醒,粤B2X562,0.56,0.73,3.088,1.2623744,2019/8/18
03无排行有提醒,粤STC809,0,0.73,3.088,0,2019/8/18
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/8/18
03无排行有提醒,粤BY1047,0,0.73,3.088,0,2019/8/18
03无排行有提醒,粤B2X562,2.28,0.73,3.088,5.1396672,2019/8/19
03无排行有提醒,粤B533CJ,1.48,0.73,3.088,3.3362752,2019/8/19
03无排行有提醒,粤STC809,3.46,0.73,3.088,7.7996704,2019/8/19
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/8/19
03无排行有提醒,粤BY1047,0,0.73,3.088,0,2019/8/19
03无排行有提醒,粤B3AU48,0,0.73,3.088,0,2019/8/19
03无排行有提醒,粤STC809,10.6,0.73,3.088,23.894944,2019/8/20
03无排行有提醒,粤B533CJ,1.5,0.73,3.088,3.38136,2019/8/20
03无排行有提醒,粤B2X562,1.01,0.73,3.088,2.2767824,2019/8/20
03无排行有提醒,粤B3AU48,0,0.73,3.088,0,2019/8/20
03无排行有提醒,粤BY1047,0,0.73,3.088,0,2019/8/20
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/8/20
03无排行有提醒,粤B2X562,6.47,0.73,3.088,14.5849328,2019/8/21
03无排行有提醒,渝D865V3,2.37,0.73,3.088,5.3425488,2019/8/21
03无排行有提醒,粤B533CJ,1.65,0.73,3.088,3.719496,2019/8/21
