部门,车牌号,油耗,,,碳排放,日期
03无排行有提醒,粤BS207S,23.87,0.73,3.088,53.8087088,2019/10/1
03无排行有提醒,渝D865V3,9.72,0.73,3.088,21.9112128,2019/10/1
03无排行有提醒,粤B892VK,1.64,0.73,3.088,3.6969536,2019/10/1
03无排行有提醒,粤B2X562,0.31,0.73,3.088,0.6988144,2019/10/1
03无排行有提醒,粤STC809,0,0.73,3.088,0,2019/10/1
03无排行有提醒,粤BY1047,0,0.73,3.088,0,2019/10/1
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/10/1
03无排行有提醒,粤B3AU48,0,0.73,3.088,0,2019/10/1
03无排行有提醒,粤B533CJ,0,0.73,3.088,0,2019/10/1
03无排行有提醒,粤B892VK,5.09,0.73,3.088,11.4740816,2019/10/2
03无排行有提醒,渝D865V3,3.93,0.73,3.088,8.8591632,2019/10/2
03无排行有提醒,粤B2X562,1.1,0.73,3.088,2.479664,2019/10/2
03无排行有提醒,粤BS207S,1.11,0.73,3.088,2.5022064,2019/10/2
03无排行有提醒,粤STC809,0,0.73,3.088,0,2019/10/2
03无排行有提醒,粤BY1047,0,0.73,3.088,0,2019/10/2
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/10/2
03无排行有提醒,粤B3AU48,0,0.73,3.088,0,2019/10/2
03无排行有提醒,粤B533CJ,0,0.73,3.088,0,2019/10/2
03无排行有提醒,粤B2X562,17.87,0.73,3.088,40.2832688,2019/10/3
03无排行有提醒,渝D865V3,3.4,0.73,3.088,7.664416,2019/10/3
03无排行有提醒,粤B892VK,2.89,0.73,3.088,6.5147536,2019/10/3
03无排行有提醒,粤STC809,0,0.73,3.088,0,2019/10/3
03无排行有提醒,粤BY1047,0,0.73,3.088,0,2019/10/3
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/10/3
03无排行有提醒,粤B3AU48,0,0.73,3.088,0,2019/10/3
03无排行有提醒,粤B533CJ,0,0.73,3.088,0,2019/10/3
03无排行有提醒,粤BS207S,0,0.73,3.088,0,2019/10/3
03无排行有提醒,渝D865V3,4.01,0.73,3.088,9.0395024,2019/10/4
03无排行有提醒,粤BS207S,2.05,0.73,3.088,4.621192,2019/10/4
03无排行有提醒,粤B2X562,1.94,0.73,3.088,4.3732256,2019/10/4
03无排行有提醒,粤B892VK,1.7,0.73,3.088,3.832208,2019/10/4
03无排行有提醒,粤B3AU48,0.08,0.73,3.088,0.1803392,2019/10/4
03无排行有提醒,粤STC809,2.41,0.73,3.088,5.4327184,2019/10/4
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/10/4
03无排行有提醒,粤B533CJ,0,0.73,3.088,0,2019/10/4
03无排行有提醒,粤BY1047,0,0.73,3.088,0,2019/10/4
03无排行有提醒,渝D865V3,5.23,0.73,3.088,11.7896752,2019/10/5
03无排行有提醒,粤B2X562,2.21,0.73,3.088,4.9818704,2019/10/5
03无排行有提醒,粤B892VK,2.2,0.73,3.088,4.959328,2019/10/5
03无排行有提醒,粤STC809,1.5,0.73,3.088,3.38136,2019/10/5
03无排行有提醒,粤BY1047,0,0.73,3.088,0,2019/10/5
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/10/5
03无排行有提醒,粤B3AU48,0,0.73,3.088,0,2019/10/5
03无排行有提醒,粤B533CJ,0,0.73,3.088,0,2019/10/5
03无排行有提醒,粤BS207S,0,0.73,3.088,0,2019/10/5
03无排行有提醒,渝D865V3,6.33,0.73,3.088,14.2693392,2019/10/6
03无排行有提醒,粤B2X562,1.93,0.73,3.088,4.3506832,2019/10/6
03无排行有提醒,粤B892VK,1.72,0.73,3.088,3.8772928,2019/10/6
03无排行有提醒,粤STC809,3.41,0.73,3.088,7.6869584,2019/10/6
03无排行有提醒,粤BY1047,0,0.73,3.088,0,2019/10/6
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/10/6
03无排行有提醒,粤B3AU48,0,0.73,3.088,0,2019/10/6
03无排行有提醒,粤B533CJ,0,0.73,3.088,0,2019/10/6
03无排行有提醒,粤BS207S,0,0.73,3.088,0,2019/10/6
03无排行有提醒,粤BS207S,19.67,0.73,3.088,44.3409008,2019/10/7
03无排行有提醒,粤B892VK,2.05,0.73,3.088,4.621192,2019/10/7
03无排行有提醒,粤STC809,0.4,0.73,3.088,0.901696,2019/10/7
03无排行有提醒,渝D865V3,0,0.73,3.088,0,2019/10/7
03无排行有提醒,粤BY1047,0,0.73,3.088,0,2019/10/7
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2019/10/7
03无排行有提醒,粤B3AU48,0,0.73,3.088,0,2019/10/7
03无排行有提醒,粤B533CJ,0,0.73,3.088,0,2019/10/7
03无排行有提醒,粤B2X562,0,0.73,3.088,0,2019/10/7
03无排行有提醒,粤STC809,13.74,0.73,3.088,30.9732576,2019/10/8
03无排行有提醒,渝D865V3,7.18,0.73,3.088,16.1854432,2019/10/8
03无排行有提醒,粤B2X562,2.2,0.73,3.088,4.959328,2019/10/8
03无排行有提醒,粤B892VK,2.22,0.73,3.088,5.0044128,2019/10/8
