部门,车牌号,油耗,,,碳排放,日期
03无排行有提醒,皖AT0549,65.86,0.73,3.088,148.4642464,2020/6/1
03无排行有提醒,皖AT0632,71.3,0.73,3.088,160.727312,2020/6/1
03无排行有提醒,皖AT0621,62.35,0.73,3.088,140.551864,2020/6/1
03无排行有提醒,皖AT0591,49.92,0.73,3.088,112.5316608,2020/6/1
03无排行有提醒,皖AT0631,39.54,0.73,3.088,89.1326496,2020/6/1
03无排行有提醒,皖AT0596,39.83,0.73,3.088,89.7863792,2020/6/1
03无排行有提醒,皖AT0579,39.68,0.73,3.088,89.4482432,2020/6/1
03无排行有提醒,皖AT0563,24.55,0.73,3.088,55.341592,2020/6/1
03无排行有提醒,粤STC809,18.68,0.73,3.088,42.1092032,2020/6/1
03无排行有提醒,1.22E+16,0,0.73,3.088,0,2020/6/1
03无排行有提醒,皖AT0589,0,0.73,3.088,0,2020/6/1
03无排行有提醒,粤B2X562,0,0.73,3.088,0,2020/6/1
03无排行有提醒,粤B533CJ,0,0.73,3.088,0,2020/6/1
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2020/6/1
03无排行有提醒,粤BY1047,0,0.73,3.088,0,2020/6/1
03无排行有提醒,皖AT0633,0,0.73,3.088,0,2020/6/1
03无排行有提醒,粤B3AU48,0,0.73,3.088,0,2020/6/1
03无排行有提醒,粤BS207S,0,0.73,3.088,0,2020/6/1
03无排行有提醒,粤B892VK,0,0.73,3.088,0,2020/6/1
03无排行有提醒,皖AT0539,0,0.73,3.088,0,2020/6/1
03无排行有提醒,渝D865V3,0,0.73,3.088,0,2020/6/1
03无排行有提醒,皖AT0579,64.92,0.73,3.088,146.3452608,2020/6/2
03无排行有提醒,皖AT0549,66.36,0.73,3.088,149.5913664,2020/6/2
03无排行有提醒,皖AT0632,67.39,0.73,3.088,151.9132336,2020/6/2
03无排行有提醒,皖AT0591,51.29,0.73,3.088,115.6199696,2020/6/2
03无排行有提醒,皖AT0621,50.89,0.73,3.088,114.7182736,2020/6/2
03无排行有提醒,皖AT0596,42,0.73,3.088,94.67808,2020/6/2
03无排行有提醒,皖AT0631,32.49,0.73,3.088,73.2402576,2020/6/2
03无排行有提醒,粤STC809,12.74,0.73,3.088,28.7190176,2020/6/2
03无排行有提醒,皖AT0563,0,0.73,3.088,0,2020/6/2
03无排行有提醒,皖AT0539,0,0.73,3.088,0,2020/6/2
03无排行有提醒,皖AT0589,0,0.73,3.088,0,2020/6/2
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2020/6/2
03无排行有提醒,1.22E+16,0,0.73,3.088,0,2020/6/2
03无排行有提醒,粤B892VK,0,0.73,3.088,0,2020/6/2
03无排行有提醒,粤BY1047,0,0.73,3.088,0,2020/6/2
03无排行有提醒,粤BS207S,0,0.73,3.088,0,2020/6/2
03无排行有提醒,渝D865V3,0,0.73,3.088,0,2020/6/2
03无排行有提醒,粤B3AU48,0,0.73,3.088,0,2020/6/2
03无排行有提醒,皖AT0633,0,0.73,3.088,0,2020/6/2
03无排行有提醒,粤B533CJ,0,0.73,3.088,0,2020/6/2
03无排行有提醒,粤B2X562,0,0.73,3.088,0,2020/6/2
03无排行有提醒,皖AT0632,71.56,0.73,3.088,161.3134144,2020/6/3
03无排行有提醒,皖AT0591,51.34,0.73,3.088,115.7326816,2020/6/3
03无排行有提醒,皖AT0579,52.42,0.73,3.088,118.1672608,2020/6/3
03无排行有提醒,皖AT0621,49.05,0.73,3.088,110.570472,2020/6/3
03无排行有提醒,皖AT0549,49.91,0.73,3.088,112.5091184,2020/6/3
03无排行有提醒,皖AT0563,44.48,0.73,3.088,100.2685952,2020/6/3
03无排行有提醒,皖AT0631,37.36,0.73,3.088,84.2184064,2020/6/3
03无排行有提醒,皖AT0596,31.65,0.73,3.088,71.346696,2020/6/3
03无排行有提醒,粤STC809,37.31,0.73,3.088,84.1056944,2020/6/3
03无排行有提醒,粤B2X562,0,0.73,3.088,0,2020/6/3
03无排行有提醒,皖AT0589,0,0.73,3.088,0,2020/6/3
03无排行有提醒,粤TEST01,0,0.73,3.088,0,2020/6/3
03无排行有提醒,粤B533CJ,0,0.73,3.088,0,2020/6/3
03无排行有提醒,粤BY1047,0,0.73,3.088,0,2020/6/3
03无排行有提醒,皖AT0539,0,0.73,3.088,0,2020/6/3
03无排行有提醒,粤B3AU48,0,0.73,3.088,0,2020/6/3
03无排行有提醒,粤BS207S,0,0.73,3.088,0,2020/6/3
03无排行有提醒,粤B892VK,0,0.73,3.088,0,2020/6/3
03无排行有提醒,皖AT0633,0,0.73,3.088,0,2020/6/3
03无排行有提醒,1.22E+16,0,0.73,3.088,0,2020/6/3
03无排行有提醒,渝D865V3,0,0.73,3.088,0,2020/6/3
03无排行有提醒,皖AT0549,78.66,0.73,3.088,177.3185184,2020/6/4
03无排行有提醒,皖AT0632,72.76,0.73,3.088,164.0185024,2020/6/4
03无排行有提醒,皖AT0591,47.35,0.73,3.088,106.738264,2020/6/4
03无排行有提醒,皖AT0596,46.45,0.73,3.088,104.709448,2020/6/4
