部门,车牌号,油耗,,,碳排放（KG）,日期
04无排行无提醒,皖AT0540,41.2,0.73,3.088,92.874688,2019/11/1
04无排行无提醒,粤B0Y92H,32.95,0.73,3.088,74.277208,2019/11/1
04无排行无提醒,粤PR5795,1.28,0.73,3.088,2.8854272,2019/11/1
04无排行无提醒,粤STB959,0.03,0.73,3.088,0.0676272,2019/11/1
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2019/11/1
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/11/1
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/11/1
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/11/1
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/11/1
04无排行无提醒,皖AT0540,47.06,0.73,3.088,106.0845344,2019/11/2
04无排行无提醒,粤B0Y92H,5.94,0.73,3.088,13.3901856,2019/11/2
04无排行无提醒,粤B83CT2,1.13,0.73,3.088,2.5472912,2019/11/2
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2019/11/2
04无排行无提醒,粤PR5795,0.98,0.73,3.088,2.2091552,2019/11/2
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/11/2
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/11/2
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/11/2
04无排行无提醒,粤STB959,0,0.73,3.088,0,2019/11/2
04无排行无提醒,皖AT0540,52.14,0.73,3.088,117.5360736,2019/11/3
04无排行无提醒,粤BP439V,8.29,0.73,3.088,18.6876496,2019/11/3
04无排行无提醒,粤B0Y92H,4.54,0.73,3.088,10.2342496,2019/11/3
04无排行无提醒,粤PR5795,2.57,0.73,3.088,5.7933968,2019/11/3
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/11/3
04无排行无提醒,粤STB959,0,0.73,3.088,0,2019/11/3
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/11/3
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/11/3
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/11/3
04无排行无提醒,皖AT0540,51.44,0.73,3.088,115.9581056,2019/11/4
04无排行无提醒,粤STB959,4.66,0.73,3.088,10.5047584,2019/11/4
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2019/11/4
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/11/4
04无排行无提醒,粤B0Y92H,0,0.73,3.088,0,2019/11/4
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2019/11/4
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/11/4
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/11/4
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/11/4
04无排行无提醒,皖AT0540,55,0.73,3.088,123.9832,2019/11/5
04无排行无提醒,粤STB959,4.04,0.73,3.088,9.1071296,2019/11/5
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/11/5
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2019/11/5
04无排行无提醒,粤B0Y92H,0,0.73,3.088,0,2019/11/5
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/11/5
04无排行无提醒,粤PR5795,4.38,0.73,3.088,9.8735712,2019/11/5
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/11/5
04无排行无提醒,粤S09158,0,0.73,3.088,0,2019/11/5
04无排行无提醒,皖AT0540,15.02,0.73,3.088,33.8586848,2019/11/6
04无排行无提醒,粤BP439V,6.03,0.73,3.088,13.5930672,2019/11/6
04无排行无提醒,粤B0Y92H,2.45,0.73,3.088,5.522888,2019/11/6
04无排行无提醒,粤PR5795,1.62,0.73,3.088,3.6518688,2019/11/6
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2019/11/6
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2019/11/6
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2019/11/6
