部门,车牌号,油耗,,,碳排放（KG）,日期
04无排行无提醒,皖AT0623,33.99,0.73,3.088,76.6216176,2020/4/1
04无排行无提醒,皖AT0608,34.76,0.73,3.088,78.3573824,2020/4/1
04无排行无提醒,皖AT0658,36.53,0.73,3.088,82.3473872,2020/4/1
04无排行无提醒,皖AT0666,36.15,0.73,3.088,81.490776,2020/4/1
04无排行无提醒,皖AT0540,12.79,0.73,3.088,28.8317296,2020/4/1
04无排行无提醒,皖AT0565,5.69,0.73,3.088,12.8266256,2020/4/1
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2020/4/1
04无排行无提醒,粤STB959,0,0.73,3.088,0,2020/4/1
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2020/4/1
04无排行无提醒,皖AT0616,0,0.73,3.088,0,2020/4/1
04无排行无提醒,粤PR5795,1.02,0.73,3.088,2.2993248,2020/4/1
04无排行无提醒,皖AT0556,0,0.73,3.088,0,2020/4/1
04无排行无提醒,粤S09158,0,0.73,3.088,0,2020/4/1
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2020/4/1
04无排行无提醒,皖AT0560,0,0.73,3.088,0,2020/4/1
04无排行无提醒,皖AT0661,0,0.73,3.088,0,2020/4/1
04无排行无提醒,粤B0Y92H,0,0.73,3.088,0,2020/4/1
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2020/4/1
04无排行无提醒,皖AT0540,46.02,0.73,3.088,103.7401248,2020/4/2
04无排行无提醒,皖AT0623,37.34,0.73,3.088,84.1733216,2020/4/2
04无排行无提醒,皖AT0565,32.03,0.73,3.088,72.2033072,2020/4/2
04无排行无提醒,皖AT0666,39.56,0.73,3.088,89.1777344,2020/4/2
04无排行无提醒,皖AT0658,29.98,0.73,3.088,67.5821152,2020/4/2
04无排行无提醒,皖AT0616,0,0.73,3.088,0,2020/4/2
04无排行无提醒,皖AT0556,0,0.73,3.088,0,2020/4/2
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2020/4/2
04无排行无提醒,粤STB959,0,0.73,3.088,0,2020/4/2
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2020/4/2
04无排行无提醒,粤B0Y92H,0,0.73,3.088,0,2020/4/2
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2020/4/2
04无排行无提醒,粤S09158,0,0.73,3.088,0,2020/4/2
04无排行无提醒,皖AT0661,0,0.73,3.088,0,2020/4/2
