部门,车牌号,油耗,,,碳排放,日期
04无排行无提醒,皖AT0565,74.4,0.73,3.088,167.715456,2020/9/1
04无排行无提醒,皖AT0540,49.9,0.73,3.088,112.486576,2020/9/1
04无排行无提醒,皖AT0623,43.09,0.73,3.088,97.1352016,2020/9/1
04无排行无提醒,皖AT0658,40.71,0.73,3.088,91.7701104,2020/9/1
04无排行无提醒,皖AT0608,33.1,0.73,3.088,74.615344,2020/9/1
04无排行无提醒,皖AT0560,0,0.73,3.088,0,2020/9/1
04无排行无提醒,皖AT0616,0,0.73,3.088,0,2020/9/1
04无排行无提醒,皖AT0666,0,0.73,3.088,0,2020/9/1
04无排行无提醒,皖AT0556,0,0.73,3.088,0,2020/9/1
04无排行无提醒,皖AT0661,0,0.73,3.088,0,2020/9/1
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2020/9/1
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2020/9/1
04无排行无提醒,粤STB959,0,0.73,3.088,0,2020/9/1
04无排行无提醒,粤S09158,0,0.73,3.088,0,2020/9/1
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2020/9/1
04无排行无提醒,粤B0Y92H,0,0.73,3.088,0,2020/9/1
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2020/9/1
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2020/9/1
04无排行无提醒,皖AT0565,68.54,0.73,3.088,154.5056096,2020/9/2
04无排行无提醒,皖AT0608,42.41,0.73,3.088,95.6023184,2020/9/2
04无排行无提醒,皖AT0623,42.36,0.73,3.088,95.4896064,2020/9/2
04无排行无提醒,皖AT0540,28.57,0.73,3.088,64.4036368,2020/9/2
04无排行无提醒,皖AT0658,25.62,0.73,3.088,57.7536288,2020/9/2
04无排行无提醒,皖AT0560,0,0.73,3.088,0,2020/9/2
04无排行无提醒,皖AT0661,0,0.73,3.088,0,2020/9/2
04无排行无提醒,皖AT0666,0,0.73,3.088,0,2020/9/2
04无排行无提醒,皖AT0616,0,0.73,3.088,0,2020/9/2
04无排行无提醒,皖AT0556,0,0.73,3.088,0,2020/9/2
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2020/9/2
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2020/9/2
04无排行无提醒,粤STB959,0,0.73,3.088,0,2020/9/2
04无排行无提醒,粤S09158,0,0.73,3.088,0,2020/9/2
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2020/9/2
04无排行无提醒,粤B0Y92H,0,0.73,3.088,0,2020/9/2
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2020/9/2
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2020/9/2
04无排行无提醒,皖AT0540,63.63,0.73,3.088,143.4372912,2020/9/3
04无排行无提醒,皖AT0565,67.37,0.73,3.088,151.8681488,2020/9/3
04无排行无提醒,皖AT0623,50.96,0.73,3.088,114.8760704,2020/9/3
04无排行无提醒,皖AT0658,36.38,0.73,3.088,82.0092512,2020/9/3
04无排行无提醒,皖AT0608,19.08,0.73,3.088,43.0108992,2020/9/3
04无排行无提醒,皖AT0560,0,0.73,3.088,0,2020/9/3
04无排行无提醒,皖AT0666,0,0.73,3.088,0,2020/9/3
04无排行无提醒,皖AT0616,0,0.73,3.088,0,2020/9/3
04无排行无提醒,皖AT0556,0,0.73,3.088,0,2020/9/3
04无排行无提醒,皖AT0661,0,0.73,3.088,0,2020/9/3
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2020/9/3
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2020/9/3
04无排行无提醒,粤STB959,0,0.73,3.088,0,2020/9/3
04无排行无提醒,粤S09158,0,0.73,3.088,0,2020/9/3
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2020/9/3
04无排行无提醒,粤B0Y92H,0,0.73,3.088,0,2020/9/3
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2020/9/3
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2020/9/3
04无排行无提醒,皖AT0565,77.66,0.73,3.088,175.0642784,2020/9/4
04无排行无提醒,皖AT0608,49.71,0.73,3.088,112.0582704,2020/9/4
04无排行无提醒,皖AT0623,43.43,0.73,3.088,97.9016432,2020/9/4
04无排行无提醒,皖AT0540,35.6,0.73,3.088,80.250944,2020/9/4
04无排行无提醒,皖AT0658,15.92,0.73,3.088,35.8875008,2020/9/4
04无排行无提醒,皖AT0560,0,0.73,3.088,0,2020/9/4
04无排行无提醒,皖AT0616,0,0.73,3.088,0,2020/9/4
04无排行无提醒,皖AT0661,0,0.73,3.088,0,2020/9/4
04无排行无提醒,皖AT0556,0,0.73,3.088,0,2020/9/4
04无排行无提醒,皖AT0666,0,0.73,3.088,0,2020/9/4
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2020/9/4
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2020/9/4
04无排行无提醒,粤STB959,0,0.73,3.088,0,2020/9/4
04无排行无提醒,粤S09158,0,0.73,3.088,0,2020/9/4
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2020/9/4
04无排行无提醒,粤B0Y92H,0,0.73,3.088,0,2020/9/4
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2020/9/4
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2020/9/4
04无排行无提醒,皖AT0540,47.35,0.73,3.088,106.738264,2020/9/5
04无排行无提醒,皖AT0623,45.36,0.73,3.088,102.2523264,2020/9/5
04无排行无提醒,皖AT0608,51.58,0.73,3.088,116.2736992,2020/9/5
04无排行无提醒,皖AT0565,49.08,0.73,3.088,110.6380992,2020/9/5
04无排行无提醒,皖AT0658,48.39,0.73,3.088,109.0826736,2020/9/5
04无排行无提醒,皖AT0560,0,0.73,3.088,0,2020/9/5
04无排行无提醒,皖AT0666,0,0.73,3.088,0,2020/9/5
04无排行无提醒,皖AT0616,0,0.73,3.088,0,2020/9/5
04无排行无提醒,皖AT0556,0,0.73,3.088,0,2020/9/5
04无排行无提醒,皖AT0661,0,0.73,3.088,0,2020/9/5
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2020/9/5
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2020/9/5
04无排行无提醒,粤STB959,0,0.73,3.088,0,2020/9/5
04无排行无提醒,粤S09158,0,0.73,3.088,0,2020/9/5
04无排行无提醒,粤B83CT2,0,0.73,3.088,0,2020/9/5
04无排行无提醒,粤B0Y92H,0,0.73,3.088,0,2020/9/5
04无排行无提醒,粤BP439V,0,0.73,3.088,0,2020/9/5
04无排行无提醒,粤PR5795,0,0.73,3.088,0,2020/9/5
04无排行无提醒,皖AT0540,64.15,0.73,3.088,144.609496,2020/9/6
04无排行无提醒,皖AT0565,51.77,0.73,3.088,116.7020048,2020/9/6
04无排行无提醒,皖AT0623,44.19,0.73,3.088,99.6148656,2020/9/6
04无排行无提醒,皖AT0658,35.74,0.73,3.088,80.5665376,2020/9/6
04无排行无提醒,皖AT0608,11.95,0.73,3.088,26.938168,2020/9/6
04无排行无提醒,皖AT0560,0,0.73,3.088,0,2020/9/6
04无排行无提醒,皖AT0661,0,0.73,3.088,0,2020/9/6
04无排行无提醒,皖AT0666,0,0.73,3.088,0,2020/9/6
04无排行无提醒,皖AT0616,0,0.73,3.088,0,2020/9/6
04无排行无提醒,皖AT0556,0,0.73,3.088,0,2020/9/6
04无排行无提醒,粤B3RC91,0,0.73,3.088,0,2020/9/6
04无排行无提醒,粤B4C0S6,0,0.73,3.088,0,2020/9/6
