部门,车牌号,日期,驾驶行为评分,排名
04无排行无提醒,皖AT0661,2020/4/1,100,1
03无排行有提醒,粤BS207S,2020/4/1,100,1
04无排行无提醒,粤B83CT2,2020/4/1,100,1
02有排行无提醒,粤BL05M1,2020/4/1,100,1
03无排行有提醒,粤B892VK,2020/4/1,100,1
04无排行无提醒,粤B0Y92H,2020/4/1,100,1
02有排行无提醒,粤B7U0H5,2020/4/1,100,1
03无排行有提醒,渝D865V3,2020/4/1,100,1
04无排行无提醒,粤BP439V,2020/4/1,100,1
01有排行有提醒,粤B2K335,2020/4/1,100,1
02有排行无提醒,粤SL3H57,2020/4/1,100,1
01有排行有提醒,皖AT0619,2020/4/1,100,1
01有排行有提醒,皖AT0600,2020/4/1,100,1
03无排行有提醒,皖AT0539,2020/4/1,100,1
02有排行无提醒,皖AT0613,2020/4/1,100,1
04无排行无提醒,皖AT0560,2020/4/1,100,1
03无排行有提醒,皖AT0563,2020/4/1,100,1
02有排行无提醒,皖AT0543,2020/4/1,100,1
04无排行无提醒,皖AT0616,2020/4/1,100,1
03无排行有提醒,皖AT0633,2020/4/1,100,1
01有排行有提醒,皖AT0547,2020/4/1,100,1
03无排行有提醒,粤BY1047,2020/4/1,100,1
03无排行有提醒,粤B2X562,2020/4/1,100,1
03无排行有提醒,粤B3AU48,2020/4/1,100,1
01有排行有提醒,粤LBY602,2020/4/1,100,1
04无排行无提醒,粤B4C0S6,2020/4/1,100,1
02有排行无提醒,闽C88DN2,2020/4/1,100,1
04无排行无提醒,粤STB959,2020/4/1,100,1
01有排行有提醒,皖AT0626,2020/4/1,100,1
02有排行无提醒,皖AYY059,2020/4/1,100,1
01有排行有提醒,粤S45B27,2020/4/1,100,1
03无排行有提醒,粤B533CJ,2020/4/1,100,1
04无排行无提醒,粤B3RC91,2020/4/1,100,1
01有排行有提醒,粤BH218W,2020/4/1,100,1
04无排行无提醒,粤S09158,2020/4/1,100,1
02有排行无提醒,粤B9XN26,2020/4/1,100,1
01有排行有提醒,粤L39ES3,2020/4/1,99.9,2
01有排行有提醒,皖AT0642,2020/4/1,98.28,3
02有排行无提醒,粤JCL629,2020/4/1,96.29,4
03无排行有提醒,粤STC809,2020/4/1,93.66,5
02有排行无提醒,粤B3Q03K,2020/4/1,92.91,6
04无排行无提醒,皖AT0540,2020/4/1,92.05,7
04无排行无提醒,皖AT0565,2020/4/1,92.01,8
01有排行有提醒,粤B3R80W,2020/4/1,91.24,9
01有排行有提醒,粤BT2220,2020/4/1,86.24,10
02有排行无提醒,皖AT0620,2020/4/1,82.32,11
02有排行无提醒,皖AT0580,2020/4/1,80.7,12
01有排行有提醒,皖AT0650,2020/4/1,80.41,13
02有排行无提醒,皖AT0541,2020/4/1,71.03,14
01有排行有提醒,皖AT0568,2020/4/1,69.64,15
03无排行有提醒,皖AT0632,2020/4/1,69.6,16
01有排行有提醒,皖AT0628,2020/4/1,68.87,17
02有排行无提醒,皖AT0575,2020/4/1,68.73,18
03无排行有提醒,皖AT0596,2020/4/1,67.09,19
04无排行无提醒,皖AT0623,2020/4/1,64.74,20
04无排行无提醒,皖AT0658,2020/4/1,63.84,21
02有排行无提醒,皖AT0601,2020/4/1,60.76,22
01有排行有提醒,皖AT0599,2020/4/1,59.85,23
03无排行有提醒,皖AT0631,2020/4/1,59.66,24
02有排行无提醒,皖AT0657,2020/4/1,57.26,25
01有排行有提醒,皖AT0553,2020/4/1,54.12,26
01有排行有提醒,皖AT0665,2020/4/1,49.79,27
04无排行无提醒,皖AT0608,2020/4/1,49.09,28
03无排行有提醒,皖AT0621,2020/4/1,46.87,29
03无排行有提醒,皖AT0591,2020/4/1,45.58,30
03无排行有提醒,皖AT0589,2020/4/1,44.53,31
03无排行有提醒,皖AT0549,2020/4/1,43.96,32
02有排行无提醒,皖AT0576,2020/4/1,35.89,33
04无排行无提醒,皖AT0666,2020/4/1,31.71,34
03无排行有提醒,皖AT0579,2020/4/1,9.76,35
02有排行无提醒,粤BN8G52,2020/4/1,0,36
04无排行无提醒,粤PR5795,2020/4/1,0,36
04无排行无提醒,皖AT0556,2020/4/1,0,36
01有排行有提醒,粤B048RX,2020/4/1,0,36
01有排行有提醒,皖AT0609,2020/4/1,0,36
03无排行有提醒,粤TEST01,2020/4/1,0,36
02有排行无提醒,皖AT0641,2020/4/1,0,36
01有排行有提醒,皖AT0600,2020/4/2,100,1
04无排行无提醒,粤B83CT2,2020/4/2,100,1
03无排行有提醒,粤B892VK,2020/4/2,100,1
04无排行无提醒,粤B0Y92H,2020/4/2,100,1
03无排行有提醒,渝D865V3,2020/4/2,100,1
01有排行有提醒,粤L39ES3,2020/4/2,100,1
04无排行无提醒,粤BP439V,2020/4/2,100,1
01有排行有提醒,粤B2K335,2020/4/2,100,1
01有排行有提醒,皖AT0619,2020/4/2,100,1
03无排行有提醒,粤BS207S,2020/4/2,100,1
02有排行无提醒,粤SL3H57,2020/4/2,100,1
01有排行有提醒,皖AT0547,2020/4/2,100,1
04无排行无提醒,皖AT0608,2020/4/2,100,1
02有排行无提醒,皖AT0613,2020/4/2,100,1
03无排行有提醒,皖AT0539,2020/4/2,100,1
04无排行无提醒,皖AT0560,2020/4/2,100,1
04无排行无提醒,皖AT0661,2020/4/2,100,1
02有排行无提醒,皖AT0543,2020/4/2,100,1
04无排行无提醒,皖AT0616,2020/4/2,100,1
03无排行有提醒,皖AT0633,2020/4/2,100,1
03无排行有提醒,粤BY1047,2020/4/2,100,1
03无排行有提醒,粤B3AU48,2020/4/2,100,1
02有排行无提醒,皖AYY059,2020/4/2,100,1
03无排行有提醒,粤B2X562,2020/4/2,100,1
01有排行有提醒,粤LBY602,2020/4/2,100,1
