部门,车牌号,日期,驾驶行为评分
02有排行无提醒,皖AT0580,2020/8/1,100
02有排行无提醒,皖AT0543,2020/8/1,100
03无排行有提醒,皖AT0633,2020/8/1,100
02有排行无提醒,皖AT0576,2020/8/1,100
02有排行无提醒,粤SL3H57,2020/8/1,100
03无排行有提醒,粤BS207S,2020/8/1,100
04无排行无提醒,粤B83CT2,2020/8/1,100
03无排行有提醒,粤B892VK,2020/8/1,100
04无排行无提醒,粤B0Y92H,2020/8/1,100
02有排行无提醒,粤B7U0H5,2020/8/1,100
03无排行有提醒,渝D865V3,2020/8/1,100
01有排行有提醒,粤L39ES3,2020/8/1,100
03无排行有提醒,皖AT0549,2020/8/1,100
04无排行无提醒,皖AT0560,2020/8/1,100
01有排行有提醒,皖AT0619,2020/8/1,100
04无排行无提醒,皖AT0666,2020/8/1,100
02有排行无提醒,皖AT0575,2020/8/1,100
03无排行有提醒,皖AT0589,2020/8/1,100
01有排行有提醒,皖AT0547,2020/8/1,100
04无排行无提醒,皖AT0616,2020/8/1,100
03无排行有提醒,皖AT0563,2020/8/1,100
03无排行有提醒,皖AT0539,2020/8/1,100
01有排行有提醒,皖AT0600,2020/8/1,100
04无排行无提醒,皖AT0661,2020/8/1,100
03无排行有提醒,皖AT0579,2020/8/1,100
04无排行无提醒,粤BP439V,2020/8/1,100
04无排行无提醒,粤B4C0S6,2020/8/1,100
03无排行有提醒,粤B533CJ,2020/8/1,100
01有排行有提醒,粤S45B27,2020/8/1,100
02有排行无提醒,粤JCL629,2020/8/1,100
03无排行有提醒,粤B3AU48,2020/8/1,100
01有排行有提醒,皖AT0626,2020/8/1,100
02有排行无提醒,粤B3Q03K,2020/8/1,100
04无排行无提醒,粤STB959,2020/8/1,100
01有排行有提醒,粤LBY602,2020/8/1,100
04无排行无提醒,粤B3RC91,2020/8/1,100
02有排行无提醒,皖AYY059,2020/8/1,100
01有排行有提醒,粤BH218W,2020/8/1,100
03无排行有提醒,粤B2X562,2020/8/1,100
02有排行无提醒,粤B9XN26,2020/8/1,100
01有排行有提醒,粤B2K335,2020/8/1,100
04无排行无提醒,粤S09158,2020/8/1,100
02有排行无提醒,闽C88DN2,2020/8/1,100
04无排行无提醒,粤PR5795,2020/8/1,100
03无排行有提醒,粤BY1047,2020/8/1,100
03无排行有提醒,粤STC809,2020/8/1,98.84
02有排行无提醒,粤BL05M1,2020/8/1,95.35
01有排行有提醒,粤BT2220,2020/8/1,93.78
01有排行有提醒,粤B3R80W,2020/8/1,90.42
01有排行有提醒,皖AT0642,2020/8/1,89.86
02有排行无提醒,皖AT0541,2020/8/1,76.15
04无排行无提醒,皖AT0658,2020/8/1,58.73
03无排行有提醒,皖AT0632,2020/8/1,54.8
03无排行有提醒,皖AT0621,2020/8/1,54.45
03无排行有提醒,皖AT0596,2020/8/1,53.57
03无排行有提醒,皖AT0591,2020/8/1,48.89
02有排行无提醒,皖AT0601,2020/8/1,47.6
02有排行无提醒,皖AT0613,2020/8/1,47.37
01有排行有提醒,皖AT0568,2020/8/1,39.07
02有排行无提醒,皖AT0620,2020/8/1,37.32
01有排行有提醒,皖AT0599,2020/8/1,33.57
03无排行有提醒,皖AT0631,2020/8/1,33.17
04无排行无提醒,皖AT0540,2020/8/1,32.42
01有排行有提醒,皖AT0628,2020/8/1,31.65
04无排行无提醒,皖AT0623,2020/8/1,31.24
01有排行有提醒,皖AT0553,2020/8/1,30.02
02有排行无提醒,皖AT0657,2020/8/1,25.25
01有排行有提醒,皖AT0650,2020/8/1,24.02
01有排行有提醒,皖AT0665,2020/8/1,21.63
02有排行无提醒,粤BN8G52,2020/8/1,0
01有排行有提醒,皖AT0609,2020/8/1,0
04无排行无提醒,皖AT0556,2020/8/1,0
02有排行无提醒,皖AT0641,2020/8/1,0
01有排行有提醒,粤B048RX,2020/8/1,0
03无排行有提醒,粤TEST01,2020/8/1,0
04无排行无提醒,皖AT0565,2020/8/1,-0.22
04无排行无提醒,皖AT0608,2020/8/1,-6.11
02有排行无提醒,皖AT0580,2020/8/2,100
03无排行有提醒,皖AT0633,2020/8/2,100
02有排行无提醒,皖AT0576,2020/8/2,100
02有排行无提醒,粤SL3H57,2020/8/2,100
03无排行有提醒,粤BS207S,2020/8/2,100
04无排行无提醒,粤B83CT2,2020/8/2,100
02有排行无提醒,粤BL05M1,2020/8/2,100
03无排行有提醒,粤B892VK,2020/8/2,100
04无排行无提醒,粤B0Y92H,2020/8/2,100
02有排行无提醒,粤B7U0H5,2020/8/2,100
03无排行有提醒,渝D865V3,2020/8/2,100
01有排行有提醒,粤L39ES3,2020/8/2,100
02有排行无提醒,皖AT0543,2020/8/2,100
03无排行有提醒,皖AT0549,2020/8/2,100
01有排行有提醒,皖AT0619,2020/8/2,100
04无排行无提醒,皖AT0666,2020/8/2,100
02有排行无提醒,皖AT0575,2020/8/2,100
03无排行有提醒,皖AT0589,2020/8/2,100
01有排行有提醒,皖AT0547,2020/8/2,100
04无排行无提醒,皖AT0616,2020/8/2,100
03无排行有提醒,皖AT0539,2020/8/2,100
01有排行有提醒,皖AT0600,2020/8/2,100
04无排行无提醒,皖AT0661,2020/8/2,100
03无排行有提醒,皖AT0579,2020/8/2,100
04无排行无提醒,皖AT0560,2020/8/2,100
04无排行无提醒,粤BP439V,2020/8/2,100
03无排行有提醒,粤STC809,2020/8/2,100
03无排行有提醒,粤B533CJ,2020/8/2,100
01有排行有提醒,粤S45B27,2020/8/2,100
01有排行有提醒,皖AT0626,2020/8/2,100
02有排行无提醒,粤JCL629,2020/8/2,100
03无排行有提醒,粤B3AU48,2020/8/2,100
01有排行有提醒,粤LBY602,2020/8/2,100
02有排行无提醒,粤B3Q03K,2020/8/2,100
04无排行无提醒,粤STB959,2020/8/2,100
02有排行无提醒,闽C88DN2,2020/8/2,100
02有排行无提醒,皖AYY059,2020/8/2,100
04无排行无提醒,粤B3RC91,2020/8/2,100
01有排行有提醒,粤B2K335,2020/8/2,100
04无排行无提醒,粤PR5795,2020/8/2,100
03无排行有提醒,粤BY1047,2020/8/2,100
01有排行有提醒,粤B3R80W,2020/8/2,100
01有排行有提醒,粤BT2220,2020/8/2,100
04无排行无提醒,粤S09158,2020/8/2,100
02有排行无提醒,粤B9XN26,2020/8/2,100
03无排行有提醒,粤B2X562,2020/8/2,100
01有排行有提醒,粤BH218W,2020/8/2,100
04无排行无提醒,粤B4C0S6,2020/8/2,100
01有排行有提醒,皖AT0642,2020/8/2,90.56
03无排行有提醒,皖AT0563,2020/8/2,70.16
01有排行有提醒,皖AT0650,2020/8/2,69.16
03无排行有提醒,皖AT0631,2020/8/2,66.71
04无排行无提醒,皖AT0540,2020/8/2,52.53
03无排行有提醒,皖AT0632,2020/8/2,52.5
01有排行有提醒,皖AT0665,2020/8/2,52.25
01有排行有提醒,皖AT0599,2020/8/2,51.52
02有排行无提醒,皖AT0601,2020/8/2,50.59
03无排行有提醒,皖AT0596,2020/8/2,44.68
03无排行有提醒,皖AT0621,2020/8/2,43.9
02有排行无提醒,皖AT0620,2020/8/2,41.77
01有排行有提醒,皖AT0553,2020/8/2,39.31
02有排行无提醒,皖AT0541,2020/8/2,38.04
04无排行无提醒,皖AT0658,2020/8/2,37.77
01有排行有提醒,皖AT0628,2020/8/2,29.8
04无排行无提醒,皖AT0623,2020/8/2,29.45
02有排行无提醒,皖AT0613,2020/8/2,26.03
01有排行有提醒,皖AT0568,2020/8/2,24.01
04无排行无提醒,皖AT0565,2020/8/2,23.93
02有排行无提醒,皖AT0657,2020/8/2,21.1
03无排行有提醒,皖AT0591,2020/8/2,20.12
