部门,车牌号,日期,驾驶行为评分,排名
04无排行无提醒,粤BP439V,2019/11/1,100,1
03无排行有提醒,粤BY1047,2019/11/1,100,1
04无排行无提醒,粤S09158,2019/11/1,100,1
03无排行有提醒,渝D865V3,2019/11/1,100,1
01有排行有提醒,粤BH218W,2019/11/1,100,1
04无排行无提醒,粤B3RC91,2019/11/1,100,1
03无排行有提醒,粤B533CJ,2019/11/1,100,1
01有排行有提醒,粤S45B27,2019/11/1,100,1
03无排行有提醒,粤B3AU48,2019/11/1,100,1
01有排行有提醒,粤LBY602,2019/11/1,100,1
04无排行无提醒,粤B4C0S6,2019/11/1,100,1
04无排行无提醒,粤B83CT2,2019/11/1,100,1
02有排行无提醒,皖AYY059,2019/11/1,100,1
02有排行无提醒,闽C88DN2,2019/11/1,100,1
04无排行无提醒,粤STB959,2019/11/1,99.9,2
03无排行有提醒,粤STC809,2019/11/1,95.61,3
01有排行有提醒,粤B2K335,2019/11/1,95.27,4
04无排行无提醒,粤PR5795,2019/11/1,95.03,5
02有排行无提醒,粤B3Q03K,2019/11/1,93.64,6
02有排行无提醒,粤B7U0H5,2019/11/1,92.68,7
02有排行无提醒,粤B9XN26,2019/11/1,92.59,8
03无排行有提醒,粤B892VK,2019/11/1,92.51,9
01有排行有提醒,粤B3R80W,2019/11/1,87.41,10
02有排行无提醒,粤JCL629,2019/11/1,87.33,11
01有排行有提醒,粤L39ES3,2019/11/1,82.21,12
03无排行有提醒,粤B2X562,2019/11/1,78.93,13
01有排行有提醒,粤BT2220,2019/11/1,76.27,14
01有排行有提醒,皖AT0626,2019/11/1,73.15,15
04无排行无提醒,粤B0Y92H,2019/11/1,63.45,16
04无排行无提醒,皖AT0540,2019/11/1,45.44,17
02有排行无提醒,粤BN8G52,2019/11/1,0,18
01有排行有提醒,粤B048RX,2019/11/1,0,18
03无排行有提醒,粤TEST01,2019/11/1,0,18
03无排行有提醒,粤BS207S,2019/11/1,0,18
03无排行有提醒,粤BY1047,2019/11/2,100,1
04无排行无提醒,粤BP439V,2019/11/2,100,1
03无排行有提醒,渝D865V3,2019/11/2,100,1
01有排行有提醒,粤BH218W,2019/11/2,100,1
04无排行无提醒,粤B3RC91,2019/11/2,100,1
03无排行有提醒,粤B533CJ,2019/11/2,100,1
01有排行有提醒,粤S45B27,2019/11/2,100,1
03无排行有提醒,粤B3AU48,2019/11/2,100,1
01有排行有提醒,粤LBY602,2019/11/2,100,1
04无排行无提醒,粤B4C0S6,2019/11/2,100,1
02有排行无提醒,皖AYY059,2019/11/2,100,1
04无排行无提醒,粤S09158,2019/11/2,100,1
04无排行无提醒,粤STB959,2019/11/2,100,1
02有排行无提醒,闽C88DN2,2019/11/2,100,1
01有排行有提醒,粤B2K335,2019/11/2,97.78,2
03无排行有提醒,粤STC809,2019/11/2,93.86,3
04无排行无提醒,粤B0Y92H,2019/11/2,93,4
02有排行无提醒,粤B7U0H5,2019/11/2,92.5,5
04无排行无提醒,粤B83CT2,2019/11/2,90.71,6
01有排行有提醒,粤BT2220,2019/11/2,90.7,7
02有排行无提醒,粤B3Q03K,2019/11/2,89.92,8
02有排行无提醒,粤JCL629,2019/11/2,89.22,9
03无排行有提醒,粤BS207S,2019/11/2,87.37,10
03无排行有提醒,粤B892VK,2019/11/2,87.01,11
01有排行有提醒,粤B3R80W,2019/11/2,86.61,12
01有排行有提醒,粤L39ES3,2019/11/2,82.28,13
01有排行有提醒,皖AT0626,2019/11/2,74.94,14
03无排行有提醒,粤B2X562,2019/11/2,73.87,15
02有排行无提醒,粤B9XN26,2019/11/2,61.31,16
04无排行无提醒,皖AT0540,2019/11/2,35.25,17
02有排行无提醒,粤BN8G52,2019/11/2,0,18
01有排行有提醒,粤B048RX,2019/11/2,0,18
03无排行有提醒,粤TEST01,2019/11/2,0,18
04无排行无提醒,粤PR5795,2019/11/2,0,18
02有排行无提醒,粤B9XN26,2019/11/3,100,1
01有排行有提醒,粤BH218W,2019/11/3,100,1
04无排行无提醒,粤B3RC91,2019/11/3,100,1
03无排行有提醒,粤B533CJ,2019/11/3,100,1
01有排行有提醒,粤S45B27,2019/11/3,100,1
03无排行有提醒,粤BY1047,2019/11/3,100,1
03无排行有提醒,粤B3AU48,2019/11/3,100,1
01有排行有提醒,粤LBY602,2019/11/3,100,1
04无排行无提醒,粤B4C0S6,2019/11/3,100,1
02有排行无提醒,闽C88DN2,2019/11/3,100,1
04无排行无提醒,粤STB959,2019/11/3,100,1
03无排行有提醒,渝D865V3,2019/11/3,100,1
03无排行有提醒,粤B892VK,2019/11/3,100,1
02有排行无提醒,皖AYY059,2019/11/3,100,1
04无排行无提醒,粤B83CT2,2019/11/3,100,1
04无排行无提醒,粤S09158,2019/11/3,100,1
